,BUS,REAL_POWER_SETPOINT_MW,REACTIVE_POWER_SETPOINT_MVAR,MAX_REACTIVE_POWER_DISPATCH_MVAR,MIN_REACTIVE_POWER_DISPATCH_MVAR,VOLTAGE_MAGNITUDE_SETPOINT,MVA_BASE,UNIT_STATUS,MAX_REAL_POWER_OUTPUT_MW,MIN_REAL_POWER_OUTPUT_MW,RAMP_RATE_AGC_MWPERMIN,RAMP_RATE_10_MWPERMIN,RAMP_RATE_30_MWPERMIN,RAMP_RATE_REACTIVEPOWER_MVARPERMIN,AREA_PARTICIPATION_FACTOR,GEN_NAME,GEN_TYPE,FUEL_TYPE,TIMESERIES_PARAMETERS,Unit,GEN_ID,Fuel,MinDown,MinUp,HotStart,ColdStart,WarmStart,RampRate,Outage,MTTF,MTTR,ScheduledMaintenance,MinGen
15,102,76,7.0,30,-25,1.035,100,1,76,30,2.0,2.0,2.0,2.0,0.0,,,,,U76,8,Coal/Steam,4.0,8.0,3.0,12.0,10.0,2.0,0.02,1960.0,40.0,3.0,30.0
16,201,76,14.1,30,-25,1.035,100,1,76,30,2.0,2.0,2.0,2.0,0.0,,,,,U76,34,Coal/Steam,4.0,8.0,3.0,12.0,10.0,2.0,0.02,1960.0,40.0,3.0,30.0
17,202,10,0.0,10,0,1.035,100,1,20,8,3.0,3.0,3.0,3.0,0.0,,,,,U76,37,Coal/Steam,4.0,8.0,3.0,12.0,10.0,2.0,0.02,1960.0,40.0,3.0,30.0
18,202,76,7.0,30,-25,1.035,100,1,76,30,2.0,2.0,2.0,2.0,0.0,,,,,U76,38,Coal/Steam,4.0,8.0,3.0,12.0,10.0,2.0,0.02,1960.0,40.0,3.0,30.0
19,113,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U12,10,Oil/Steam,2.0,4.0,2.0,4.0,12.0,1.0,0.02,2940.0,60.0,2.0,5.0
20,113,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U12,11,Oil/Steam,2.0,4.0,2.0,4.0,12.0,1.0,0.02,2940.0,60.0,2.0,5.0
21,302,10,0.0,10,0,1.035,100,1,20,8,3.0,3.0,3.0,3.0,0.0,,,,,U12,71,Oil/Steam,2.0,4.0,2.0,4.0,12.0,1.0,0.02,2940.0,60.0,2.0,5.0
22,302,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U12,72,Oil/Steam,2.0,4.0,2.0,4.0,12.0,1.0,0.02,2940.0,60.0,2.0,5.0
23,302,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U12,73,Oil/Steam,2.0,4.0,2.0,4.0,12.0,1.0,0.02,2940.0,60.0,2.0,5.0
24,307,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U12,74,Oil/Steam,2.0,4.0,2.0,4.0,12.0,1.0,0.02,2940.0,60.0,2.0,5.0
25,307,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U12,75,Oil/Steam,2.0,4.0,2.0,4.0,12.0,1.0,0.02,2940.0,60.0,2.0,5.0
26,113,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U155,12,Coal/Steam,8.0,8.0,3.0,11.0,60.0,3.0,0.04,960.0,40.0,4.0,62.0
27,113,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U155,13,Coal/Steam,8.0,8.0,3.0,11.0,60.0,3.0,0.04,960.0,40.0,4.0,62.0
28,122,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U155,21,Coal/Steam,8.0,8.0,3.0,11.0,60.0,3.0,0.04,960.0,40.0,4.0,62.0
29,207,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U155,40,Coal/Steam,8.0,8.0,3.0,11.0,60.0,3.0,0.04,960.0,40.0,4.0,62.0
30,215,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U155,47,Coal/Steam,8.0,8.0,3.0,11.0,60.0,3.0,0.04,960.0,40.0,4.0,62.0
31,215,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U155,48,Coal/Steam,8.0,8.0,3.0,11.0,60.0,3.0,0.04,960.0,40.0,4.0,62.0
32,313,355,71.78,150,-25,1.05,100,1,355,170,4.14,4.14,4.14,4.14,0.0,,,,,U155,76,Coal/Steam,8.0,8.0,3.0,11.0,60.0,3.0,0.04,960.0,40.0,4.0,62.0
33,114,0,13.7,200,-50,0.98,100,1,0,0,0.0,0.0,0.0,0.0,0.0,,,,,U400,14,Nuclear,1.0,1.0,9999.0,9999.0,9999.0,20.0,0.12,1100.0,150.0,6.0,396.0
34,115,12,0.0,6,0,1.014,100,1,12,5,1.0,1.0,1.0,1.0,0.0,,,,,U50,15,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
35,115,12,0.0,6,0,1.014,100,1,12,5,1.0,1.0,1.0,1.0,0.0,,,,,U50,16,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
36,115,155,0.05,80,-50,1.014,100,1,155,62,3.0,3.0,3.0,3.0,0.0,,,,,U50,17,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
37,116,155,25.22,80,-50,1.017,100,1,155,62,3.0,3.0,3.0,3.0,0.0,,,,,U50,18,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
38,118,350,71.78,150,-25,1.05,100,1,355,170,4.14,4.14,4.14,4.14,0.0,,,,,U50,19,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
39,121,400,108.2,200,-50,1.05,100,1,400,396,20.0,20.0,20.0,20.0,0.0,,,,,U50,20,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
40,207,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U50,41,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
41,213,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U50,42,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
42,213,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U50,43,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
43,213,355,71.78,150,-25,1.05,100,1,355,170,4.14,4.14,4.14,4.14,0.0,,,,,U50,44,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
44,214,0,13.68,200,-50,0.98,100,1,0,0,0.0,0.0,0.0,0.0,0.0,,,,,U50,45,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
45,215,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U50,46,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
46,215,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U50,50,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
47,222,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U50,56,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
48,222,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U50,57,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
49,222,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U50,58,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
50,314,0,13.68,200,-50,0.98,100,1,0,0,0.0,0.0,0.0,0.0,0.0,,,,,U50,77,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
51,315,12,0.0,6,0,1.014,100,1,12,5,1.0,1.0,1.0,1.0,0.0,,,,,U50,78,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
52,315,12,0.0,6,0,1.014,100,1,12,5,1.0,1.0,1.0,1.0,0.0,,,,,U50,79,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
53,315,12,0.0,6,0,1.014,100,1,12,5,1.0,1.0,1.0,1.0,0.0,,,,,U50,80,Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1980.0,20.0,2.0,0.0
54,122,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U350,22,Coal/Steam,48.0,24.0,8.0,12.0,96.0,4.0,0.08,1150.0,100.0,5.0,140.0
55,215,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U350,49,Coal/Steam,48.0,24.0,8.0,12.0,96.0,4.0,0.08,1150.0,100.0,5.0,140.0
56,122,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U355,23,NG/CC,4.5,8.0,0.5,2.0,1.0,4.14,0.033,1000.0,24.0,1.07,168.0
57,123,155,31.79,80,-50,1.05,100,1,155,62,3.0,3.0,3.0,3.0,0.0,,,,,U355,28,NG/CC,4.5,8.0,0.5,2.0,1.0,4.14,0.033,1000.0,24.0,1.07,168.0
58,222,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U355,55,NG/CC,4.5,8.0,0.5,2.0,1.0,4.14,0.033,1000.0,24.0,1.07,168.0
59,223,155,31.79,80,-50,1.05,100,1,155,62,3.0,3.0,3.0,3.0,0.0,,,,,U355,61,NG/CC,4.5,8.0,0.5,2.0,1.0,4.14,0.033,1000.0,24.0,1.07,168.0
60,223,350,71.78,150,-25,1.05,100,1,350,140,4.0,4.0,4.0,4.0,0.0,,,,,U355,62,NG/CC,4.5,8.0,0.5,2.0,1.0,4.14,0.033,1000.0,24.0,1.07,168.0
61,318,355,71.78,150,-25,1.05,100,1,355,170,4.14,4.14,4.14,4.14,0.0,,,,,U355,87,NG/CC,4.5,8.0,0.5,2.0,1.0,4.14,0.033,1000.0,24.0,1.07,168.0
62,322,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U355,91,NG/CC,4.5,8.0,0.5,2.0,1.0,4.14,0.033,1000.0,24.0,1.07,168.0
63,322,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U355,92,NG/CC,4.5,8.0,0.5,2.0,1.0,4.14,0.033,1000.0,24.0,1.07,168.0
64,323,355,71.78,150,-25,1.05,100,1,355,170,4.14,4.14,4.14,4.14,0.0,,,,,U355,95,NG/CC,4.5,8.0,0.5,2.0,1.0,4.14,0.033,1000.0,24.0,1.07,168.0
65,323,355,71.78,150,-25,1.05,100,1,355,170,4.14,4.14,4.14,4.14,0.0,,,,,U355,96,NG/CC,4.5,8.0,0.5,2.0,1.0,4.14,0.033,1000.0,24.0,1.07,168.0
66,122,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U55,24,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
67,122,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U55,25,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
68,122,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U55,26,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
69,123,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U55,27,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
70,123,350,71.78,150,-25,1.05,100,1,350,140,4.0,4.0,4.0,4.0,0.0,,,,,U55,29,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
71,123,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U55,30,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
72,123,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U55,31,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
73,216,155,25.22,80,-50,1.017,100,1,155,62,3.0,3.0,3.0,3.0,0.0,,,,,U55,51,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
74,218,355,71.78,150,-25,1.05,100,1,355,170,4.14,4.14,4.14,4.14,0.0,,,,,U55,52,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
75,221,355,71.78,150,-25,1.05,100,1,355,170,4.14,4.14,4.14,4.14,0.0,,,,,U55,53,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
76,222,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U55,54,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
77,222,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U55,59,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
78,223,155,31.79,80,-50,1.05,100,1,155,62,3.0,3.0,3.0,3.0,0.0,,,,,U55,60,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
79,223,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U55,63,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
80,223,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U55,64,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
81,223,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U55,65,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
82,315,12,0.0,6,0,1.014,100,1,12,5,1.0,1.0,1.0,1.0,0.0,,,,,U55,81,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
83,315,12,0.0,6,0,1.014,100,1,12,5,1.0,1.0,1.0,1.0,0.0,,,,,U55,82,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
84,315,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U55,83,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
85,315,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U55,84,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
86,315,55,17.2,60,0,1.025,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U55,85,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
87,316,155,25.22,80,-50,1.017,100,1,155,62,3.0,3.0,3.0,3.0,0.0,,,,,U55,86,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
88,321,355,71.78,150,-25,1.05,100,1,355,170,4.14,4.14,4.14,4.14,0.0,,,,,U55,88,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
89,322,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U55,89,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
90,322,50,-4.96,16,-10,1.05,100,1,50,0,0.0,0.0,0.0,0.0,0.0,,,,,U55,90,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
91,322,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U55,93,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
92,322,55,11.0,19,-15,1.028,100,1,55,22,3.7,3.7,3.7,3.7,0.0,,,,,U55,94,NG/CT,2.2,2.2,0.25,1.0,0.75,3.7,0.031,500.0,51.0,0.79,22.0
9,107,355,71.78,150,-25,1.05,100,1,355,170,4.14,4.14,4.14,4.14,0.0,,,,,Sync_Cond,9,,,,,,,,,,,,
39,202,76,7.0,30,-25,1.035,100,1,76,30,2.0,2.0,2.0,2.0,0.0,,,,,Sync_Cond,39,,,,,,,,,,,,
70,302,10,0.0,10,0,1.035,100,1,20,8,3.0,3.0,3.0,3.0,0.0,,,,,Sync_Cond,70,,,,,,,,,,,,
97,101,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,97,,,,,,,,,,,,
98,101,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,98,,,,,,,,,,,,
99,101,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,99,,,,,,,,,,,,
100,101,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,100,,,,,,,,,,,,
101,102,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,101,,,,,,,,,,,,
102,102,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,102,,,,,,,,,,,,
103,103,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,103,,,,,,,,,,,,
104,104,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,104,,,,,,,,,,,,
105,113,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,105,,,,,,,,,,,,
106,118,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,106,,,,,,,,,,,,
107,118,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,107,,,,,,,,,,,,
108,118,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,108,,,,,,,,,,,,
109,118,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,109,,,,,,,,,,,,
110,118,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,110,,,,,,,,,,,,
111,118,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,111,,,,,,,,,,,,
112,118,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,112,,,,,,,,,,,,
113,118,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,113,,,,,,,,,,,,
114,118,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,114,,,,,,,,,,,,
115,118,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,115,,,,,,,,,,,,
116,119,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,116,,,,,,,,,,,,
117,122,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_wind.csv,0,,,,,,,,,,UWIND,117,,,,,,,,,,,,
118,213,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,118,,,,,,,,,,,,
119,215,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,119,,,,,,,,,,,,
120,303,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_wind.csv,0,,,,,,,,,,UWIND,120,,,,,,,,,,,,
121,308,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,121,,,,,,,,,,,,
122,309,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_wind.csv,0,,,,,,,,,,UWIND,122,,,,,,,,,,,,
123,310,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,123,,,,,,,,,,,,
124,310,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,124,,,,,,,,,,,,
125,312,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,125,,,,,,,,,,,,
126,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,126,,,,,,,,,,,,
127,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_pv.csv,0,,,,,,,,,,UPV,127,,,,,,,,,,,,
128,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,128,,,,,,,,,,,,
129,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,129,,,,,,,,,,,,
130,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,130,,,,,,,,,,,,
131,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,131,,,,,,,,,,,,
132,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,132,,,,,,,,,,,,
133,313,0,0.0,0,0,1.0,100,1,timeseries_data_files\wind_pv_rtpv\*_rtpv.csv,0,,,,,,,,,,URTPV,133,,,,,,,,,,,,
