,Year,Month,Day,Period,Load,Hour,Minutes
2024-01-09 01:30:00,2024,1,9,90,3700,1,30
2024-01-09 01:35:00,2024,1,9,95,3644,1,35
2024-01-09 01:40:00,2024,1,9,100,3522,1,40
2024-01-09 01:45:00,2024,1,9,105,3258,1,45
2024-01-09 01:50:00,2024,1,9,110,2966,1,50
2024-01-09 01:55:00,2024,1,9,115,2816,1,55
2024-01-10 00:00:00,2024,1,10,0,2787,0,0
2024-01-10 00:05:00,2024,1,10,5,2790,0,5
2024-01-10 00:10:00,2024,1,10,10,2846,0,10
2024-01-10 00:15:00,2024,1,10,15,2994,0,15
2024-01-10 00:20:00,2024,1,10,20,3382,0,20
2024-01-10 00:25:00,2024,1,10,25,3927,0,25
2024-01-10 00:30:00,2024,1,10,30,4091,0,30
2024-01-10 00:35:00,2024,1,10,35,3896,0,35
2024-01-10 00:40:00,2024,1,10,40,3604,0,40
2024-01-10 00:45:00,2024,1,10,45,3408,0,45
2024-01-10 00:50:00,2024,1,10,50,3290,0,50
2024-01-10 00:55:00,2024,1,10,55,3180,0,55
2024-01-10 01:00:00,2024,1,10,60,3090,1,0
2024-01-10 01:05:00,2024,1,10,65,3065,1,5
2024-01-10 01:10:00,2024,1,10,70,3010,1,10
2024-01-10 01:15:00,2024,1,10,75,3024,1,15
2024-01-10 01:20:00,2024,1,10,80,3199,1,20
2024-01-10 01:25:00,2024,1,10,85,3500,1,25
2024-01-10 01:30:00,2024,1,10,90,3440,1,30
2024-01-10 01:35:00,2024,1,10,95,3378,1,35
2024-01-10 01:40:00,2024,1,10,100,3280,1,40
2024-01-10 01:45:00,2024,1,10,105,3067,1,45
2024-01-10 01:50:00,2024,1,10,110,2830,1,50
2024-01-10 01:55:00,2024,1,10,115,2687,1,55
2024-01-11 00:00:00,2024,1,11,0,2619,0,0
2024-01-11 00:05:00,2024,1,11,5,2600,0,5
2024-01-11 00:10:00,2024,1,11,10,2604,0,10
2024-01-11 00:15:00,2024,1,11,15,2657,0,15
2024-01-11 00:20:00,2024,1,11,20,2773,0,20
2024-01-11 00:25:00,2024,1,11,25,2991,0,25
2024-01-11 00:30:00,2024,1,11,30,3223,0,30
2024-01-11 00:35:00,2024,1,11,35,3344,0,35
2024-01-11 00:40:00,2024,1,11,40,3338,0,40
2024-01-11 00:45:00,2024,1,11,45,3249,0,45
2024-01-11 00:50:00,2024,1,11,50,3182,0,50
2024-01-11 00:55:00,2024,1,11,55,3066,0,55
2024-01-11 01:00:00,2024,1,11,60,2996,1,0
2024-01-11 01:05:00,2024,1,11,65,2906,1,5
2024-01-11 01:10:00,2024,1,11,70,2881,1,10
2024-01-11 01:15:00,2024,1,11,75,2903,1,15
2024-01-11 01:20:00,2024,1,11,80,3099,1,20
2024-01-11 01:25:00,2024,1,11,85,3417,1,25
2024-01-11 01:30:00,2024,1,11,90,3368,1,30
2024-01-11 01:35:00,2024,1,11,95,3285,1,35
2024-01-11 01:40:00,2024,1,11,100,3152,1,40
2024-01-11 01:45:00,2024,1,11,105,2949,1,45
2024-01-11 01:50:00,2024,1,11,110,2729,1,50
2024-01-11 01:55:00,2024,1,11,115,2605,1,55
2024-01-12 00:00:00,2024,1,12,0,2522,0,0
2024-01-12 00:05:00,2024,1,12,5,2486,0,5
2024-01-12 00:10:00,2024,1,12,10,2455,0,10
2024-01-12 00:15:00,2024,1,12,15,2464,0,15
2024-01-12 00:20:00,2024,1,12,20,2563,0,20
2024-01-12 00:25:00,2024,1,12,25,2752,0,25
2024-01-12 00:30:00,2024,1,12,30,2935,0,30
2024-01-12 00:35:00,2024,1,12,35,3044,0,35
2024-01-12 00:40:00,2024,1,12,40,3072,0,40
2024-01-12 00:45:00,2024,1,12,45,3059,0,45
2024-01-12 00:50:00,2024,1,12,50,3011,0,50
2024-01-12 00:55:00,2024,1,12,55,2968,0,55
2024-01-12 01:00:00,2024,1,12,60,2895,1,0
2024-01-12 01:05:00,2024,1,12,65,2823,1,5
2024-01-12 01:10:00,2024,1,12,70,2826,1,10
2024-01-12 01:15:00,2024,1,12,75,2882,1,15
2024-01-12 01:20:00,2024,1,12,80,3127,1,20
2024-01-12 01:25:00,2024,1,12,85,3544,1,25
2024-01-12 01:30:00,2024,1,12,90,3545,1,30
2024-01-12 01:35:00,2024,1,12,95,3455,1,35
2024-01-12 01:40:00,2024,1,12,100,3344,1,40
2024-01-12 01:45:00,2024,1,12,105,3158,1,45
2024-01-12 01:50:00,2024,1,12,110,2900,1,50
2024-01-12 01:55:00,2024,1,12,115,2778,1,55
2024-01-13 00:00:00,2024,1,13,0,2757,0,0
2024-01-13 00:05:00,2024,1,13,5,2769,0,5
2024-01-13 00:10:00,2024,1,13,10,2819,0,10
2024-01-13 00:15:00,2024,1,13,15,2982,0,15
2024-01-13 00:20:00,2024,1,13,20,3282,0,20
2024-01-13 00:25:00,2024,1,13,25,3687,0,25
2024-01-13 00:30:00,2024,1,13,30,3897,0,30
2024-01-13 00:35:00,2024,1,13,35,3888,0,35
2024-01-13 00:40:00,2024,1,13,40,3768,0,40
2024-01-13 00:45:00,2024,1,13,45,3676,0,45
2024-01-13 00:50:00,2024,1,13,50,3559,0,50
2024-01-13 00:55:00,2024,1,13,55,3399,0,55
2024-01-13 01:00:00,2024,1,13,60,3288,1,0
2024-01-13 01:05:00,2024,1,13,65,3174,1,5
2024-01-13 01:10:00,2024,1,13,70,3130,1,10
2024-01-13 01:15:00,2024,1,13,75,3174,1,15
2024-01-13 01:20:00,2024,1,13,80,3535,1,20
2024-01-13 01:25:00,2024,1,13,85,3913,1,25
2024-01-13 01:30:00,2024,1,13,90,3937,1,30
2024-01-13 01:35:00,2024,1,13,95,3873,1,35
2024-01-13 01:40:00,2024,1,13,100,3779,1,40
2024-01-13 01:45:00,2024,1,13,105,3493,1,45
2024-01-13 01:50:00,2024,1,13,110,3199,1,50
2024-01-13 01:55:00,2024,1,13,115,3132,1,55
2024-01-14 00:00:00,2024,1,14,0,3103,0,0
2024-01-14 00:05:00,2024,1,14,5,3125,0,5
2024-01-14 00:10:00,2024,1,14,10,3216,0,10
2024-01-14 00:15:00,2024,1,14,15,3398,0,15
2024-01-14 00:20:00,2024,1,14,20,3800,0,20
2024-01-14 00:25:00,2024,1,14,25,4355,0,25
2024-01-14 00:30:00,2024,1,14,30,4547,0,30
2024-01-14 00:35:00,2024,1,14,35,4287,0,35
2024-01-14 00:40:00,2024,1,14,40,3941,0,40
2024-01-14 00:45:00,2024,1,14,45,3699,0,45
2024-01-14 00:50:00,2024,1,14,50,3490,0,50
2024-01-14 00:55:00,2024,1,14,55,3357,0,55
2024-01-14 01:00:00,2024,1,14,60,3228,1,0
2024-01-14 01:05:00,2024,1,14,65,3147,1,5
2024-01-14 01:10:00,2024,1,14,70,3088,1,10
2024-01-14 01:15:00,2024,1,14,75,3137,1,15
2024-01-14 01:20:00,2024,1,14,80,3407,1,20
2024-01-14 01:25:00,2024,1,14,85,3871,1,25
2024-01-14 01:30:00,2024,1,14,90,3914,1,30
2024-01-14 01:35:00,2024,1,14,95,3893,1,35
2024-01-14 01:40:00,2024,1,14,100,3814,1,40
2024-01-14 01:45:00,2024,1,14,105,3503,1,45
2024-01-14 01:50:00,2024,1,14,110,3240,1,50
2024-01-14 01:55:00,2024,1,14,115,3089,1,55
2024-01-15 00:00:00,2024,1,15,0,3052,0,0
2024-01-15 00:05:00,2024,1,15,5,3049,0,5
2024-01-15 00:10:00,2024,1,15,10,3107,0,10
2024-01-15 00:15:00,2024,1,15,15,3288,0,15
2024-01-15 00:20:00,2024,1,15,20,3720,0,20
2024-01-15 00:25:00,2024,1,15,25,4238,0,25
2024-01-15 00:30:00,2024,1,15,30,4407,0,30
2024-01-15 00:35:00,2024,1,15,35,4207,0,35
2024-01-15 00:40:00,2024,1,15,40,3888,0,40
2024-01-15 00:45:00,2024,1,15,45,3634,0,45
2024-01-15 00:50:00,2024,1,15,50,3432,0,50
2024-01-15 00:55:00,2024,1,15,55,3313,0,55
2024-01-15 01:00:00,2024,1,15,60,3215,1,0
2024-01-15 01:05:00,2024,1,15,65,3134,1,5
2024-01-15 01:10:00,2024,1,15,70,3091,1,10
2024-01-15 01:15:00,2024,1,15,75,3125,1,15
2024-01-15 01:20:00,2024,1,15,80,3382,1,20
2024-01-15 01:25:00,2024,1,15,85,3826,1,25
2024-01-15 01:30:00,2024,1,15,90,3852,1,30
2024-01-15 01:35:00,2024,1,15,95,3820,1,35
2024-01-15 01:40:00,2024,1,15,100,3709,1,40
2024-01-15 01:45:00,2024,1,15,105,3375,1,45
2024-01-15 01:50:00,2024,1,15,110,3045,1,50
2024-01-15 01:55:00,2024,1,15,115,2899,1,55
2024-01-16 00:00:00,2024,1,16,0,2849,0,0
2024-01-16 00:05:00,2024,1,16,5,2836,0,5
2024-01-16 00:10:00,2024,1,16,10,2839,0,10
2024-01-16 00:15:00,2024,1,16,15,2988,0,15
2024-01-16 00:20:00,2024,1,16,20,3334,0,20
2024-01-16 00:25:00,2024,1,16,25,3844,0,25
2024-01-16 00:30:00,2024,1,16,30,4056,0,30
2024-01-16 00:35:00,2024,1,16,35,3857,0,35
2024-01-16 00:40:00,2024,1,16,40,3638,0,40
2024-01-16 00:45:00,2024,1,16,45,3500,0,45
2024-01-16 00:50:00,2024,1,16,50,3416,0,50
2024-01-16 00:55:00,2024,1,16,55,3340,0,55
2024-01-16 01:00:00,2024,1,16,60,3281,1,0
2024-01-16 01:05:00,2024,1,16,65,3232,1,5
2024-01-16 01:10:00,2024,1,16,70,3187,1,10
2024-01-16 01:15:00,2024,1,16,75,3245,1,15
2024-01-16 01:20:00,2024,1,16,80,3471,1,20
2024-01-16 01:25:00,2024,1,16,85,3888,1,25
2024-01-16 01:30:00,2024,1,16,90,3899,1,30
2024-01-16 01:35:00,2024,1,16,95,3839,1,35
2024-01-16 01:40:00,2024,1,16,100,3750,1,40
2024-01-16 01:45:00,2024,1,16,105,3435,1,45
2024-01-16 01:50:00,2024,1,16,110,3159,1,50
2024-01-16 01:55:00,2024,1,16,115,3032,1,55
2024-01-17 00:00:00,2024,1,17,0,3017,0,0
2024-01-17 00:05:00,2024,1,17,5,3028,0,5
2024-01-17 00:10:00,2024,1,17,10,3100,0,10
2024-01-17 00:15:00,2024,1,17,15,3261,0,15
2024-01-17 00:20:00,2024,1,17,20,3652,0,20
2024-01-17 00:25:00,2024,1,17,25,4176,0,25
2024-01-17 00:30:00,2024,1,17,30,4396,0,30
2024-01-17 00:35:00,2024,1,17,35,4137,0,35
2024-01-17 00:40:00,2024,1,17,40,3809,0,40
2024-01-17 00:45:00,2024,1,17,45,3563,0,45
2024-01-17 00:50:00,2024,1,17,50,3366,0,50
2024-01-17 00:55:00,2024,1,17,55,3232,0,55
2024-01-17 01:00:00,2024,1,17,60,3123,1,0
2024-01-17 01:05:00,2024,1,17,65,3037,1,5
2024-01-17 01:10:00,2024,1,17,70,2981,1,10
2024-01-17 01:15:00,2024,1,17,75,3013,1,15
2024-01-17 01:20:00,2024,1,17,80,3220,1,20
2024-01-17 01:25:00,2024,1,17,85,3613,1,25
2024-01-17 01:30:00,2024,1,17,90,3670,1,30
2024-01-17 01:35:00,2024,1,17,95,3632,1,35
2024-01-17 01:40:00,2024,1,17,100,3620,1,40
2024-01-17 01:45:00,2024,1,17,105,3443,1,45
2024-01-17 01:50:00,2024,1,17,110,3230,1,50
2024-01-17 01:55:00,2024,1,17,115,3126,1,55
2024-01-18 00:00:00,2024,1,18,0,3086,0,0
2024-01-18 00:05:00,2024,1,18,5,3103,0,5
2024-01-18 00:10:00,2024,1,18,10,3145,0,10
2024-01-18 00:15:00,2024,1,18,15,3250,0,15
2024-01-18 00:20:00,2024,1,18,20,3439,0,20
2024-01-18 00:25:00,2024,1,18,25,3741,0,25
2024-01-18 00:30:00,2024,1,18,30,3990,0,30
2024-01-18 00:35:00,2024,1,18,35,4040,0,35
2024-01-18 00:40:00,2024,1,18,40,3869,0,40
2024-01-18 00:45:00,2024,1,18,45,3670,0,45
2024-01-18 00:50:00,2024,1,18,50,3439,0,50
2024-01-18 00:55:00,2024,1,18,55,3234,0,55
2024-01-18 01:00:00,2024,1,18,60,3064,1,0
2024-01-18 01:05:00,2024,1,18,65,2968,1,5
2024-01-18 01:10:00,2024,1,18,70,2893,1,10
2024-01-18 01:15:00,2024,1,18,75,2920,1,15
2024-01-18 01:20:00,2024,1,18,80,3137,1,20
2024-01-18 01:25:00,2024,1,18,85,3539,1,25
2024-01-18 01:30:00,2024,1,18,90,3563,1,30
2024-01-18 01:35:00,2024,1,18,95,3516,1,35
2024-01-18 01:40:00,2024,1,18,100,3455,1,40
2024-01-18 01:45:00,2024,1,18,105,3317,1,45
2024-01-18 01:50:00,2024,1,18,110,3151,1,50
2024-01-18 01:55:00,2024,1,18,115,3054,1,55
2024-01-19 00:00:00,2024,1,19,0,3025,0,0
2024-01-19 00:05:00,2024,1,19,5,3040,0,5
2024-01-19 00:10:00,2024,1,19,10,3095,0,10
2024-01-19 00:15:00,2024,1,19,15,3191,0,15
2024-01-19 00:20:00,2024,1,19,20,3364,0,20
2024-01-19 00:25:00,2024,1,19,25,3603,0,25
2024-01-19 00:30:00,2024,1,19,30,3831,0,30
2024-01-19 00:35:00,2024,1,19,35,3898,0,35
2024-01-19 00:40:00,2024,1,19,40,3745,0,40
2024-01-19 00:45:00,2024,1,19,45,3527,0,45
2024-01-19 00:50:00,2024,1,19,50,3332,0,50
2024-01-19 00:55:00,2024,1,19,55,3194,0,55
2024-01-19 01:00:00,2024,1,19,60,3048,1,0
2024-01-19 01:05:00,2024,1,19,65,2932,1,5
2024-01-19 01:10:00,2024,1,19,70,2873,1,10
2024-01-19 01:15:00,2024,1,19,75,2929,1,15
2024-01-19 01:20:00,2024,1,19,80,3156,1,20
2024-01-19 01:25:00,2024,1,19,85,3619,1,25
2024-01-19 01:30:00,2024,1,19,90,3697,1,30
2024-01-19 01:35:00,2024,1,19,95,3646,1,35
2024-01-19 01:40:00,2024,1,19,100,3505,1,40
2024-01-19 01:45:00,2024,1,19,105,3233,1,45
2024-01-19 01:50:00,2024,1,19,110,2977,1,50
2024-01-19 01:55:00,2024,1,19,115,2850,1,55
2024-01-20 00:00:00,2024,1,20,0,2823,0,0
2024-01-20 00:05:00,2024,1,20,5,2834,0,5
2024-01-20 00:10:00,2024,1,20,10,2871,0,10
2024-01-20 00:15:00,2024,1,20,15,3038,0,15
2024-01-20 00:20:00,2024,1,20,20,3423,0,20
2024-01-20 00:25:00,2024,1,20,25,3989,0,25
2024-01-20 00:30:00,2024,1,20,30,4181,0,30
2024-01-20 00:35:00,2024,1,20,35,3951,0,35
2024-01-20 00:40:00,2024,1,20,40,3691,0,40
2024-01-20 00:45:00,2024,1,20,45,3515,0,45
2024-01-20 00:50:00,2024,1,20,50,3375,0,50
2024-01-20 00:55:00,2024,1,20,55,3292,0,55
2024-01-20 01:00:00,2024,1,20,60,3201,1,0
2024-01-20 01:05:00,2024,1,20,65,3115,1,5
2024-01-20 01:10:00,2024,1,20,70,3076,1,10
2024-01-20 01:15:00,2024,1,20,75,3101,1,15
2024-01-20 01:20:00,2024,1,20,80,3304,1,20
2024-01-20 01:25:00,2024,1,20,85,3717,1,25
2024-01-20 01:30:00,2024,1,20,90,3740,1,30
2024-01-20 01:35:00,2024,1,20,95,3653,1,35
2024-01-20 01:40:00,2024,1,20,100,3479,1,40
2024-01-20 01:45:00,2024,1,20,105,3173,1,45
2024-01-20 01:50:00,2024,1,20,110,2885,1,50
2024-01-20 01:55:00,2024,1,20,115,2721,1,55
2024-01-21 00:00:00,2024,1,21,0,2685,0,0
