Year,Month,Day,Period,1,2,3,,,,
2024,1,5,20,1201.8,1353.0,1563.8,,,,
2024,1,5,21,1144.0,1308.6,1516.1,,,,
2024,1,5,22,1049.2,1251.2,1437.2,,,,
2024,1,5,23,965.6,1159.6,1324.0,,,,
2024,1,5,24,934.6,1074.4,1214.5,,,,
2024,1,6,1,924.7,1027.3,1116.2,,,,
2024,1,6,2,926.1,1009.8,1069.3,,,,
2024,1,6,3,945.5,994.1,1033.7,,,,
2024,1,6,4,993.1,1003.5,1029.6,,,,
2024,1,6,5,1131.7,1039.4,1056.2,,,,
2024,1,6,6,1319.2,1148.0,1156.3,,,,
2024,1,6,7,1389.7,1278.1,1338.0,,,,
2024,1,6,8,1317.1,1245.8,1449.8,,,,
2024,1,6,9,1233.6,1242.6,1542.2,,,,
2024,1,6,10,1191.6,1228.3,1625.6,,,,
2024,1,6,11,1158.5,1229.2,1691.9,,,,
2024,1,6,12,1132.4,1218.9,1736.1,,,,
2024,1,6,13,1105.2,1172.2,1739.7,,,,
2024,1,6,14,1083.7,1117.5,1751.4,,,,
2024,1,6,15,1079.5,1134.1,1743.3,,,,
2024,1,6,16,1087.6,1125.1,1709.9,,,,
2024,1,6,17,1177.2,1223.8,1697.7,,,,
2024,1,6,18,1311.8,1436.4,1853.7,,,,
2024,1,6,19,1312.5,1470.5,1842.0,,,,
2024,1,6,20,1284.0,1460.2,1774.4,,,,
2024,1,6,21,1235.7,1435.5,1687.8,,,,
2024,1,6,22,1127.1,1375.0,1580.1,,,,
2024,1,6,23,1031.2,1266.4,1425.0,,,,
2024,1,6,24,985.0,1179.4,1292.9,,,,
2024,1,7,1,984.3,1045.7,1173.9,,,,
2024,1,7,2,980.8,1030.0,1112.1,,,,
2024,1,7,3,999.8,1024.6,1068.4,,,,
2024,1,7,4,1048.1,1037.6,1063.9,,,,
2024,1,7,5,1188.4,1087.0,1082.8,,,,
2024,1,7,6,1367.9,1212.1,1172.5,,,,
2024,1,7,7,1425.7,1329.7,1364.1,,,,
2024,1,7,8,1355.2,1296.5,1466.5,,,,
2024,1,7,9,1255.8,1251.6,1558.9,,,,
2024,1,7,10,1195.1,1216.6,1626.1,,,,
2024,1,7,11,1147.5,1029.1,1692.3,,,,
2024,1,7,12,1119.3,1201.4,1727.0,,,,
2024,1,7,13,1111.2,1174.9,1739.2,,,,
2024,1,7,14,1078.4,1145.3,1746.4,,,,
2024,1,7,15,1069.3,1118.8,1753.2,,,,
2024,1,7,16,1081.6,1121.5,1722.1,,,,
2024,1,7,17,1170.8,1236.8,1706.8,,,,
2024,1,7,18,1297.4,1446.8,1842.0,,,,
2024,1,7,19,1293.5,1478.6,1834.8,,,,
2024,1,7,20,1280.8,1467.8,1771.2,,,,
2024,1,7,21,1223.7,1447.7,1697.7,,,,
2024,1,7,22,1131.0,1385.3,1575.1,,,,
2024,1,7,23,1029.4,1278.1,1429.5,,,,
2024,1,7,24,999.1,1188.8,1281.6,,,,
2024,1,8,1,980.1,1124.2,1176.2,,,,
2024,1,8,2,990.7,1106.7,1108.1,,,,
2024,1,8,3,1011.5,1102.2,1074.3,,,,
2024,1,8,4,1078.4,1114.3,1066.2,,,,
2024,1,8,5,1208.2,1178.9,1092.8,,,,
2024,1,8,6,1403.1,1296.9,1187.4,,,,
2024,1,8,7,1477.5,1410.9,1384.9,,,,
2024,1,8,8,1407.0,1375.4,1480.0,,,,
2024,1,8,9,1291.0,1338.6,1563.4,,,,
2024,1,8,10,1219.8,1301.9,1641.4,,,,
2024,1,8,11,1168.3,1270.9,1695.9,,,,
2024,1,8,12,1127.1,1242.2,1730.6,,,,
2024,1,8,13,1103.8,1204.5,1718.5,,,,
2024,1,8,14,1082.3,1186.1,1717.6,,,,
2024,1,8,15,1072.1,1153.4,1701.3,,,,
2024,1,8,16,1093.6,1186.1,1679.7,,,,
2024,1,8,17,1178.6,1320.7,1675.6,,,,
2024,1,8,18,1312.5,1476.4,1843.8,,,,
2024,1,8,19,1309.4,1495.2,1845.6,,,,
2024,1,8,20,1288.2,1485.8,1786.5,,,,
2024,1,8,21,1250.8,1450.8,1720.7,,,,
2024,1,8,22,1148.2,1385.3,1591.8,,,,
2024,1,8,23,1049.5,1285.3,1451.1,,,,
2024,1,8,24,1007.6,1190.6,1308.7,,,,
2024,1,9,1,995.9,1126.0,1195.5,,,,
2024,1,9,2,999.1,1093.7,1127.0,,,,
2024,1,9,3,1023.1,1087.9,1102.7,,,,
2024,1,9,4,1079.5,1104.5,1093.7,,,,
2024,1,9,5,1220.5,1155.6,1108.1,,,,
2024,1,9,6,1413.7,1276.3,1201.9,,,,
2024,1,9,7,1470.5,1379.9,1379.5,,,,
2024,1,9,8,1403.5,1336.8,1489.9,,,,
2024,1,9,9,1296.7,1306.3,1606.2,,,,
2024,1,9,10,1222.3,1272.7,1682.9,,,,
2024,1,9,11,1169.4,1200.5,1716.2,,,,
2024,1,9,12,1135.2,1143.5,1731.5,,,,
2024,1,9,13,1107.7,1119.3,1732.9,,,,
2024,1,9,14,1084.8,1095.5,1750.0,,,,
2024,1,9,15,1072.8,1080.2,1733.8,,,,
2024,1,9,16,1080.6,1097.3,1724.3,,,,
2024,1,9,17,1163.8,1187.9,1704.5,,,,
2024,1,9,18,1302.0,1413.6,1866.8,,,,
2024,1,9,19,1304.4,1446.8,1865.9,,,,
2024,1,9,20,1284.7,1434.6,1788.4,,,,
2024,1,9,21,1241.7,1399.7,1700.0,,,,
2024,1,9,22,1148.6,1331.9,1577.4,,,,
2024,1,9,23,1045.7,1237.3,1432.7,,,,
2024,1,9,24,992.8,1138.6,1287.5,,,,
2024,1,10,1,982.6,1078.0,1178.4,,,,
2024,1,10,2,983.6,1049.3,1120.3,,,,
2024,1,10,3,1003.4,1039.9,1093.2,,,,
2024,1,10,4,1055.5,1051.1,1079.2,,,,
2024,1,10,5,1192.3,1100.0,1090.1,,,,
2024,1,10,6,1384.5,1213.0,1187.9,,,,
2024,1,10,7,1442.3,1297.8,1367.7,,,,
2024,1,10,8,1373.5,1271.8,1481.8,,,,
2024,1,10,9,1270.6,1250.3,1575.6,,,,
2024,1,10,10,1201.5,1238.6,1662.1,,,,
2024,1,10,11,1159.9,1229.2,1718.5,,,,
2024,1,10,12,1121.1,1203.2,1748.7,,,,
2024,1,10,13,1089.4,1178.0,1745.1,,,,
2024,1,10,14,1080.6,1155.6,1738.3,,,,
2024,1,10,15,1061.2,1127.3,1712.2,,,,
2024,1,10,16,1066.1,1113.0,1663.5,,,,
2024,1,10,17,1127.8,1186.6,1662.1,,,,
2024,1,10,18,1233.9,1381.3,1792.0,,,,
2024,1,10,19,1212.8,1398.3,1789.7,,,,
2024,1,10,20,1190.9,1381.7,1710.8,,,,
2024,1,10,21,1156.4,1353.9,1638.7,,,,
2024,1,10,22,1081.3,1311.3,1542.7,,,,
2024,1,10,23,997.7,1240.4,1426.8,,,,
2024,1,10,24,947.3,1144.4,1303.3,,,,
2024,1,11,1,923.3,1082.0,1196.9,,,,
2024,1,11,2,916.6,1052.0,1126.6,,,,
2024,1,11,3,918.0,1031.3,1088.7,,,,
2024,1,11,4,936.7,1027.8,1057.6,,,,
2024,1,11,5,977.6,1035.4,1057.6,,,,
2024,1,11,6,1054.5,1067.2,1087.8,,,,
2024,1,11,7,1136.3,1110.3,1146.4,,,,
2024,1,11,8,1178.9,1086.1,1189.7,,,,
2024,1,11,9,1176.8,1113.9,1319.1,,,,
2024,1,11,10,1145.4,1128.2,1443.9,,,,
2024,1,11,11,1121.8,1109.9,1525.5,,,,
2024,1,11,12,1080.9,1094.6,1524.2,,,,
2024,1,11,13,1056.2,1075.8,1499.8,,,,
2024,1,11,14,1024.5,1064.5,1459.3,,,,
2024,1,11,15,1015.7,1055.6,1420.9,,,,
2024,1,11,16,1023.4,1073.1,1395.7,,,,
2024,1,11,17,1092.5,1166.8,1418.7,,,,
2024,1,11,18,1204.7,1355.7,1595.0,,,,
2024,1,11,19,1187.4,1361.5,1653.6,,,,
2024,1,11,20,1158.1,1344.5,1609.4,,,,
2024,1,11,21,1111.2,1314.9,1561.6,,,,
2024,1,11,22,1039.7,1263.7,1491.7,,,,
2024,1,11,23,962.1,1198.7,1386.7,,,,
2024,1,11,24,918.4,1111.6,1284.3,,,,
2024,1,12,1,889.1,1053.3,1201.4,,,,
2024,1,12,2,876.4,1026.9,1136.5,,,,
2024,1,12,3,865.5,1002.2,1097.7,,,,
2024,1,12,4,868.7,996.4,1065.7,,,,
2024,1,12,5,903.6,1007.1,1065.7,,,,
2024,1,12,6,970.2,1039.9,1085.1,,,,
2024,1,12,7,1034.7,1076.2,1113.5,,,,
2024,1,12,8,1073.2,1043.5,1131.5,,,,
2024,1,12,9,1083.0,1072.2,1203.2,,,,
2024,1,12,10,1078.4,1099.1,1264.1,,,,
2024,1,12,11,1061.5,1093.3,1304.6,,,,
2024,1,12,12,1046.4,1110.3,1298.8,,,,
2024,1,12,13,1020.6,1091.0,1317.7,,,,
2024,1,12,14,995.2,1091.5,1303.3,,,,
2024,1,12,15,996.3,1084.7,1282.5,,,,
2024,1,12,16,1016.0,1095.9,1278.9,,,,
2024,1,12,17,1102.4,1193.3,1326.7,,,,
2024,1,12,18,1249.4,1417.1,1552.1,,,,
2024,1,12,19,1249.8,1449.9,1659.4,,,,
2024,1,12,20,1218.1,1432.9,1650.9,,,,
2024,1,12,21,1178.9,1403.7,1593.2,,,,
2024,1,12,22,1113.3,1362.4,1516.5,,,,
2024,1,12,23,1022.4,1308.1,1418.7,,,,
2024,1,12,24,979.4,1231.0,1302.4,,,,
2024,1,13,1,972.0,1172.2,1206.4,,,,
2024,1,13,2,976.2,1138.1,1133.8,,,,
2024,1,13,3,993.8,1121.1,1106.7,,,,
2024,1,13,4,1051.3,1133.2,1090.5,,,,
2024,1,13,5,1157.1,1179.4,1113.9,,,,
2024,1,13,6,1299.8,1257.0,1197.3,,,,
2024,1,13,7,1373.9,1326.1,1335.7,,,,
2024,1,13,8,1370.7,1291.1,1406.1,,,,
2024,1,13,9,1328.4,1303.7,1512.0,,,,
2024,1,13,10,1296.0,1322.0,1602.2,,,,
2024,1,13,11,1254.7,1299.6,1647.2,,,,
2024,1,13,12,1198.3,1270.9,1650.0,,,,
2024,1,13,13,1159.2,1244.4,1624.7,,,,
2024,1,13,14,1119.0,1214.8,1620.2,,,,
2024,1,13,15,1103.5,1189.7,1590.9,,,,
2024,1,13,16,1119.0,1178.9,1565.2,,,,
2024,1,13,17,1246.3,1271.8,1586.8,,,,
2024,1,13,18,1379.5,1488.0,1786.5,,,,
2024,1,13,19,1388.0,1512.7,1824.9,,,,
2024,1,13,20,1365.4,1517.6,1786.5,,,,
2024,1,13,21,1332.3,1489.8,1699.1,,,,
2024,1,13,22,1231.5,1440.5,1589.5,,,,
2024,1,13,23,1127.8,1361.1,1456.1,,,,
2024,1,13,24,1104.2,1270.0,1312.7,,,,
2024,1,14,1,1094.0,1209.4,1202.8,,,,
2024,1,14,2,1101.7,1186.1,1132.4,,,,
2024,1,14,3,1133.8,1168.6,1102.2,,,,
2024,1,14,4,1198.0,1187.9,1088.7,,,,
2024,1,14,5,1339.7,1235.9,1109.4,,,,
2024,1,14,6,1535.3,1345.4,1218.1,,,,
2024,1,14,7,1603.0,1446.3,1419.6,,,,
2024,1,14,8,1511.4,1408.6,1541.8,,,,
2024,1,14,9,1389.4,1363.3,1636.4,,,,
2024,1,14,10,1304.1,1322.9,1680.6,,,,
2024,1,14,11,1230.4,1287.5,1739.7,,,,
2024,1,14,12,1183.5,1244.9,1736.5,,,,
2024,1,14,13,1138.0,1208.1,1743.3,,,,
2024,1,14,14,1109.5,1170.4,1720.3,,,,
2024,1,14,15,1088.7,1148.0,1710.8,,,,
2024,1,14,16,1105.9,1145.3,1673.8,,,,
2024,1,14,17,1201.1,1254.3,1664.8,,,,
2024,1,14,18,1364.7,1460.7,1890.7,,,,
2024,1,14,19,1379.9,1491.2,1919.5,,,,
2024,1,14,20,1372.5,1481.7,1839.3,,,,
2024,1,14,21,1344.6,1448.1,1756.8,,,,
2024,1,14,22,1235.0,1377.7,1638.7,,,,
2024,1,14,23,1142.3,1285.3,1477.3,,,,
2024,1,14,24,1089.0,1166.4,1322.2,,,,
2024,1,15,1,1076.0,1107.6,1211.3,,,,
2024,1,15,2,1074.9,1083.8,1136.0,,,,
2024,1,15,3,1095.4,1069.9,1098.6,,,,
2024,1,15,4,1159.2,1078.9,1083.7,,,,
2024,1,15,5,1311.5,1132.7,1116.2,,,,
2024,1,15,6,1494.1,1253.9,1209.1,,,,
2024,1,15,7,1553.7,1366.0,1430.4,,,,
2024,1,15,8,1483.2,1324.7,1544.0,,,,
2024,1,15,9,1370.7,1285.7,1623.4,,,,
2024,1,15,10,1281.2,1250.3,1686.5,,,,
2024,1,15,11,1209.9,1238.2,1749.1,,,,
2024,1,15,12,1168.0,1217.5,1766.3,,,,
2024,1,15,13,1133.4,1202.7,1756.3,,,,
2024,1,15,14,1104.9,1187.9,1747.8,,,,
2024,1,15,15,1089.7,1160.1,1720.7,,,,
2024,1,15,16,1101.7,1146.2,1706.8,,,,
2024,1,15,17,1192.3,1244.0,1759.0,,,,
2024,1,15,18,1348.8,1437.8,1908.7,,,,
2024,1,15,19,1358.0,1462.9,1919.5,,,,
2024,1,15,20,1346.7,1442.3,1879.9,,,,
2024,1,15,21,1307.6,1397.4,1790.6,,,,
2024,1,15,22,1189.9,1322.0,1658.5,,,,
2024,1,15,23,1073.5,1211.2,1483.6,,,,
2024,1,15,24,1022.0,1092.4,1328.5,,,,
2024,1,16,1,1004.4,1028.7,1210.0,,,,
2024,1,16,2,999.8,1006.7,1157.7,,,,
2024,1,16,3,1000.9,1006.2,1114.8,,,,
2024,1,16,4,1053.4,1016.5,1099.1,,,,
2024,1,16,5,1175.4,1045.7,1121.6,,,,
2024,1,16,6,1355.2,1144.4,1217.2,,,,
2024,1,16,7,1429.9,1275.8,1405.2,,,,
2024,1,16,8,1359.8,1268.7,1525.5,,,,
2024,1,16,9,1282.6,1264.2,1608.9,,,,
2024,1,16,10,1233.9,1248.5,1668.0,,,,
2024,1,16,11,1204.3,1206.8,1718.0,,,,
2024,1,16,12,1177.5,1191.9,1730.2,,,,
2024,1,16,13,1156.7,1173.1,1716.2,,,,
2024,1,16,14,1139.4,1149.3,1709.0,,,,
2024,1,16,15,1123.6,1137.2,1682.4,,,,
2024,1,16,16,1144.0,1135.9,1652.2,,,,
2024,1,16,17,1223.7,1222.9,1661.2,,,,
2024,1,16,18,1370.7,1433.7,1846.1,,,,
2024,1,16,19,1374.6,1475.9,1892.0,,,,
2024,1,16,20,1353.4,1477.3,1848.3,,,,
2024,1,16,21,1322.1,1445.0,1787.9,,,,
2024,1,16,22,1211.0,1379.5,1666.6,,,,
2024,1,16,23,1113.7,1279.4,1511.1,,,,
2024,1,16,24,1068.9,1175.8,1356.9,,,,
2024,1,17,1,1063.6,1128.7,1242.9,,,,
2024,1,17,2,1067.5,1103.6,1173.0,,,,
2024,1,17,3,1092.9,1100.0,1135.1,,,,
2024,1,17,4,1149.7,1119.3,1126.6,,,,
2024,1,17,5,1287.5,1177.6,1145.0,,,,
2024,1,17,6,1472.2,1289.7,1241.5,,,,
2024,1,17,7,1549.8,1397.4,1430.0,,,,
2024,1,17,8,1458.5,1366.9,1557.1,,,,
2024,1,17,9,1342.9,1336.0,1627.0,,,,
2024,1,17,10,1256.1,1305.9,1690.5,,,,
2024,1,17,11,1186.7,1272.2,1713.1,,,,
2024,1,17,12,1139.4,1227.4,1732.5,,,,
2024,1,17,13,1101.0,1197.3,1709.5,,,,
2024,1,17,14,1070.7,1179.8,1691.9,,,,
2024,1,17,15,1050.9,1137.2,1669.3,,,,
2024,1,17,16,1062.2,1121.5,1631.5,,,,
2024,1,17,17,1135.2,1202.7,1622.0,,,,
2024,1,17,18,1273.8,1411.8,1799.2,,,,
2024,1,17,19,1293.9,1456.2,1811.8,,,,
2024,1,17,20,1280.5,1454.8,1762.2,,,,
2024,1,17,21,1276.2,1438.2,1678.8,,,,
2024,1,17,22,1213.8,1403.7,1598.6,,,,
2024,1,17,23,1138.7,1331.5,1489.9,,,,
2024,1,17,24,1102.1,1260.1,1358.7,,,,
2024,1,18,1,1088.0,1218.9,1254.6,,,,
2024,1,18,2,1094.0,1188.4,1175.3,,,,
2024,1,18,3,1108.8,1171.3,1131.5,,,,
2024,1,18,4,1145.8,1180.7,1109.9,,,,
2024,1,18,5,1212.4,1209.9,1113.0,,,,
2024,1,18,6,1318.9,1262.8,1152.3,,,,
2024,1,18,7,1406.7,1312.2,1220.3,,,,
2024,1,18,8,1424.3,1286.2,1264.1,,,,
2024,1,18,9,1364.0,1281.7,1368.6,,,,
2024,1,18,10,1293.9,1277.6,1433.6,,,,
2024,1,18,11,1212.4,1241.3,1471.4,,,,
2024,1,18,12,1140.1,1174.9,1466.9,,,,
2024,1,18,13,1080.2,1131.4,1444.4,,,,
2024,1,18,14,1046.4,1094.2,1402.9,,,,
2024,1,18,15,1019.9,1073.5,1372.7,,,,
2024,1,18,16,1029.4,1067.2,1343.9,,,,
2024,1,18,17,1105.9,1157.9,1360.5,,,,
2024,1,18,18,1247.7,1384.4,1522.4,,,,
2024,1,18,19,1256.1,1423.0,1613.9,,,,
2024,1,18,20,1239.6,1415.4,1572.0,,,,
2024,1,18,21,1218.1,1398.8,1523.7,,,,
2024,1,18,22,1169.4,1367.8,1464.2,,,,
2024,1,18,23,1110.9,1322.0,1383.1,,,,
2024,1,18,24,1076.7,1253.0,1330.8,,,,
2024,1,19,1,1066.5,1206.8,1200.9,,,,
2024,1,19,2,1071.7,1163.7,1132.4,,,,
2024,1,19,3,1091.1,1147.1,1090.1,,,,
2024,1,19,4,1125.0,1132.7,1065.7,,,,
2024,1,19,5,1186.0,1143.5,1063.5,,,,
2024,1,19,6,1270.2,1157.4,1088.7,,,,
2024,1,19,7,1350.6,1194.2,1127.5,,,,
2024,1,19,8,1374.2,1174.0,1139.2,,,,
2024,1,19,9,1320.3,1209.4,1211.8,,,,
2024,1,19,10,1243.4,1215.7,1266.8,,,,
2024,1,19,11,1174.7,1185.2,1308.7,,,,
2024,1,19,12,1126.0,1161.0,1318.6,,,,
2024,1,19,13,1074.6,1123.3,1317.7,,,,
2024,1,19,14,1033.7,1092.4,1316.4,,,,
2024,1,19,15,1012.9,1062.7,1302.8,,,,
2024,1,19,16,1032.6,1074.4,1294.7,,,,
2024,1,19,17,1112.6,1152.5,1330.3,,,,
2024,1,19,18,1275.9,1380.8,1508.9,,,,
2024,1,19,19,1303.4,1423.9,1610.7,,,,
2024,1,19,20,1285.4,1421.2,1599.0,,,,
2024,1,19,21,1235.7,1392.9,1558.0,,,,
2024,1,19,22,1139.8,1333.7,1486.3,,,,
2024,1,19,23,1049.5,1260.6,1364.1,,,,
2024,1,19,24,1004.8,1174.5,1246.0,,,,
2024,1,20,1,995.2,1106.3,1145.5,,,,
2024,1,20,2,999.1,1081.1,1101.3,,,,
2024,1,20,3,1012.2,1078.0,1077.0,,,,
2024,1,20,4,1071.0,1098.6,1061.2,,,,
2024,1,20,5,1206.8,1156.5,1082.8,,,,
2024,1,20,6,1406.3,1274.0,1180.7,,,,
2024,1,20,7,1474.0,1378.6,1363.2,,,,
2024,1,20,8,1392.9,1350.8,1469.6,,,,
2024,1,20,9,1301.3,1324.7,1563.4,,,,
2024,1,20,10,1239.2,1302.3,1633.7,,,,
2024,1,20,11,1189.9,1269.1,1683.8,,,,
2024,1,20,12,1160.6,1228.7,1705.0,,,,
2024,1,20,13,1128.5,1209.0,1709.5,,,,
2024,1,20,14,1098.2,1178.0,1710.8,,,,
2024,1,20,15,1084.4,1152.5,1694.6,,,,
2024,1,20,16,1093.3,1136.3,1675.2,,,,
2024,1,20,17,1164.8,1214.8,1662.6,,,,
2024,1,20,18,1310.4,1429.3,1808.2,,,,
2024,1,20,19,1318.5,1473.7,1844.3,,,,
2024,1,20,20,1287.9,1466.9,1784.3,,,,
2024,1,20,21,1226.5,1437.8,1713.1,,,,
2024,1,20,22,1118.6,1360.2,1587.7,,,,
2024,1,20,23,1017.1,1268.2,1431.3,,,,
2024,1,20,24,959.3,1155.6,1296.5,,,,
2024,1,21,1,946.6,1089.2,1182.0,,,,
2024,1,21,2,937.8,1064.5,1120.7,,,,
2024,1,21,3,954.7,1068.1,1077.0,,,,
2024,1,21,4,997.4,1089.2,1061.2,,,,
2024,1,21,5,1128.5,1151.1,1082.4,,,,
2024,1,21,6,1306.5,1265.1,1175.7,,,,
2024,1,21,7,1369.3,1369.6,1370.5,,,,
2024,1,21,8,1303.4,1327.9,1470.5,,,,
2024,1,21,9,1241.7,1310.8,1564.8,,,,
2024,1,21,10,1195.8,1293.3,1636.9,,,,
2024,1,21,11,1157.4,1243.5,1705.0,,,,
2024,1,21,12,1137.3,1219.3,1755.0,,,,
2024,1,21,13,1117.6,1187.0,1766.3,,,,
2024,1,21,14,1123.2,1161.9,1769.9,,,,
2024,1,21,15,1095.0,1159.2,1767.2,,,,
2024,1,21,16,1095.0,1151.1,1728.8,,,,
2024,1,21,17,1149.0,1205.4,1690.5,,,,
2024,1,21,18,1292.1,1414.5,1832.1,,,,
2024,1,21,19,1283.3,1465.6,1874.5,,,,
2024,1,21,20,1251.5,1456.2,1813.1,,,,
2024,1,21,21,1201.8,1426.1,1674.3,,,,
