"Year","Month","Day","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257","258","259","260","261","262","263","264","265","266","267","268","269","270","271","272","273","274","275","276","277","278","279","280","281","282","283","284","285","286","287","288"
2024,1,11,46,44,44,45,46,47,47,48,48,48,48,48,48,48,48,48,48,48,47,46,46,46,47,48,48,48,48,48,48,48,48,48,48,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,48,47,46,45,44,44,43,43,42,41,41,41,55,40,40,39,43,40,40,40,44,44,52,47,47,48,48,48,48,48,49,49,49,49,50,50,50,50,50,50,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,60,57,57,58,60,58,57,57,57,57,57,58,57,57,68,57,57,57,57,68,68,68,68,68,68,68,68,67,67,67,67,67,67,68,68,69,69,69,69,70,70,70,71,69,69,69,69,69,69,69,68,71,71,69,69,69,69,70,70,67,70,70,70,70,70,67,71,58,60,58,67,70,51,51,52,52,53,53,53,54,54,54,54,54,54,54,53,52,52,52,51,51,51,52,52,52,52,51,51,50,50,50,50,50,50,51,51,51,51,51,51,52,51,51,51,51,51,51,50,50,51,51,51,51,51,52,51,51,50,50,49,49,48,47,47,47,46,46,45,45,45,44,44,43,42,42,42,43,43,42,42,43,42,43,43,43,43,43,42,42
2024,1,12,42,42,42,41,41,41,41,42,42,42,41,42,41,40,39,39,39,38,38,37,37,37,37,36,36,37,37,36,36,37,37,36,37,38,40,40,39,38,38,38,39,38,38,39,39,38,38,38,38,38,38,38,38,39,40,40,41,41,41,41,41,41,42,42,42,42,42,42,42,42,41,41,42,42,41,41,41,41,41,41,41,42,42,46,57,57,57,42,43,43,43,43,47,55,50,54,54,54,54,57,57,57,57,57,57,57,57,45,45,46,47,47,47,48,48,48,48,49,49,49,49,49,49,48,48,49,49,49,49,49,49,49,50,50,50,50,50,50,50,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,51,51,50,50,50,49,49,49,49,49,49,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,54,54,53,53,52,52,52,52,52,51,65,65,51,64,55,57,47,53,58,53,54,51,49,49,50,51,52,51,52,52,53,53,54,54,54,55,55,55,55,55,55,56,56,56,56,56,56,56,56,55,55,55,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54,54,54,54,54,54,53,53,53,53,53,53,53,53,52,52,52,52,52,52,52,52,51,51,51,51,51,51,51,51,51,50,50,50,50,50,50,50,50,50,50,50
2024,1,13,50,50,49,49,49,49,49,49,49,49,49,48,48,48,48,48,47,46,46,46,46,45,44,44,44,43,43,42,42,42,42,41,41,40,40,40,40,40,40,40,40,41,41,40,40,41,41,41,41,41,41,43,43,43,43,43,43,44,44,45,44,44,45,45,46,46,46,46,46,47,47,47,48,49,50,51,52,53,53,53,53,54,54,56,56,52,51,53,50,50,50,51,51,53,60,56,56,59,60,59,59,59,59,59,59,58,58,53,53,53,54,51,50,50,50,49,48,48,48,48,48,48,47,47,47,47,47,47,46,46,46,46,46,45,45,45,45,45,45,43,43,44,44,45,45,45,45,45,45,44,44,44,44,44,45,45,45,46,46,46,46,47,47,47,47,47,47,47,48,48,48,48,49,49,49,49,49,50,50,53,53,53,54,54,54,54,55,55,55,55,56,56,56,57,69,61,59,62,57,57,59,57,55,56,57,57,57,58,58,58,58,58,58,58,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,57,57,57,57,56,56,56,56,55,55,55,54,54,54,53,53,53,53,52,52,52,52,53,54,55,55,55,55,55,55,54,54,54,52,50,49,48,47,45,44,44,44,44,44,45,45,45,45,45,45,45,46,46,46,47,47,47,47
2024,1,14,48,48,49,48,48,47,47,46,46,47,47,45,44,42,42,42,41,40,40,39,39,38,38,38,38,37,38,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,39,39,39,39,40,40,40,41,41,41,42,42,42,43,43,43,44,44,44,45,45,45,45,45,45,46,46,46,45,45,59,59,45,45,45,45,45,57,52,52,55,55,55,55,55,55,55,55,59,58,58,55,50,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,46,47,47,46,46,46,46,46,46,46,46,46,46,46,47,47,46,46,46,45,45,46,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,45,45,45,46,47,46,46,46,47,47,46,46,49,50,50,50,50,50,50,50,50,50,49,63,63,62,65,63,55,44,67,59,47,47,45,46,48,48,48,49,49,49,49,49,49,49,49,50,49,49,50,50,50,50,50,51,51,50,50,50,50,50,50,51,50,50,50,50,50,50,50,51,51,51,52,52,52,53,53,54,54,54,54,55,55,55,55,55,55,55,55,54,53,52,51,50,49,48,47,47,46,46,46,46,47,47,47,47,47,46,46,46,46,46,46,46,46,46,46,46
2024,1,15,46,46,46,45,45,45,45,45,45,45,46,47,47,47,47,47,47,49,50,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,47,45,43,42,42,41,40,39,39,39,38,39,39,39,40,41,42,44,47,50,51,51,49,48,48,48,49,51,52,52,53,53,53,53,54,54,54,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54,53,53,53,52,54,55,62,58,61,64,64,64,63,63,63,64,64,64,64,54,54,55,55,56,56,56,55,56,56,56,56,55,56,56,57,57,57,57,57,57,57,57,57,57,59,59,59,58,58,58,58,58,58,58,57,57,58,64,64,58,63,63,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67,66,66,66,66,65,65,71,72,65,65,66,72,72,72,72,72,77,77,77,77,77,71,72,73,73,61,53,73,67,55,53,54,54,55,56,56,57,57,58,58,58,57,58,58,58,57,57,58,58,58,58,58,58,58,58,58,58,58,58,57,56,56,56,55,55,55,55,55,56,56,55,55,55,55,55,55,56,56,55,55,54,53,53,53,53,53,54,54,54,53,53,53,53,52,52,51,51,50,49,49,48,48,48,47,47,47,47,47,46,46,45,46,46,46,45,45,46
2024,1,16,46,46,46,45,45,45,45,45,45,45,45,45,45,45,45,44,44,45,46,46,46,46,46,45,45,46,45,45,45,46,46,46,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,50,50,50,50,50,50,51,51,51,51,51,52,52,52,52,53,53,53,53,53,53,53,53,54,53,53,53,53,53,53,53,53,53,53,57,64,64,59,62,65,65,65,65,65,64,64,64,64,65,55,55,55,56,59,57,57,57,57,57,59,59,59,59,56,56,56,55,54,54,54,54,54,54,54,53,52,52,52,52,55,55,54,55,56,56,56,55,56,60,60,60,61,63,63,63,63,62,62,62,59,59,59,59,58,58,58,58,58,59,59,59,59,59,59,59,61,62,61,61,59,62,61,68,69,69,69,69,69,66,66,66,69,69,69,69,68,68,69,59,69,55,58,52,55,50,50,50,51,51,51,52,52,52,52,52,53,53,53,53,52,53,52,52,51,50,49,49,49,48,48,48,48,48,48,48,48,47,47,47,47,47,47,48,47,47,47,46,46,47,48,47,47,48,47,47,46,45,45,46,45,45,45,44,44,43,43,43,42,42,41,41,41,41,40,40,39,39,39,39,39,38,38,38,38,38,38,38,37,37,37,37
2024,1,17,37,37,37,37,37,37,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,38,38,39,39,39,39,39,39,39,39,39,40,40,40,41,41,42,42,43,44,45,46,47,48,48,46,46,45,45,45,45,45,46,49,56,46,45,45,45,45,45,49,57,52,55,55,58,58,58,58,58,58,58,58,50,50,51,48,49,50,50,52,52,52,52,52,51,50,49,49,49,48,47,47,47,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,45,45,44,45,45,45,45,45,44,44,44,44,44,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,50,50,52,52,47,45,44,44,42,44,44,44,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,46,47,47,47,48,48,48,48,48,48,47,47,48,48,48,48,48,48,48,48,48,48,48,47,46,46,46,46,46,46,46,47,47,46,46,45,45,46,46,46,47,47,47,47,46,46,47,47,47,46,46,46,46,46,45,45,45,46,46,46,46,46,46
2024,1,18,47,47,47,46,46,46,46,46,46,46,45,45,45,45,45,46,45,45,44,44,44,44,43,44,44,44,44,45,44,44,43,44,44,43,43,43,44,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43,43,43,42,42,42,42,43,44,44,44,43,43,44,44,44,44,44,44,44,44,44,44,45,45,45,45,46,46,49,72,46,46,46,46,46,47,51,58,58,54,57,61,61,61,61,61,62,62,62,63,63,53,53,53,53,54,54,54,54,54,55,55,55,55,55,56,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,54,54,54,54,55,55,55,55,54,54,53,53,53,52,52,52,51,51,51,51,51,50,50,50,50,49,49,48,49,49,48,48,48,48,47,48,47,47,47,47,50,49,49,49,49,49,49,49,49,49,49,49,49,49,50,63,53,66,59,51,49,48,49,49,47,48,48,49,49,49,49,49,50,50,50,50,50,49,49,50,50,50,50,49,49,49,49,48,48,48,48,48,48,48,48,47,47,47,47,48,48,47,48,48,48,47,48,48,48,48,48,48,48,48,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,46,47,47,47,47,47,47,46,47,47,46,46,46,46,46
2024,1,19,46,46,46,46,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,43,44,44,44,44,44,43,43,43,43,43,43,43,42,42,43,43,43,42,41,41,41,42,42,42,42,42,41,42,42,41,41,41,41,42,42,42,42,42,43,43,43,43,44,44,44,45,45,46,46,46,46,47,47,47,48,51,52,62,62,63,51,52,52,52,62,62,62,58,61,61,61,61,61,64,64,64,64,64,64,64,54,54,57,57,55,55,55,55,57,56,56,52,51,50,49,48,48,48,48,47,47,47,47,47,47,47,50,49,49,48,49,49,49,49,48,48,48,48,53,53,53,43,43,43,43,43,42,42,42,42,42,42,42,41,41,51,41,51,51,51,51,50,50,50,40,50,39,39,39,39,39,39,39,39,43,43,43,43,43,43,42,42,42,42,42,42,42,57,47,47,48,43,40,39,40,40,38,39,40,40,40,41,41,41,42,42,42,43,43,44,44,44,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,43,43,43,42,42,42,42,42,42,42,42,41,41,41,40,40,40,39,39,39,39,39,38,38,38,38,38,38,37,38,38,38,38,38,38,38,38,39,39,40,39,38,39,40,42,44,45,46,47,49,50,50,49
2024,1,20,49,49,49,48,48,49,49,49,49,49,49,49,49,49,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,47,47,48,48,49,49,49,49,48,48,47,47,47,48,48,48,48,49,49,49,50,49,49,49,49,49,50,51,52,52,52,52,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,55,57,78,55,55,55,55,55,55,58,65,60,63,67,67,67,67,67,67,66,66,65,65,64,64,54,53,53,52,52,51,51,51,51,50,49,49,48,48,48,48,47,47,47,47,47,47,47,47,47,47,47,47,46,46,45,45,45,45,45,45,44,44,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42,42,42,42,42,42,41,42,41,41,41,41,41,41,41,41,41,41,41,41,45,45,45,45,45,45,45,45,45,45,45,44,45,45,45,59,59,51,62,54,48,62,61,43,41,42,43,43,43,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,42,42,42,42,42,41,41,40,40,40,40,40,39,39,39,39,38,38,38,37,37,37,37,36,36,36,36,35,35,35,35,35,34,34,34,34,34,34,33,33,33,33,33
2024,1,21,33,33,33,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,34,34,34,34,34,35,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40,40,40,40,40,40,69,41,41,41,41,41,41,43,45,54,49,49,53,53,53,53,54,54,54,54,55,55,55,51,51,51,51,48,48,48,47,47,47,47,47,46,46,46,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,44,44,43,44,42,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,52,42,42,43,43,46,46,46,47,47,47,48,48,48,49,49,50,50,51,52,52,56,58,58,59,69,69,52,51,52,52,53,53,54,55,55,55,56,56,57,57,57,57,57,57,57,57,57,56,56,57,57,56,56,56,55,55,56,56,55,55,56,56,56,56,55,55,55,55,55,55,55,55,55,54,54,54,54,54,53,53,53,53,53,53,53,52,52,52,51,51,50,50,49,49,48,48,47,47,46,45,44,44,44,43,43,42,42,41,41,40,40,39
2024,1,22,39,38,38,37,37,38,38,37,37,37,37,37,37,37,36,36,36,35,35,35,35,35,34,34,34,34,34,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,35,35,36,36,37,37,38,38,39,40,41,41,42,44,45,47,48,50,51,53,54,54,54,64,66,66,77,53,53,52,52,51,61,61,56,59,59,62,62,62,62,62,62,62,63,63,64,64,55,55,56,56,56,56,56,57,57,57,55,54,53,51,50,49,48,48,47,46,46,46,45,45,45,45,45,45,48,44,47,47,47,47,47,47,47,47,46,46,47,52,52,52,52,55,55,55,52,52,52,52,52,55,55,55,56,56,57,57,57,57,57,57,57,55,56,57,57,57,57,57,57,64,67,67,66,66,65,65,65,65,65,65,64,64,64,64,66,56,66,54,46,46,49,49,44,47,49,50,51,52,53,53,53,52,52,52,52,53,53,53,54,54,54,53,53,52,52,52,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,53,54,53,53,53,52,52,52,53,54,54,54,53,52,52,52,53,53,52,52,51,50,48,45,42,39,38,38,37,37,37,37,37,37,38,38,38,38,38,38,38,37
