Reserve,Generator
Flex Down,315_1
Flex Down,315_2
Flex Down,315_3
Flex Down,315_4
Flex Down,315_5
Flex Down,115_3
Flex Down,116_1
Flex Down,123_2
Flex Down,216_1
Flex Down,223_1
Flex Down,223_2
Flex Down,316_1
Flex Down,101_1
Flex Down,101_2
Flex Down,102_1
Flex Down,102_2
Flex Down,201_1
Flex Down,201_2
Flex Down,202_1
Flex Down,202_2
Flex Down,301_1
Flex Down,301_2
Flex Down,302_1
Flex Down,302_2
Flex Down,123_3
Flex Down,223_3
Flex Down,107_1
Flex Down,118_1
Flex Down,213_3
Flex Down,218_1
Flex Down,221_1
Flex Down,313_1
Flex Down,318_1
Flex Down,321_1
Flex Down,323_1
Flex Down,323_2
Flex Down,113_1
Flex Down,113_2
Flex Down,113_3
Flex Down,113_4
Flex Down,123_1
Flex Down,123_4
Flex Down,123_5
Flex Down,207_1
Flex Down,207_2
Flex Down,213_1
Flex Down,213_2
Flex Down,215_4
Flex Down,215_5
Flex Down,223_4
Flex Down,223_5
Flex Down,223_6
Flex Down,301_3
Flex Down,301_4
Flex Down,302_3
Flex Down,302_4
Flex Down,307_1
Flex Down,307_2
Flex Down,315_6
Flex Down,315_7
Flex Down,315_8
Flex Down,322_5
Flex Down,322_6
Flex Down,101_3
Flex Down,101_4
Flex Down,102_3
Flex Down,102_4
Flex Down,201_3
Flex Down,202_3
Flex Down,202_4
Flex Down,320_pv
Flex Down,314_pv
Flex Down,314_pv_2
Flex Down,313_pv
Flex Down,314_pv_3
Flex Down,314_pv_4
Flex Down,313_pv_2
Flex Down,310_pv
Flex Down,324_pv
Flex Down,312_pv
Flex Down,310_pv_2
Flex Down,324_pv_2
Flex Down,324_pv_3
Flex Down,113_pv
Flex Down,319_pv
Flex Down,215_pv
Flex Down,102_pv
Flex Down,101_pv
Flex Down,102_pv_2
Flex Down,104_pv
Flex Down,101_pv_2
Flex Down,101_pv_3
Flex Down,101_pv_4
Flex Down,103_pv
Flex Down,119_pv
Flex Down,309_wind
Flex Down,317_wind
Flex Down,303_wind
Flex Down,122_wind
Reg Up,115_1
Reg Up,115_2
Reg Up,315_1
Reg Up,315_2
Reg Up,315_3
Reg Up,315_4
Reg Up,315_5
Reg Up,115_3
Reg Up,116_1
Reg Up,123_2
Reg Up,216_1
Reg Up,223_1
Reg Up,223_2
Reg Up,316_1
Reg Up,101_1
Reg Up,101_2
Reg Up,102_1
Reg Up,102_2
Reg Up,201_1
Reg Up,201_2
Reg Up,202_1
Reg Up,202_2
Reg Up,301_1
Reg Up,301_2
Reg Up,302_1
Reg Up,302_2
Reg Up,123_3
Reg Up,223_3
Reg Up,107_1
Reg Up,118_1
Reg Up,213_3
Reg Up,218_1
Reg Up,221_1
Reg Up,313_1
Reg Up,318_1
Reg Up,321_1
Reg Up,323_1
Reg Up,323_2
Reg Up,113_1
Reg Up,113_2
Reg Up,113_3
Reg Up,113_4
Reg Up,123_1
Reg Up,123_4
Reg Up,123_5
Reg Up,207_1
Reg Up,207_2
Reg Up,213_1
Reg Up,213_2
Reg Up,215_4
Reg Up,215_5
Reg Up,223_4
Reg Up,223_5
Reg Up,223_6
Reg Up,301_3
Reg Up,301_4
Reg Up,302_3
Reg Up,302_4
Reg Up,307_1
Reg Up,307_2
Reg Up,315_6
Reg Up,315_7
Reg Up,315_8
Reg Up,322_5
Reg Up,322_6
Reg Up,101_3
Reg Up,101_4
Reg Up,102_3
Reg Up,102_4
Reg Up,201_3
Reg Up,202_3
Reg Up,202_4
Reg Up,320_pv
Reg Up,314_pv
Reg Up,314_pv_2
Reg Up,313_pv
Reg Up,314_pv_3
Reg Up,314_pv_4
Reg Up,313_pv_2
Reg Up,310_pv
Reg Up,324_pv
Reg Up,312_pv
Reg Up,310_pv_2
Reg Up,324_pv_2
Reg Up,324_pv_3
Reg Up,113_pv
Reg Up,319_pv
Reg Up,215_pv
Reg Up,102_pv
Reg Up,101_pv
Reg Up,102_pv_2
Reg Up,104_pv
Reg Up,101_pv_2
Reg Up,101_pv_3
Reg Up,101_pv_4
Reg Up,103_pv
Reg Up,119_pv
Reg Up,309_wind
Reg Up,317_wind
Reg Up,303_wind
Reg Up,122_wind
Reg Down,115_1
Reg Down,115_2
Reg Down,315_1
Reg Down,315_2
Reg Down,315_3
Reg Down,315_4
Reg Down,315_5
Reg Down,115_3
Reg Down,116_1
Reg Down,123_2
Reg Down,216_1
Reg Down,223_1
Reg Down,223_2
Reg Down,316_1
Reg Down,101_1
Reg Down,101_2
Reg Down,102_1
Reg Down,102_2
Reg Down,201_1
Reg Down,201_2
Reg Down,202_1
Reg Down,202_2
Reg Down,301_1
Reg Down,301_2
Reg Down,302_1
Reg Down,302_2
Reg Down,123_3
Reg Down,223_3
Reg Down,107_1
Reg Down,118_1
Reg Down,213_3
Reg Down,218_1
Reg Down,221_1
Reg Down,313_1
Reg Down,318_1
Reg Down,321_1
Reg Down,323_1
Reg Down,323_2
Reg Down,113_1
Reg Down,113_2
Reg Down,113_3
Reg Down,113_4
Reg Down,123_1
Reg Down,123_4
Reg Down,123_5
Reg Down,207_1
Reg Down,207_2
Reg Down,213_1
Reg Down,213_2
Reg Down,215_4
Reg Down,215_5
Reg Down,223_4
Reg Down,223_5
Reg Down,223_6
Reg Down,301_3
Reg Down,301_4
Reg Down,302_3
Reg Down,302_4
Reg Down,307_1
Reg Down,307_2
Reg Down,315_6
Reg Down,315_7
Reg Down,315_8
Reg Down,322_5
Reg Down,322_6
Reg Down,101_3
Reg Down,101_4
Reg Down,102_3
Reg Down,102_4
Reg Down,201_3
Reg Down,202_3
Reg Down,202_4
Reg Down,320_pv
Reg Down,314_pv
Reg Down,314_pv_2
Reg Down,313_pv
Reg Down,314_pv_3
Reg Down,314_pv_4
Reg Down,313_pv_2
Reg Down,310_pv
Reg Down,324_pv
Reg Down,312_pv
Reg Down,310_pv_2
Reg Down,324_pv_2
Reg Down,324_pv_3
Reg Down,113_pv
Reg Down,319_pv
Reg Down,215_pv
Reg Down,102_pv
Reg Down,101_pv
Reg Down,102_pv_2
Reg Down,104_pv
Reg Down,101_pv_2
Reg Down,101_pv_3
Reg Down,101_pv_4
Reg Down,103_pv
Reg Down,119_pv
Reg Down,309_wind
Reg Down,317_wind
Reg Down,303_wind
Reg Down,122_wind
