Line,Node From,Node To,Resistance,Reactance,Max Flow,rateA,rateB,rateC,Units,Min Flow
315_324_1,315,324,0.007,0.052,500.0,500.0,500.0,500.0,1,-500
316_317_1,316,317,0.003,0.026,500.0,500.0,500.0,500.0,1,-500
316_319_1,316,319,0.003,0.023,500.0,500.0,500.0,500.0,1,-500
317_318_1,317,318,0.002,0.014,500.0,500.0,500.0,500.0,1,-500
317_322_1,317,322,0.014,0.105,500.0,500.0,500.0,500.0,1,-500
318_321_1,318,321,0.003,0.026,500.0,500.0,500.0,500.0,1,-500
318_321_2,318,321,0.003,0.026,500.0,500.0,500.0,500.0,1,-500
319_320_1,319,320,0.005,0.04,500.0,500.0,500.0,500.0,1,-500
319_320_2,319,320,0.005,0.04,500.0,500.0,500.0,500.0,1,-500
320_323_1,320,323,0.003,0.022,500.0,500.0,500.0,500.0,1,-500
320_323_2,320,323,0.003,0.022,500.0,500.0,500.0,500.0,1,-500
321_322_1,321,322,0.009,0.068,500.0,500.0,500.0,500.0,1,-500
325_121_1,325,121,0.012,0.097,500.0,500.0,500.0,500.0,1,-500
318_223_1,318,223,0.013,0.104,500.0,500.0,500.0,500.0,1,-500
323_325_1,323,325,0.0,0.009,722.0,722.0,722.0,722.0,1,-722
113_316_1,113,316,0,NA,100,100,100,100,NA,-100
