Generator,Band,Heat Rate Incr,Load Point
118_RTPV_1,3,0,0
118_RTPV_1,4,0,0
118_RTPV_10,1,0,0
118_RTPV_10,2,0,0
118_RTPV_10,3,0,0
118_RTPV_10,4,0,0
118_RTPV_2,1,0,0
118_RTPV_2,2,0,0
118_RTPV_2,3,0,0
118_RTPV_2,4,0,0
118_RTPV_3,1,0,0
118_RTPV_3,2,0,0
118_RTPV_3,3,0,0
118_RTPV_3,4,0,0
118_RTPV_4,1,0,0
118_RTPV_4,2,0,0
118_RTPV_4,3,0,0
118_RTPV_4,4,0,0
118_RTPV_5,1,0,0
118_RTPV_5,2,0,0
118_RTPV_5,3,0,0
118_RTPV_5,4,0,0
118_RTPV_6,1,0,0
118_RTPV_6,2,0,0
118_RTPV_6,3,0,0
118_RTPV_6,4,0,0
118_RTPV_7,1,0,0
118_RTPV_7,2,0,0
118_RTPV_7,3,0,0
118_RTPV_7,4,0,0
118_RTPV_8,1,0,0
118_RTPV_8,2,0,0
118_RTPV_8,3,0,0
118_RTPV_8,4,0,0
118_RTPV_9,1,0,0
118_RTPV_9,2,0,0
118_RTPV_9,3,0,0
118_RTPV_9,4,0,0
119_PV_1,1,0,0
119_PV_1,2,0,0
119_PV_1,3,0,0
119_PV_1,4,0,0
121_NUCLEAR_1,1,2.6375,396
121_NUCLEAR_1,2,10.55,397.2
121_NUCLEAR_1,3,10.55,398.8
121_NUCLEAR_1,4,10.55,400
122_HYDRO_1,1,0,0
122_HYDRO_1,2,0,0
122_HYDRO_1,3,0,0
122_HYDRO_1,4,0,0
122_HYDRO_2,1,0,0
122_HYDRO_2,2,0,0
122_HYDRO_2,3,0,0
122_HYDRO_2,4,0,0
122_HYDRO_3,1,0,0
122_HYDRO_3,2,0,0
122_HYDRO_3,3,0,0
122_HYDRO_3,4,0,0
122_HYDRO_4,1,0,0
122_HYDRO_4,2,0,0
122_HYDRO_4,3,0,0
122_HYDRO_4,4,0,0
122_HYDRO_5,1,0,0
122_HYDRO_5,2,0,0
122_HYDRO_5,3,0,0
122_HYDRO_5,4,0,0
122_HYDRO_6,1,0,0
122_HYDRO_6,2,0,0
122_HYDRO_6,3,0,0
122_HYDRO_6,4,0,0
122_WIND_1,1,0,0
122_WIND_1,2,0,0
122_WIND_1,3,0,0
122_WIND_1,4,0,0
123_CT_1,1,3.3575,22
123_CT_1,2,7.13,33
123_CT_1,3,8.09,44
123_CT_1,4,8.44,55
123_CT_4,1,3.3575,22
123_CT_4,2,7.13,33
123_CT_4,3,8.09,44
123_CT_4,4,8.44,55
123_CT_5,1,3.3575,22
123_CT_5,2,7.13,33
123_CT_5,3,8.09,44
123_CT_5,4,8.44,55
123_STEAM_2,1,2.8925,62
123_STEAM_2,2,9.7,93
123_STEAM_2,3,11.46,124
123_STEAM_2,4,16.49,155
123_STEAM_3,1,3.1925,140
123_STEAM_3,2,9.97,210
123_STEAM_3,3,10.8,280
123_STEAM_3,4,11.7,350
201_CT_1,1,3.6875,8
201_CT_1,2,8.41,12
201_CT_1,3,8.55,16
201_CT_1,4,11.38,20
201_CT_2,1,3.6875,8
201_CT_2,2,8.41,12
201_CT_2,3,8.55,16
201_CT_2,4,11.38,20
201_HYDRO_4,1,0,0
201_HYDRO_4,2,0,0
201_HYDRO_4,3,0,0
201_HYDRO_4,4,0,0
201_STEAM_3,1,3.425,30.02
201_STEAM_3,2,11.07,45.296
201_STEAM_3,3,11.7,60.648
201_STEAM_3,4,12.86,76
202_CT_1,1,3.6025,8
202_CT_1,2,8.27,12
202_CT_1,3,8.91,16
202_CT_1,4,9.97,20
202_CT_2,1,3.6025,8
202_CT_2,2,8.27,12
202_CT_2,3,8.91,16
202_CT_2,4,9.97,20
202_STEAM_3,1,3.125,30.02
202_STEAM_3,2,10.54,45.296
202_STEAM_3,3,10.62,60.648
202_STEAM_3,4,13.61,76
202_STEAM_4,1,3.125,30.02
202_STEAM_4,2,10.54,45.296
202_STEAM_4,3,10.62,60.648
202_STEAM_4,4,13.61,76
207_CT_1,1,3.4425,22
207_CT_1,2,9.29,33
207_CT_1,3,10,44
207_CT_1,4,11.56,55
207_CT_2,1,3.4425,22
207_CT_2,2,9.29,33
207_CT_2,3,10,44
207_CT_2,4,11.56,55
212_CSP_1,1,0,0
212_CSP_1,2,0,0
212_CSP_1,3,0,0
212_CSP_1,4,0,0
213_CC_3,1,2.065,170.045
213_CC_3,2,6.68,231.815
213_CC_3,3,7.36,293.23
213_CC_3,4,9.23,355
213_CT_1,1,3.4625,22
213_CT_1,2,7.28,33
213_CT_1,3,8.02,44
213_CT_1,4,8.23,55
213_CT_2,1,3.4625,22
213_CT_2,2,7.28,33
213_CT_2,3,8.02,44
213_CT_2,4,8.23,55
213_RTPV_1,1,0,0
213_RTPV_1,2,0,0
213_RTPV_1,3,0,0
213_RTPV_1,4,0,0
214_SYNC_COND_1,1,0,0
214_SYNC_COND_1,2,0,0
214_SYNC_COND_1,3,0,0
214_SYNC_COND_1,4,0,0
215_CT_4,1,3.7525,22
215_CT_4,2,7.03,33
215_CT_4,3,7.37,44
215_CT_4,4,8.88,55
215_CT_5,1,3.7525,22
215_CT_5,2,7.03,33
215_CT_5,3,7.37,44
215_CT_5,4,8.88,55
215_HYDRO_1,1,0,0
215_HYDRO_1,2,0,0
215_HYDRO_1,3,0,0
215_HYDRO_1,4,0,0
215_HYDRO_2,1,0,0
215_HYDRO_2,2,0,0
215_HYDRO_2,3,0,0
215_HYDRO_2,4,0,0
215_HYDRO_3,1,0,0
215_HYDRO_3,2,0,0
215_HYDRO_3,3,0,0
215_HYDRO_3,4,0,0
215_PV_1,1,0,0
215_PV_1,2,0,0
215_PV_1,3,0,0
215_PV_1,4,0,0
216_STEAM_1,1,2.87,62
216_STEAM_1,2,9.27,93
216_STEAM_1,3,10.9,124
216_STEAM_1,4,11.81,155
218_CC_1,1,3.0025,170.045
218_CC_1,2,5.69,231.815
218_CC_1,3,5.88,293.23
218_CC_1,4,8.08,355
221_CC_1,1,1.8175,170.045
221_CC_1,2,6.28,231.815
221_CC_1,3,7.14,293.23
221_CC_1,4,9.8,355
222_HYDRO_1,1,0,0
222_HYDRO_1,2,0,0
222_HYDRO_1,3,0,0
222_HYDRO_1,4,0,0
222_HYDRO_2,1,0,0
222_HYDRO_2,2,0,0
222_HYDRO_2,3,0,0
222_HYDRO_2,4,0,0
222_HYDRO_3,1,0,0
222_HYDRO_3,2,0,0
222_HYDRO_3,3,0,0
222_HYDRO_3,4,0,0
222_HYDRO_4,1,0,0
222_HYDRO_4,2,0,0
222_HYDRO_4,3,0,0
222_HYDRO_4,4,0,0
222_HYDRO_5,1,0,0
222_HYDRO_5,2,0,0
222_HYDRO_5,3,0,0
222_HYDRO_5,4,0,0
222_HYDRO_6,1,0,0
222_HYDRO_6,2,0,0
222_HYDRO_6,3,0,0
222_HYDRO_6,4,0,0
223_CT_4,1,5.22,22
223_CT_4,2,10.12,33
223_CT_4,3,10.79,44
223_CT_4,4,11.26,55
223_CT_5,1,5.22,22
223_CT_5,2,10.12,33
223_CT_5,3,10.79,44
223_CT_5,4,11.26,55
223_CT_6,1,5.22,22
223_CT_6,2,10.12,33
223_CT_6,3,10.79,44
223_CT_6,4,11.26,55
223_STEAM_1,1,2.8625,62
223_STEAM_1,2,9.5,93
223_STEAM_1,3,9.83,124
223_STEAM_1,4,10.19,155
223_STEAM_2,1,2.8625,62
223_STEAM_2,2,9.5,93
223_STEAM_2,3,9.83,124
223_STEAM_2,4,10.19,155
223_STEAM_3,1,2.9625,140
223_STEAM_3,2,9.41,210
223_STEAM_3,3,11.51,280
223_STEAM_3,4,12.29,350
301_CT_1,1,3.85,8
301_CT_1,2,8.9,12
301_CT_1,3,10.16,16
301_CT_1,4,10.74,20
301_CT_2,1,3.85,8
301_CT_2,2,8.9,12
301_CT_2,3,10.16,16
301_CT_2,4,10.74,20
301_CT_3,1,3.4525,22
301_CT_3,2,7.73,33
301_CT_3,3,7.95,44
301_CT_3,4,11.87,55
301_CT_4,1,3.4525,22
301_CT_4,2,7.73,33
301_CT_4,3,7.95,44
301_CT_4,4,11.87,55
302_CT_1,1,3.85,8
302_CT_1,2,8.9,12
302_CT_1,3,10.16,16
302_CT_1,4,10.74,20
302_CT_2,1,3.85,8
302_CT_2,2,8.9,12
302_CT_2,3,10.16,16
302_CT_2,4,10.74,20
302_CT_3,1,4.06,22
302_CT_3,2,9.17,33
302_CT_3,3,10.42,44
302_CT_3,4,10.49,55
302_CT_4,1,4.06,22
302_CT_4,2,9.17,33
302_CT_4,3,10.42,44
302_CT_4,4,10.49,55
303_WIND_1,1,0,0
303_WIND_1,2,0,0
303_WIND_1,3,0,0
303_WIND_1,4,0,0
307_CT_1,1,3.5225,22
307_CT_1,2,7.57,33
307_CT_1,3,7.93,44
307_CT_1,4,9.63,55
307_CT_2,1,3.5225,22
307_CT_2,2,7.57,33
307_CT_2,3,7.93,44
307_CT_2,4,9.63,55
308_RTPV_1,1,0,0
308_RTPV_1,2,0,0
308_RTPV_1,3,0,0
308_RTPV_1,4,0,0
309_WIND_1,1,0,0
309_WIND_1,2,0,0
309_WIND_1,3,0,0
309_WIND_1,4,0,0
310_PV_1,1,0,0
310_PV_1,2,0,0
310_PV_1,3,0,0
310_PV_1,4,0,0
310_PV_2,1,0,0
310_PV_2,2,0,0
310_PV_2,3,0,0
310_PV_2,4,0,0
312_PV_1,1,0,0
312_PV_1,2,0,0
312_PV_1,3,0,0
312_PV_1,4,0,0
313_CC_1,1,2.0925,170.045
313_CC_1,2,4.27,231.815
313_CC_1,3,7.26,293.23
313_CC_1,4,9.16,355
313_PV_1,1,0,0
313_PV_1,2,0,0
313_PV_1,3,0,0
313_PV_1,4,0,0
313_PV_2,1,0,0
313_PV_2,2,0,0
313_PV_2,3,0,0
313_PV_2,4,0,0
313_RTPV_1,1,0,0
313_RTPV_1,2,0,0
313_RTPV_1,3,0,0
313_RTPV_1,4,0,0
313_RTPV_10,1,0,0
313_RTPV_10,2,0,0
313_RTPV_10,3,0,0
313_RTPV_10,4,0,0
313_RTPV_11,1,0,0
313_RTPV_11,2,0,0
313_RTPV_11,3,0,0
313_RTPV_11,4,0,0
313_RTPV_12,1,0,0
313_RTPV_12,2,0,0
313_RTPV_12,3,0,0
313_RTPV_12,4,0,0
313_RTPV_13,1,0,0
313_RTPV_13,2,0,0
313_RTPV_13,3,0,0
313_RTPV_13,4,0,0
313_RTPV_2,1,0,0
313_RTPV_2,2,0,0
313_RTPV_2,3,0,0
313_RTPV_2,4,0,0
313_RTPV_3,1,0,0
313_RTPV_3,2,0,0
313_RTPV_3,3,0,0
313_RTPV_3,4,0,0
313_RTPV_4,1,0,0
313_RTPV_4,2,0,0
313_RTPV_4,3,0,0
313_RTPV_4,4,0,0
313_RTPV_5,1,0,0
313_RTPV_5,2,0,0
313_RTPV_5,3,0,0
313_RTPV_5,4,0,0
313_RTPV_6,1,0,0
313_RTPV_6,2,0,0
313_RTPV_6,3,0,0
313_RTPV_6,4,0,0
313_RTPV_7,1,0,0
313_RTPV_7,2,0,0
313_RTPV_7,3,0,0
313_RTPV_7,4,0,0
313_RTPV_8,1,0,0
313_RTPV_8,2,0,0
313_RTPV_8,3,0,0
313_RTPV_8,4,0,0
313_RTPV_9,1,0,0
313_RTPV_9,2,0,0
313_RTPV_9,3,0,0
313_RTPV_9,4,0,0
314_PV_1,1,0,0
314_PV_1,2,0,0
314_PV_1,3,0,0
314_PV_1,4,0,0
314_PV_2,1,0,0
314_PV_2,2,0,0
314_PV_2,3,0,0
314_PV_2,4,0,0
314_PV_3,1,0,0
314_PV_3,2,0,0
314_PV_3,3,0,0
314_PV_3,4,0,0
314_PV_4,1,0,0
314_PV_4,2,0,0
314_PV_4,3,0,0
314_PV_4,4,0,0
314_SYNC_COND_1,1,0,0
314_SYNC_COND_1,2,0,0
314_SYNC_COND_1,3,0,0
314_SYNC_COND_1,4,0,0
315_CT_6,1,2.7275,22
315_CT_6,2,7.17,33
315_CT_6,3,7.3,44
315_CT_6,4,8.65,55
315_CT_7,1,2.7275,22
315_CT_7,2,7.17,33
315_CT_7,3,7.3,44
315_CT_7,4,8.65,55
315_CT_8,1,2.7275,22
315_CT_8,2,7.17,33
315_CT_8,3,7.3,44
315_CT_8,4,8.65,55
315_STEAM_1,1,3.8,5.004
315_STEAM_1,2,7.69,7.332
315_STEAM_1,3,10.24,9.672
315_STEAM_1,4,12.65,12
315_STEAM_2,1,3.8,5.004
315_STEAM_2,2,7.69,7.332
315_STEAM_2,3,10.24,9.672
315_STEAM_2,4,12.65,12
315_STEAM_3,1,3.8,5.004
315_STEAM_3,2,7.69,7.332
315_STEAM_3,3,10.24,9.672
315_STEAM_3,4,12.65,12
315_STEAM_4,1,3.8,5.004
315_STEAM_4,2,7.69,7.332
315_STEAM_4,3,10.24,9.672
315_STEAM_4,4,12.65,12
315_STEAM_5,1,3.8,5.004
315_STEAM_5,2,7.69,7.332
315_STEAM_5,3,10.24,9.672
315_STEAM_5,4,12.65,12
316_STEAM_1,1,3.125,62
316_STEAM_1,2,10.54,93
316_STEAM_1,3,10.62,124
316_STEAM_1,4,13.61,155
317_WIND_1,1,0,0
317_WIND_1,2,0,0
317_WIND_1,3,0,0
317_WIND_1,4,0,0
318_CC_1,1,2.0975,170.045
318_CC_1,2,7.29,231.815
318_CC_1,3,7.4,293.23
318_CC_1,4,8.56,355
319_PV_1,1,0,0
319_PV_1,2,0,0
319_PV_1,3,0,0
319_PV_1,4,0,0
320_PV_1,1,0,0
320_PV_1,2,0,0
320_PV_1,3,0,0
320_PV_1,4,0,0
320_RTPV_1,1,0,0
320_RTPV_1,2,0,0
320_RTPV_1,3,0,0
320_RTPV_1,4,0,0
320_RTPV_2,1,0,0
320_RTPV_2,2,0,0
320_RTPV_2,3,0,0
320_RTPV_2,4,0,0
320_RTPV_3,1,0,0
320_RTPV_3,2,0,0
320_RTPV_3,3,0,0
320_RTPV_3,4,0,0
320_RTPV_4,1,0,0
320_RTPV_4,2,0,0
320_RTPV_4,3,0,0
320_RTPV_4,4,0,0
320_RTPV_5,1,0,0
320_RTPV_5,2,0,0
320_RTPV_5,3,0,0
320_RTPV_5,4,0,0
320_RTPV_6,1,0,0
320_RTPV_6,2,0,0
320_RTPV_6,3,0,0
320_RTPV_6,4,0,0
321_CC_1,1,1.9075,170.045
321_CC_1,2,6.17,231.815
321_CC_1,3,7.03,293.23
321_CC_1,4,9.21,355
322_CT_5,1,3.1825,22
322_CT_5,2,6.33,33
322_CT_5,3,7.19,44
322_CT_5,4,7.57,55
322_CT_6,1,3.1825,22
322_CT_6,2,6.33,33
322_CT_6,3,7.19,44
322_CT_6,4,7.57,55
322_HYDRO_1,1,0,0
322_HYDRO_1,2,0,0
322_HYDRO_1,3,0,0
322_HYDRO_1,4,0,0
322_HYDRO_2,1,0,0
322_HYDRO_2,2,0,0
322_HYDRO_2,3,0,0
322_HYDRO_2,4,0,0
322_HYDRO_3,1,0,0
322_HYDRO_3,2,0,0
322_HYDRO_3,3,0,0
322_HYDRO_3,4,0,0
322_HYDRO_4,1,0,0
322_HYDRO_4,2,0,0
322_HYDRO_4,3,0,0
322_HYDRO_4,4,0,0
323_CC_1,1,1.9475,170.045
323_CC_1,2,7.17,231.815
323_CC_1,3,8.22,293.23
323_CC_1,4,8.61,355
323_CC_2,1,1.9475,170.045
323_CC_2,2,7.17,231.815
323_CC_2,3,8.22,293.23
323_CC_2,4,8.61,355
324_PV_1,1,0,0
324_PV_1,2,0,0
324_PV_1,3,0,0
324_PV_1,4,0,0
324_PV_2,1,0,0
324_PV_2,2,0,0
324_PV_2,3,0,0
324_PV_2,4,0,0
324_PV_3,1,0,0
324_PV_3,2,0,0
324_PV_3,3,0,0
324_PV_3,4,0,0
