Year,Month,Day,Period,308_RTPV_1,313_RTPV_1,313_RTPV_2,313_RTPV_3,313_RTPV_4,313_RTPV_5,313_RTPV_6,313_RTPV_7,313_RTPV_8,313_RTPV_9,313_RTPV_10,313_RTPV_11,313_RTPV_12,320_RTPV_1,320_RTPV_2,320_RTPV_3,313_RTPV_13,320_RTPV_4,320_RTPV_5,118_RTPV_1,118_RTPV_2,118_RTPV_3,118_RTPV_4,118_RTPV_5,118_RTPV_6,320_RTPV_6,118_RTPV_7,118_RTPV_8,118_RTPV_9,118_RTPV_10,213_RTPV_1,     SUM,PER UNIT
2020,1,2,9,36,36.1,22.7,22,22.5,22.4,22.8,23.9,23.1,23.9,23.6,24.7,10.5,10.5,10.5,10.5,10.3,9.8,10.8,3.6,3.6,3.7,3.6,3.5,3.6,3.6,4.1,4.2,3.8,1.7,5,420.6,0.362149
2020,1,2,10,53.4,53.5,33.4,33.1,33.1,33.2,34.1,35.3,34.7,35.2,34.3,36.3,15.6,15.7,15.6,15.3,15,14.3,15.8,5.1,5.1,5.3,5.2,5.1,5.1,5.1,5.9,6,5.3,2.5,7,619.6,0.533494
2020,1,2,11,62.4,62.5,39.4,39.4,40.7,39.4,40.7,42.1,41.6,42.1,40.5,42.7,18.6,18.6,18.6,18.2,18,16.8,18.9,6,6,6.3,6,6,6.1,6.1,7,7.1,6.3,2.9,7.9,734.9,0.632771
2020,1,2,12,67.8,67.8,41.5,41.7,43.2,41.6,43.3,44.5,44.3,44.4,42.9,45.3,19.5,19.5,19.4,19.1,19.4,17.8,20.4,6.3,6.3,6.5,6.3,6.3,6.4,6.4,7.4,7.5,6.5,3.1,8.3,780.7,0.672206
2020,1,2,13,65,65,41.7,40.7,42.2,41.6,41.8,43.3,42.8,43.3,41.9,44.2,18.9,18.9,18.9,18.5,19.1,17.3,20,6.1,6,6.4,6.1,6.2,6.1,6.3,7.3,7.4,6.7,3.1,8.3,761.1,0.655330
2020,1,2,14,58,57.9,36.6,36.5,37.6,36.4,37.7,38.9,38.5,38.9,37.4,39.5,16.8,16.8,16.8,16.5,16.9,15.4,17.7,5.3,5.3,5.6,5.4,5.4,5.4,5.5,6.6,6.7,6,2.8,7.2,678,0.583778
2020,1,2,15,44.6,44.5,28.4,28.4,28.3,28.4,28.3,30.1,28.6,30,28.4,29.8,12.8,12.7,12.7,12.5,12.9,11.7,13.5,4,4,4.3,4.1,4.1,4,4.2,5.1,5.2,4.6,2.1,5.2,517.5,0.445583
2020,1,2,16,22.5,22.5,14.8,14.1,14.3,14.5,14.5,15.3,13.9,15.3,15.1,15.9,6.3,6.3,6.3,5.9,6.3,5.6,6.3,1.9,1.9,2,1.9,2,1.8,2,2.5,2.5,2.2,1,2.1,259.5,0.223437
2020,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,8,12.7,12.9,9.3,8,8.5,8.9,8.7,9.5,8.4,9.4,9.5,9.9,4.1,4.1,4.1,4.3,4.3,4,4.4,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.8,1.8,1.6,0.7,2.3,164.1,0.141295
2020,1,3,9,36.2,36.3,22.5,22,22.1,22.2,22.6,23.1,22.9,23,23.5,24.7,10.3,10.3,10.3,10.2,10.3,9.8,10.8,3.6,3.6,3.6,3.6,3.4,3.6,3.5,3.9,4,3.6,1.6,4.9,416,0.358188
2020,1,3,10,54,54.1,32.2,32.5,32.1,32,33.6,34.4,34.3,34.4,34,35.9,15.4,15.4,15.4,15,14.6,14.1,15.4,5,5,5.1,5,4.9,5,4.9,5.6,5.7,5.3,2.4,7,609.7,0.524970
2020,1,3,11,64.9,65,39.5,37.4,38.8,39.5,39.6,40.8,40.5,40.8,40.4,42.7,18.2,18.3,18.2,17.9,17.3,16.8,18.2,5.7,5.7,6.1,5.7,5.9,5.7,6,6.8,6.9,6.3,2.8,8.3,726.7,0.625710
2020,1,3,12,68.1,68.1,42.6,39.7,42.1,42.5,40.9,43.5,41.7,43.4,43,45.4,19.3,19.3,19.2,18.9,18.5,17.8,19.5,6.1,6.1,6.4,6.1,6.2,6.2,6.3,7,7.1,7,2.9,8.7,769.6,0.662649
2020,1,3,13,64.7,64.7,41.9,40.9,42,41.8,40.4,42.4,41.2,42.4,42.8,45.2,18.7,18.7,18.7,18.3,18.5,17.7,19.4,6,6,6.3,6.1,6.1,6.1,6.2,7.2,7.3,6.9,3,8.4,756,0.650939
2020,1,3,14,57.8,57.7,37.6,36.8,37.8,37.5,37.7,37.7,38.4,37.7,38.3,40.5,16.7,16.7,16.7,16.4,16.7,15.8,17.5,5.3,5.3,5.7,5.4,5.5,5.4,5.6,6.5,6.6,5.8,2.7,7.3,679.1,0.584725
2020,1,3,15,45.4,45.4,28.5,28,28.3,28.4,28.4,29.4,28.8,29.4,28.9,30.4,12.7,12.7,12.7,12.4,12.8,11.9,13.4,3.9,3.9,4.3,3.9,4.1,3.9,4.2,5,5.1,4.4,2.1,5.3,518,0.446013
2020,1,3,16,23.3,23.2,15.1,14.2,14.6,14.9,14.8,14.1,14.3,14.1,13.9,16.2,6.3,6.3,6.3,5.9,6.3,5.7,6.3,1.9,1.9,2,2,2.1,1.9,2,2.5,2.5,2.3,1,2.1,260,0.223868
2020,1,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,8,12.9,13,9.5,8.8,8.6,9,9.1,9.7,8.8,9.6,9.5,9.9,4.2,4.2,4.2,4.5,4.5,4.1,4.6,1.6,1.6,0.7,1.6,1.5,1.5,1.2,1.6,1.8,1.6,0.8,2.3,166.5,0.143361
2020,1,4,9,36,36.1,24.2,20.9,22.8,23.5,23.3,23.6,23.8,23.5,23.4,24.5,10.6,10.6,10.6,10.7,10.4,9.9,10.8,3.7,3.7,3.3,3.7,3.5,3.8,3.2,3.8,4.3,3.7,1.8,5.2,422.9,0.364129
2020,1,4,10,55.4,55.5,35.8,31.8,33.1,35.1,34.3,33.9,35.3,33.8,34.8,36.9,15.4,15.4,15.4,15.3,15.3,14.8,15.9,5.3,5.3,5.2,5.3,5.1,5.4,5.3,5.9,6.3,5.4,2.6,7.3,627.6,0.540382
2020,1,4,11,66,66,42.9,40.3,40,42.5,39.8,41.5,41,41.4,42.2,44.5,17.8,17.8,17.8,17.8,18.1,17.8,18.8,6.1,6.1,6.4,6.2,6.2,6.4,6.4,7.1,7.4,6.6,3,8.6,750.5,0.646203
2020,1,4,12,68.9,68.9,45.7,43.7,43.7,45.4,43.5,42.3,44.8,42.3,44.6,47.1,19,19,19,19,19.2,18.8,20,6.3,6.3,6.8,6.4,6.5,6.5,6.7,7.8,8,7.2,3.3,8.7,795.4,0.684863
2020,1,4,13,69.2,69.2,45,43.7,43.3,44.4,42.3,41.5,43.5,41.5,43.7,46.2,19,19,19,19,19,18.4,19.7,6,5.9,6.5,6,6.3,6.2,6.4,7.5,7.9,7,3.2,8,783.5,0.674617
2020,1,4,14,61.7,61.7,39.9,38.7,38.6,39.2,37.8,38.9,38.9,38.9,39,41.2,16.7,16.7,16.7,16.7,16.9,16.4,17.5,5.4,5.4,5.7,5.4,5.5,5.6,5.7,6.1,6.9,5.6,2.9,7,699.3,0.602118
2020,1,4,15,45.1,45,29.3,28.1,28.1,28.8,28.9,29.9,29.6,29.8,29.2,30.7,12.7,12.6,12.6,12.6,12.7,12.2,13.1,4,4,4.3,4.1,4.1,4.2,4.2,4.6,5.1,3.8,2.1,5.2,520.7,0.448338
2020,1,4,16,24.3,24.3,16.2,14.9,15.2,15.8,15.7,14.8,15.4,14.8,14.6,17.1,6.6,6.6,6.6,6.3,6.6,6.1,6.6,2,2,2.1,2,2.1,2,2.1,2.5,2.7,2.4,1.1,2.2,273.7,0.235664
2020,1,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,8,12.8,13,9.6,8.4,8.3,9,9.3,9.7,8.8,9.7,9.7,10,4.3,4.3,4.3,4.5,4.5,4.2,4.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.9,1.9,1.7,0.8,2.3,168.8,0.145342
2020,1,5,9,36.8,36.9,23.8,20.1,22,22.8,23.5,23.9,23.3,23.9,24.1,25.1,10.4,10.4,10.4,10.5,10.6,10.4,10.9,3.5,3.5,3.7,3.6,3.6,3.6,3.7,4.3,4.4,4,1.8,5.2,424.7,0.365679
2020,1,5,10,55.1,55.2,34.5,31.1,32.9,33.4,34.1,34.6,34.1,34.5,34.5,36.2,14.9,14.9,14.9,14.8,15,14.9,15.7,5,5,5.2,5.1,5,5.1,5.1,6.2,6.3,5.7,2.6,7.3,618.9,0.532891
2020,1,5,11,66.2,66.3,42.6,40.1,41.5,41.8,40.7,41.6,40.8,41.5,42.2,44.2,17.7,17.7,17.7,17.7,17.5,18.1,18.2,5.9,5.9,6,6,5.8,6.1,5.9,7.3,7.4,6.8,3,8.5,748.7,0.644653
2020,1,5,12,69.3,69.3,45.4,44.3,45.2,44.7,45,44,45.1,44,45,47.3,18.4,18.4,18.4,18.4,19.5,19.3,20.3,6.3,6.3,6.5,6.5,6.2,6.6,6.4,7.8,7.9,7.2,3.2,8.9,801.1,0.689771
2020,1,5,13,69.8,69.8,45.2,43.7,44.5,44.3,45.2,41.9,45.3,41.9,43.9,46.1,18.8,18.8,18.8,18.8,18.9,18.8,19.6,6.2,6.2,6.4,6.4,6.2,6.5,6.3,7.7,7.8,7,3.2,8.7,792.7,0.682538
2020,1,5,14,62.8,62.8,40.5,39.2,39.5,39.7,40.6,38.6,40.5,38.6,39.2,41.2,17.2,17.2,17.2,17.2,16.9,16.8,17.6,5.5,5.5,5.7,5.6,5.5,5.7,5.6,6.2,7,6.2,2.9,7.5,712.2,0.613225
2020,1,5,15,48.6,48.5,31,29.9,29.8,30.3,30.7,30.6,30.5,30.6,30.4,31.8,13,13,13,13,13,13,13.5,4.1,4.1,4.3,4.2,4.1,4.2,4.2,3.9,5.3,4.8,2.2,5.3,544.9,0.469175
2020,1,5,16,24.5,24.4,16.7,15.2,15.8,16.2,16.4,16.6,15.6,16.6,16.4,15.6,6.6,6.6,6.6,6.3,6.7,6.3,6.7,2,2,2,2.1,2.1,2,2,3,2.7,2.4,1.1,2.3,281.5,0.242380
2020,1,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
2020,1,6,8,12.8,12.9,9.5,8.2,8.5,9,9.2,9.5,8.7,9.4,9.6,9.9,4.2,4.2,4.2,4.4,4.3,4.2,4.4,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.8,1.8,1.6,0.8,2.3,166.2,0.143103
2020,1,6,9,36.2,36.3,23.3,22.9,22.4,22.6,23.9,24.2,23.7,24.1,24,24.9,10.9,10.9,10.9,10.8,10.6,10.4,10.9,3.6,3.6,3.7,3.7,3.6,3.7,3.6,4.2,4.2,3.7,1.7,5.3,428.5,0.368951
2020,1,6,10,55.5,55.5,34.3,34.2,34.1,33.5,35.8,35.8,35.8,35.8,35.1,36.6,16.1,16.1,16.1,15.8,15.5,15.1,16.2,5.2,5.2,5.1,5.3,4.9,5.4,5,5.9,5.9,5.2,2.4,7.5,635.9,0.547529
2020,1,6,11,66,66.1,40.8,41,41.1,40.1,42.9,43.1,43.1,43,42,43.8,19.2,19.2,19.2,18.9,18.9,18,19.6,6,6,6,6.1,5.8,6.2,5.9,7,7.1,6.3,2.9,8.9,760.2,0.654555
2020,1,6,12,70.4,70.4,42.5,43.8,44,41.7,46,46.2,46.2,46.1,45,47.1,20.5,20.5,20.4,20,20.2,19.3,21,6.3,6.3,6.6,6.5,6.4,6.6,6.5,7.4,7.4,6.8,3.1,9.3,810.5,0.697865
2020,1,6,13,69.1,69.1,40.4,43.2,43,39.7,45,45.7,45.1,45.7,44.9,47,19.8,19.8,19.8,19.4,19.6,19.2,20.4,5.9,5.9,6.4,6.1,6.2,6.2,6.3,7.3,7.4,6.8,3,9,792.4,0.682280
2020,1,6,14,60.7,60.7,37.8,39.1,38.5,37,40.7,40.9,40.6,40.8,40,41.9,17.6,17.6,17.6,17.3,17.4,17.1,18,5.4,5.4,5.5,5.5,5.3,5.6,5.5,6.7,6.7,6.2,2.8,7.9,709.8,0.611159
