GEN_ID,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,PMAX,PMIN,PC2,PC1,QC1MIN,QC2MIN,QC1MAX,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,APF,RAMP_Q
115,118,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
116,119,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
117,122,timeseries_data_files\wind_pv_rtpv\RT_wind.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_wind.csv,0,0,0,0,0,0,0,,,,,
118,213,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
119,215,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
120,303,timeseries_data_files\wind_pv_rtpv\RT_wind.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_wind.csv,0,0,0,0,0,0,0,,,,,
121,308,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
122,309,timeseries_data_files\wind_pv_rtpv\RT_wind.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_wind.csv,0,0,0,0,0,0,0,,,,,
123,310,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
124,310,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
125,312,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
126,313,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
127,313,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
128,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
129,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
130,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
131,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
132,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
133,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
134,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
135,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
136,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
137,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
138,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
139,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
140,313,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
141,314,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
142,314,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
143,314,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
144,314,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
145,317,timeseries_data_files\wind_pv_rtpv\RT_wind.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_wind.csv,0,0,0,0,0,0,0,,,,,
146,319,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
147,320,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
148,320,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
149,320,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
150,320,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
151,320,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
152,320,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
153,320,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_rtpv.csv,0,0,0,0,0,0,0,,,,,
154,324,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
155,324,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
156,324,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,1,100,timeseries_data_files\wind_pv_rtpv\RT_pv.csv,0,0,0,0,0,0,0,,,,,
