Year,Month,Day,Period,1,2,3,,,
2024,1,9,3,27.826,33.565,34.514,,,
2024,1,9,4,29.307,33.861,34.338,,,
2024,1,9,5,32.967,34.749,34.608,,,
2024,1,9,6,38.562,37.333,36.651,,,
2024,1,9,7,40.381,40.334,41.127,,,
2024,1,9,8,38.255,39.042,44.197,,,
2024,1,9,9,35.082,38.167,47.646,,,
2024,1,9,10,33.020,37.239,49.891,,,
2024,1,9,11,31.581,35.570,50.783,,,
2024,1,9,12,30.693,34.547,51.176,,,
2024,1,9,13,29.984,34.130,51.230,,,
2024,1,9,14,29.424,33.686,51.703,,,
2024,1,9,15,29.149,33.430,51.243,,,
2024,1,9,16,29.328,33.713,50.986,,,
2024,1,9,17,31.422,35.314,50.499,,,
2024,1,9,18,35.230,41.451,55.598,,,
2024,1,9,19,35.304,42.595,55.571,,,
2024,1,9,20,34.743,42.191,52.907,,,
2024,1,9,21,33.538,40.980,50.364,,,
2024,1,9,22,31.021,38.908,46.794,,,
2024,1,9,23,28.419,36.391,42.588,,,
2024,1,9,24,27.044,34.466,38.760,,,
2024,1,10,1,26.779,33.390,36.123,,,
2024,1,10,2,26.801,32.892,34.852,,,
2024,1,10,3,27.308,32.717,34.324,,,
2024,1,10,4,28.683,32.919,34.054,,,
2024,1,10,5,32.184,33.767,34.257,,,
2024,1,10,6,37.673,35.826,36.340,,,
2024,1,10,7,39.471,37.925,40.816,,,
2024,1,10,8,37.335,37.225,43.967,,,
2024,1,10,9,34.352,36.687,46.753,,,
2024,1,10,10,32.448,36.418,49.296,,,
2024,1,10,11,31.327,36.189,50.837,,,
2024,1,10,12,30.333,35.624,51.649,,,
2024,1,10,13,29.540,35.126,51.568,,,
2024,1,10,14,29.328,34.749,51.378,,,
2024,1,10,15,28.842,34.278,50.675,,,
2024,1,10,16,28.979,34.036,49.336,,,
2024,1,10,17,30.492,35.274,49.296,,,
2024,1,10,18,33.337,40.375,53.015,,,
2024,1,10,19,32.755,40.926,52.934,,,
2024,1,10,20,32.152,40.375,50.648,,,
2024,1,10,21,31.232,39.554,48.633,,,
2024,1,10,22,29.339,38.302,45.779,,,
2024,1,10,23,27.171,36.458,42.439,,,
2024,1,10,24,25.838,34.561,39.153,,,
2024,1,11,1,25.214,33.457,36.529,,,
2024,1,11,2,25.045,32.932,34.987,,,
2024,1,11,3,25.077,32.569,34.243,,,
2024,1,11,4,25.574,32.515,33.635,,,
2024,1,11,5,26.652,32.650,33.635,,,
2024,1,11,6,28.651,33.201,34.230,,,
2024,1,11,7,30.714,33.982,35.406,,,
2024,1,11,8,31.835,33.538,36.380,,,
2024,1,11,9,31.782,34.036,39.531,,,
2024,1,11,10,30.936,34.292,42.899,,,
2024,1,11,11,30.344,33.982,45.252,,,
2024,1,11,12,29.339,33.659,45.225,,,
2024,1,11,13,28.704,33.336,44.481,,,
2024,1,11,14,27.858,33.161,43.318,,,
2024,1,11,15,27.636,33.000,42.277,,,
2024,1,11,16,27.837,33.296,41.573,,,
2024,1,11,17,29.614,34.938,42.223,,,
2024,1,11,18,32.533,39.621,47.308,,,
2024,1,11,19,32.068,39.796,49.052,,,
2024,1,11,20,31.285,39.298,47.740,,,
2024,1,11,21,30.069,38.396,46.347,,,
2024,1,11,22,28.271,37.037,44.238,,,
2024,1,11,23,26.240,35.530,41.330,,,
2024,1,11,24,25.087,34.009,38.693,,,
2024,1,12,1,24.315,32.959,36.637,,,
2024,1,12,2,23.977,32.502,35.176,,,
2024,1,12,3,23.681,32.071,34.419,,,
2024,1,12,4,23.765,31.963,33.797,,,
2024,1,12,5,24.706,32.152,33.797,,,
2024,1,12,6,26.452,32.717,34.162,,,
2024,1,12,7,28.133,33.349,34.717,,,
2024,1,12,8,29.159,32.784,35.082,,,
2024,1,12,9,29.381,33.282,36.664,,,
2024,1,12,10,29.286,33.753,38.179,,,
2024,1,12,11,28.852,33.646,39.180,,,
2024,1,12,12,28.440,33.982,39.044,,,
2024,1,12,13,27.763,33.619,39.504,,,
2024,1,12,14,27.107,33.632,39.153,,,
2024,1,12,15,27.139,33.511,38.652,,,
2024,1,12,16,27.636,33.686,38.571,,,
2024,1,12,17,29.868,35.422,39.734,,,
2024,1,12,18,33.760,41.586,46.077,,,
2024,1,12,19,33.770,42.716,49.228,,,
2024,1,12,20,32.893,42.138,48.971,,,
2024,1,12,21,31.835,41.101,47.240,,,
2024,1,12,22,30.122,39.823,44.995,,,
2024,1,12,23,27.805,38.221,42.223,,,
2024,1,12,24,26.695,36.243,39.139,,,
2024,1,13,1,26.504,35.032,36.745,,,
2024,1,13,2,26.610,34.453,35.122,,,
2024,1,13,3,27.076,34.170,34.581,,,
2024,1,13,4,28.567,34.386,34.270,,,
2024,1,13,5,31.243,35.139,34.717,,,
2024,1,13,6,35.167,36.862,36.542,,,
2024,1,13,7,37.345,38.733,39.978,,,
2024,1,13,8,37.250,37.723,41.857,,,
2024,1,13,9,35.992,38.087,44.846,,,
2024,1,13,10,35.071,38.625,47.524,,,
2024,1,13,11,33.908,37.979,48.876,,,
2024,1,13,12,32.353,37.212,48.958,,,
2024,1,13,13,31.306,36.539,48.214,,,
2024,1,13,14,30.270,35.853,48.079,,,
2024,1,13,15,29.889,35.341,47.186,,,
2024,1,13,16,30.270,35.139,46.442,,,
2024,1,13,17,33.665,37.225,47.078,,,
2024,1,13,18,37.515,44.210,52.853,,,
2024,1,13,19,37.779,45.300,54.137,,,
2024,1,13,20,37.102,45.529,52.853,,,
2024,1,13,21,36.108,44.278,50.337,,,
2024,1,13,22,33.263,42.366,47.145,,,
2024,1,13,23,30.492,39.782,43.250,,,
2024,1,13,24,29.910,37.185,39.382,,,
2024,1,14,1,29.646,35.758,36.651,,,
2024,1,14,2,29.847,35.274,35.095,,,
2024,1,14,3,30.640,34.978,34.500,,,
2024,1,14,4,32.343,35.314,34.243,,,
2024,1,14,5,36.330,36.351,34.635,,,
2024,1,14,6,42.507,39.325,37.016,,,
2024,1,14,7,44.791,42.595,42.250,,,
2024,1,14,8,41.713,41.276,45.766,,,
2024,1,14,9,37.821,39.836,48.565,,,
2024,1,14,10,35.283,38.639,49.823,,,
2024,1,14,11,33.242,37.616,51.405,,,
2024,1,14,12,31.951,36.552,51.324,,,
2024,1,14,13,30.756,35.732,51.514,,,
2024,1,14,14,30.026,34.991,50.878,,,
2024,1,14,15,29.519,34.615,50.648,,,
2024,1,14,16,29.942,34.574,49.647,,,
2024,1,14,17,32.438,36.781,49.377,,,
2024,1,14,18,37.081,43.107,56.491,,,
2024,1,14,19,37.525,44.331,57.586,,,
2024,1,14,20,37.303,43.941,54.624,,,
2024,1,14,21,36.467,42.649,51.906,,,
2024,1,14,22,33.358,40.294,48.633,,,
2024,1,14,23,30.862,37.562,43.832,,,
2024,1,14,24,29.529,34.938,39.612,,,
2024,1,15,1,29.223,33.928,36.867,,,
2024,1,15,2,29.201,33.484,35.176,,,
2024,1,15,3,29.677,33.242,34.419,,,
2024,1,15,4,31.306,33.403,34.135,,,
2024,1,15,5,35.494,34.386,34.757,,,
2024,1,15,6,41.132,36.781,36.813,,,
2024,1,15,7,43.120,39.931,42.534,,,
2024,1,15,8,40.783,38.692,45.834,,,
2024,1,15,9,37.250,37.575,48.173,,,
2024,1,15,10,34.648,36.687,49.985,,,
2024,1,15,11,32.681,36.404,51.662,,,
2024,1,15,12,31.549,35.907,52.203,,,
2024,1,15,13,30.640,35.624,51.892,,,
2024,1,15,14,29.921,35.314,51.635,,,
2024,1,15,15,29.540,34.816,50.878,,,
2024,1,15,16,29.847,34.588,50.540,,,
2024,1,15,17,32.184,36.539,51.974,,,
2024,1,15,18,36.605,42.272,57.167,,,
2024,1,15,19,36.869,43.201,57.586,,,
2024,1,15,20,36.541,42.434,56.071,,,
2024,1,15,21,35.389,40.913,52.974,,,
2024,1,15,22,32.131,38.625,49.215,,,
2024,1,15,23,29.170,35.785,44.008,,,
2024,1,15,24,27.795,33.646,39.775,,,
2024,1,16,1,27.340,32.528,36.826,,,
2024,1,16,2,27.224,32.152,35.650,,,
2024,1,16,3,27.245,32.138,34.744,,,
2024,1,16,4,28.630,32.327,34.433,,,
2024,1,16,5,31.729,32.825,34.879,,,
2024,1,16,6,36.795,34.561,36.989,,,
2024,1,16,7,39.080,37.306,41.844,,,
2024,1,16,8,36.933,37.158,45.252,,,
2024,1,16,9,34.680,37.050,47.727,,,
2024,1,16,10,33.337,36.633,49.458,,,
2024,1,16,11,32.522,35.691,50.810,,,
2024,1,16,12,31.803,35.382,51.135,,,
2024,1,16,13,31.243,35.045,50.783,,,
2024,1,16,14,30.788,34.655,50.608,,,
2024,1,16,15,30.397,34.440,49.877,,,
2024,1,16,16,30.904,34.426,48.998,,,
2024,1,16,17,33.051,36.041,49.282,,,
2024,1,16,18,37.250,42.165,54.841,,,
2024,1,16,19,37.366,43.726,56.531,,,
2024,1,16,20,36.742,43.766,54.908,,,
2024,1,16,21,35.801,42.555,52.880,,,
2024,1,16,22,32.713,40.334,49.431,,,
2024,1,16,23,30.132,37.400,44.833,,,
2024,1,16,24,29.053,35.086,40.532,,,
2024,1,17,1,28.916,34.305,37.638,,,
2024,1,17,2,29.022,33.847,36.015,,,
2024,1,17,3,29.624,33.767,35.149,,,
2024,1,17,4,31.052,34.130,34.987,,,
2024,1,17,5,34.828,35.112,35.379,,,
2024,1,17,6,40.444,37.683,37.611,,,
2024,1,17,7,42.993,40.913,42.520,,,
2024,1,17,8,39.989,39.944,46.226,,,
2024,1,17,9,36.425,39.029,48.268,,,
2024,1,17,10,33.940,38.167,50.107,,,
2024,1,17,11,32.046,37.225,50.702,,,
2024,1,17,12,30.788,36.162,51.203,,,
2024,1,17,13,29.836,35.489,50.608,,,
2024,1,17,14,29.106,35.166,50.148,,,
2024,1,17,15,28.556,34.440,49.499,,,
2024,1,17,16,28.863,34.170,48.417,,,
2024,1,17,17,30.693,35.624,48.146,,,
2024,1,17,18,34.447,41.384,53.245,,,
2024,1,17,19,34.997,42.945,53.664,,,
2024,1,17,20,34.638,42.891,52.068,,,
2024,1,17,21,34.511,42.272,49.783,,,
2024,1,17,22,32.787,41.101,47.416,,,
2024,1,17,23,30.777,38.894,44.197,,,
2024,1,17,24,29.857,36.943,40.586,,,
2024,1,18,1,29.508,35.933,37.949,,,
2024,1,18,2,29.646,35.314,36.056,,,
2024,1,18,3,30.016,35.018,35.082,,,
2024,1,18,4,30.947,35.180,34.649,,,
2024,1,18,5,32.745,35.758,34.703,,,
2024,1,18,6,35.706,37.010,35.528,,,
2024,1,18,7,38.350,38.316,37.070,,,
2024,1,18,8,38.889,37.575,38.179,,,
2024,1,18,9,37.060,37.468,40.843,,,
2024,1,18,10,34.997,37.360,42.628,,,
2024,1,18,11,32.745,36.472,43.656,,,
2024,1,18,12,30.809,35.072,43.534,,,
2024,1,18,13,29.328,34.359,42.912,,,
2024,1,18,14,28.440,33.659,41.776,,,
2024,1,18,15,27.742,33.309,40.938,,,
2024,1,18,16,27.996,33.201,40.180,,,
2024,1,18,17,29.942,34.776,40.627,,,
2024,1,18,18,33.707,40.482,45.184,,,
2024,1,18,19,33.940,41.788,47.889,,,
2024,1,18,20,33.485,41.519,46.645,,,
2024,1,18,21,32.893,40.953,45.211,,,
2024,1,18,22,31.581,39.971,43.453,,,
2024,1,18,23,30.058,38.625,41.235,,,
2024,1,18,24,29.244,36.754,39.829,,,
2024,1,19,1,28.990,35.691,36.637,,,
2024,1,19,2,29.127,34.897,35.095,,,
2024,1,19,3,29.582,34.601,34.257,,,
2024,1,19,4,30.428,34.386,33.797,,,
2024,1,19,5,32.025,34.547,33.756,,,
2024,1,19,6,34.352,34.776,34.243,,,
2024,1,19,7,36.658,35.435,34.987,,,
2024,1,19,8,37.345,35.059,35.244,,,
2024,1,19,9,35.759,35.758,36.867,,,
2024,1,19,10,33.580,35.866,38.246,,,
2024,1,19,11,31.719,35.261,39.274,,,
2024,1,19,12,30.449,34.830,39.518,,,
2024,1,19,13,29.191,34.197,39.504,,,
2024,1,19,14,28.112,33.646,39.477,,,
2024,1,19,15,27.551,33.121,39.139,,,
2024,1,19,16,28.080,33.309,38.950,,,
2024,1,19,17,30.100,34.709,39.815,,,
2024,1,19,18,34.500,40.361,44.765,,,
2024,1,19,19,35.272,41.801,47.795,,,
2024,1,19,20,34.765,41.720,47.429,,,
2024,1,19,21,33.379,40.765,46.239,,,
2024,1,19,22,30.798,38.948,44.102,,,
2024,1,19,23,28.525,36.970,40.721,,,
2024,1,19,24,27.340,35.072,37.719,,,
2024,1,20,1,27.107,33.901,35.379,,,
2024,1,20,2,27.202,33.444,34.473,,,
2024,1,20,3,27.541,33.390,34.013,,,
2024,1,20,4,29.106,33.740,33.716,,,
2024,1,20,5,32.596,34.763,34.122,,,
2024,1,20,6,38.339,37.279,36.177,,,
2024,1,20,7,40.486,40.321,40.708,,,
2024,1,20,8,37.927,39.459,43.616,,,
2024,1,20,9,35.219,38.692,46.402,,,
2024,1,20,10,33.474,38.060,48.498,,,
2024,1,20,11,32.131,37.158,49.904,,,
2024,1,20,12,31.338,36.189,50.499,,,
2024,1,20,13,30.513,35.745,50.608,,,
2024,1,20,14,29.751,35.126,50.648,,,
2024,1,20,15,29.424,34.709,50.229,,,
2024,1,20,16,29.635,34.426,49.674,,,
2024,1,20,17,31.454,35.853,49.309,,,
2024,1,20,18,35.473,42.003,53.542,,,
2024,1,20,19,35.695,43.632,54.787,,,
2024,1,20,20,34.839,43.362,52.785,,,
2024,1,20,21,33.136,42.272,50.702,,,
2024,1,20,22,30.259,39.756,47.091,,,
2024,1,20,23,27.668,37.131,42.547,,,
2024,1,20,24,26.166,34.749,38.990,,,
2024,1,21,1,25.828,33.592,36.218,,,
2024,1,21,2,25.605,33.161,34.865,,,
2024,1,21,3,26.050,33.201,34.013,,,
2024,1,21,4,27.160,33.592,33.716,,,
2024,1,21,5,30.513,34.682,34.122,,,
2024,1,21,6,35.357,37.064,36.069,,,
2024,1,21,7,37.218,40.025,40.884,,,
2024,1,21,8,35.272,38.787,43.643,,,
2024,1,21,9,33.538,38.275,46.429,,,
2024,1,21,10,32.290,37.791,48.579,,,
2024,1,21,11,31.253,36.526,50.499,,,
2024,1,21,12,30.746,35.933,51.838,,,
2024,1,21,13,30.227,35.301,52.203,,,
2024,1,21,14,30.386,34.857,52.325,,,
2024,1,21,15,29.677,34.803,52.217,,,
2024,1,21,16,29.677,34.682,51.108,,,
2024,1,21,17,31.031,35.664,50.107,,,
2024,1,21,18,34.955,41.492,54.381,,,
2024,1,21,19,34.712,43.322,55.882,,,
2024,1,21,20,33.813,42.945,53.705,,,
2024,1,21,21,32.459,41.895,49.647,,,
2024,1,21,22,29.339,39.863,46.239,,,
2024,1,21,23,26.578,37.010,42.128,,,
2024,1,21,24,25.214,34.951,38.111,,,
2024,1,22,1,24.749,33.753,35.799,,,
2024,1,22,2,24.696,33.174,34.649,,,
2024,1,22,3,24.918,33.013,34.108,,,
2024,1,22,4,26.081,33.201,33.662,,,
2024,1,22,5,29.127,34.117,33.905,,,
2024,1,22,6,34.479,36.445,35.961,,,
2024,1,22,7,37.705,39.419,40.464,,,
2024,1,22,8,35.875,38.356,44.224,,,
2024,1,22,9,33.252,37.454,46.009,,,
2024,1,22,10,31.888,36.862,48.079,,,
2024,1,22,11,30.989,35.826,49.499,,,
2024,1,22,12,30.767,35.234,50.310,,,
2024,1,22,13,30.344,34.789,50.121,,,
2024,1,22,14,30.026,34.413,49.945,,,
2024,1,22,15,29.751,34.049,49.472,,,
2024,1,22,16,30.016,33.982,48.592,,,
2024,1,22,17,31.592,35.435,48.403,,,
2024,1,22,18,35.568,40.254,52.988,,,
2024,1,22,19,35.865,41.667,54.624,,,
2024,1,22,20,35.156,41.236,53.164,,,
2024,1,22,21,33.929,40.254,50.337,,,
2024,1,22,22,30.746,38.396,46.821,,,
2024,1,22,23,28.250,35.637,42.655,,,
2024,1,22,24,27.054,33.928,38.977,,,
2024,1,23,1,26.716,33.040,36.448,,,
2024,1,23,2,26.938,32.771,35.258,,,
2024,1,23,3,27.530,32.663,34.744,,,
2024,1,23,4,29.223,32.811,34.216,,,
2024,1,23,5,33.083,33.686,34.500,,,
2024,1,23,6,38.815,35.826,36.258,,,
2024,1,23,7,41.047,38.813,40.911,,,
2024,1,23,8,38.657,37.508,44.048,,,
2024,1,23,9,35.452,37.333,46.848,,,
2024,1,23,10,33.316,36.862,48.958,,,
2024,1,23,11,31.581,35.880,50.094,,,
2024,1,23,12,30.608,35.409,50.770,,,
2024,1,23,13,29.931,34.911,51.446,,,
2024,1,23,14,29.191,34.426,50.445,,,
2024,1,23,15,29.159,34.036,49.796,,,
2024,1,23,16,29.550,33.969,48.876,,,
2024,1,23,17,31.401,34.978,48.565,,,
2024,1,23,18,35.505,40.550,52.393,,,
2024,1,23,19,35.928,42.165,54.435,,,
2024,1,23,20,35.304,41.895,53.191,,,
2024,1,23,21,34.151,41.034,50.702,,,
2024,1,23,22,31.190,38.813,47.227,,,
2024,1,23,23,28.450,36.472,43.277,,,
2024,1,23,24,27.583,34.184,39.153,,,
2024,1,24,1,27.245,32.973,36.786,,,
2024,1,24,2,27.467,32.475,35.339,,,
2024,1,24,3,28.112,32.111,34.919,,,
2024,1,24,4,29.815,32.192,34.527,,,
2024,1,24,5,33.411,32.650,34.676,,,
2024,1,24,6,38.858,34.386,36.651,,,
2024,1,24,7,41.058,37.091,41.465,,,
2024,1,24,8,38.731,36.283,44.102,,,
2024,1,24,9,35.547,35.839,46.834,,,
2024,1,24,10,33.897,35.839,48.728,,,
2024,1,24,11,32.173,35.476,49.904,,,
2024,1,24,12,30.978,34.978,50.269,,,
2024,1,24,13,30.069,34.830,49.958,,,
2024,1,24,14,29.424,34.197,49.688,,,
2024,1,24,15,29.170,33.995,48.958,,,
2024,1,24,16,29.254,33.646,48.173,,,
2024,1,24,17,30.735,34.547,47.984,,,
2024,1,24,18,34.109,39.446,51.933,,,
2024,1,24,19,34.394,40.711,53.110,,,
2024,1,24,20,33.823,40.334,51.121,,,
2024,1,24,21,33.189,39.379,49.269,,,
2024,1,24,22,31.147,38.329,46.523,,,
2024,1,24,23,29.170,36.781,43.048,,,
2024,1,24,24,28.144,34.803,39.396,,,
2024,1,25,1,27.742,33.713,36.948,,,
2024,1,25,2,27.890,33.242,35.379,,,
2024,1,25,3,28.154,32.973,34.446,,,
2024,1,25,4,28.990,32.946,34.243,,,
2024,1,25,5,30.873,33.134,34.284,,,
