Simulation,Category,Object,Parameter,Scaling Factor,Data File
DAY_AHEAD,Generator,222_HYDRO_5,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,222_HYDRO_6,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,322_HYDRO_1,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,322_HYDRO_2,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,322_HYDRO_3,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,322_HYDRO_4,PMax MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,320_PV_1,PMax MW,51.6,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,314_PV_1,PMax MW,51.6,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,314_PV_2,PMax MW,51.6,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,313_PV_1,PMax MW,95.1,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,314_PV_3,PMax MW,92.7,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,314_PV_4,PMax MW,51.6,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,313_PV_2,PMax MW,93.3,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,310_PV_1,PMax MW,51.7,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,324_PV_1,PMax MW,49.7,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,312_PV_1,PMax MW,94.1,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,310_PV_2,PMax MW,51.6,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,324_PV_2,PMax MW,51.6,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,324_PV_3,PMax MW,51,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,113_PV_1,PMax MW,93.6,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,319_PV_1,PMax MW,188.2,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,215_PV_1,PMax MW,125.1,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,102_PV_1,PMax MW,25.6,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,101_PV_1,PMax MW,25.9,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,102_PV_2,PMax MW,25.3,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,104_PV_1,PMax MW,26.8,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,101_PV_2,PMax MW,26.7,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,101_PV_3,PMax MW,26.2,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,101_PV_4,PMax MW,25.8,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,103_PV_1,PMax MW,61.5,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,119_PV_1,PMax MW,66.6,../timeseries_data_files/PV/DAY_AHEAD_pv.csv
DAY_AHEAD,Generator,308_RTPV_1,PMax MW,100.9,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_1,PMax MW,101.7,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_2,PMax MW,63.1,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_3,PMax MW,65.4,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_4,PMax MW,67,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_5,PMax MW,64.8,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_6,PMax MW,63.8,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_7,PMax MW,64.1,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_8,PMax MW,66.6,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_9,PMax MW,62.4,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_10,PMax MW,66.9,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_11,PMax MW,65.2,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_12,PMax MW,27.8,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,320_RTPV_1,PMax MW,27.3,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,320_RTPV_2,PMax MW,27,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,320_RTPV_3,PMax MW,28.3,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_13,PMax MW,27.2,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,320_RTPV_4,PMax MW,27,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,320_RTPV_5,PMax MW,28.2,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_1,PMax MW,9.3,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_2,PMax MW,9.7,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_3,PMax MW,9.4,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_4,PMax MW,9.1,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_5,PMax MW,9.1,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_6,PMax MW,9.7,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,320_RTPV_6,PMax MW,9.4,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_7,PMax MW,11.8,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_8,PMax MW,11.2,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_9,PMax MW,10.3,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_10,PMax MW,4.5,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,213_RTPV_1,PMax MW,13.2,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,309_WIND_1,PMax MW,148.3,../timeseries_data_files/WIND/DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,317_WIND_1,PMax MW,799.1,../timeseries_data_files/WIND/DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,303_WIND_1,PMax MW,847,../timeseries_data_files/WIND/DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,122_WIND_1,PMax MW,713.5,../timeseries_data_files/WIND/DAY_AHEAD_wind.csv
DAY_AHEAD,Generator,122_HYDRO_1,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,122_HYDRO_2,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,122_HYDRO_3,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,122_HYDRO_4,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,122_HYDRO_5,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,122_HYDRO_6,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,201_HYDRO_4,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,215_HYDRO_1,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,215_HYDRO_2,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,215_HYDRO_3,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,222_HYDRO_1,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,222_HYDRO_2,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,222_HYDRO_3,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,222_HYDRO_4,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,222_HYDRO_5,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,222_HYDRO_6,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,322_HYDRO_1,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,322_HYDRO_2,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,322_HYDRO_3,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,322_HYDRO_4,PMin MW,52.49761899,../timeseries_data_files/HYDRO/DAY_AHEAD_hydro.csv
DAY_AHEAD,Generator,308_RTPV_1,PMin MW,100.9,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_1,PMin MW,101.7,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_2,PMin MW,63.1,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_3,PMin MW,65.4,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_4,PMin MW,67,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_5,PMin MW,64.8,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_6,PMin MW,63.8,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_7,PMin MW,64.1,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_8,PMin MW,66.6,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_9,PMin MW,62.4,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_10,PMin MW,66.9,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_11,PMin MW,65.2,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_12,PMin MW,27.8,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,320_RTPV_1,PMin MW,27.3,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,320_RTPV_2,PMin MW,27,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,320_RTPV_3,PMin MW,28.3,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,313_RTPV_13,PMin MW,27.2,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,320_RTPV_4,PMin MW,27,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,320_RTPV_5,PMin MW,28.2,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_1,PMin MW,9.3,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_2,PMin MW,9.7,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_3,PMin MW,9.4,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_4,PMin MW,9.1,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_5,PMin MW,9.1,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_6,PMin MW,9.7,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,320_RTPV_6,PMin MW,9.4,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_7,PMin MW,11.8,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_8,PMin MW,11.2,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_9,PMin MW,10.3,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,118_RTPV_10,PMin MW,4.5,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Generator,213_RTPV_1,PMin MW,13.2,../timeseries_data_files/RTPV/DAY_AHEAD_rtpv.csv
DAY_AHEAD,Reserve,Flex_Down,Requirement,1,../timeseries_data_files/Reserves/DAY_AHEAD_regional_Flex_Down.csv
DAY_AHEAD,Reserve,Flex_Up,Requirement,1,../timeseries_data_files/Reserves/DAY_AHEAD_regional_Flex_Up.csv
DAY_AHEAD,Reserve,Reg_Down,Requirement,1,../timeseries_data_files/Reserves/DAY_AHEAD_regional_Reg_Down.csv
DAY_AHEAD,Reserve,Reg_Up,Requirement,1,../timeseries_data_files/Reserves/DAY_AHEAD_regional_Reg_Up.csv
DAY_AHEAD,Reserve,Spin_Up_R1,Requirement,1,../timeseries_data_files/Reserves/DAY_AHEAD_regional_Spin_Up_R1.csv
DAY_AHEAD,Reserve,Spin_Up_R2,Requirement,1,../timeseries_data_files/Reserves/DAY_AHEAD_regional_Spin_Up_R2.csv
DAY_AHEAD,Reserve,Spin_Up_R3,Requirement,1,../timeseries_data_files/Reserves/DAY_AHEAD_regional_Spin_Up_R3.csv
DAY_AHEAD,Area,1,MW Load,2850,../timeseries_data_files/Load/DAY_AHEAD_regional_Load.csv
DAY_AHEAD,Area,2,MW Load,2850,../timeseries_data_files/Load/DAY_AHEAD_regional_Load.csv
DAY_AHEAD,Area,3,MW Load,2850,../timeseries_data_files/Load/DAY_AHEAD_regional_Load.csv
DAY_AHEAD,Generator,212_CSP_HEAD_STORAGE,Natural_Inflow,200,../timeseries_data_files/CSP/DAY_AHEAD_Natural_Inflow.csv
REAL_TIME,Generator,212_CSP_HEAD_STORAGE,Natural_Inflow,200,../timeseries_data_files/CSP/REAL_TIME_Natural_Inflow.csv
REAL_TIME,Generator,122_HYDRO_1,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,122_HYDRO_2,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,122_HYDRO_3,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,122_HYDRO_4,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,122_HYDRO_5,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,122_HYDRO_6,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,201_HYDRO_4,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,215_HYDRO_1,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,215_HYDRO_2,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,215_HYDRO_3,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,222_HYDRO_1,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,222_HYDRO_2,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,222_HYDRO_3,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,222_HYDRO_4,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,222_HYDRO_5,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,222_HYDRO_6,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,322_HYDRO_1,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,322_HYDRO_2,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,322_HYDRO_3,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,322_HYDRO_4,PMax MW,52.49761899,../timeseries_data_files/HYDRO/REAL_TIME_hydro.csv
REAL_TIME,Generator,320_PV_1,PMax MW,51.6,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,314_PV_1,PMax MW,51.6,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,314_PV_2,PMax MW,51.6,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,313_PV_1,PMax MW,95.1,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,314_PV_3,PMax MW,92.7,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,314_PV_4,PMax MW,51.6,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,313_PV_2,PMax MW,93.3,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,310_PV_1,PMax MW,51.7,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,324_PV_1,PMax MW,49.7,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,312_PV_1,PMax MW,94.1,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,310_PV_2,PMax MW,51.6,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,324_PV_2,PMax MW,51.6,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,324_PV_3,PMax MW,51,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,113_PV_1,PMax MW,93.6,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,319_PV_1,PMax MW,188.2,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,215_PV_1,PMax MW,125.1,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,102_PV_1,PMax MW,25.6,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,101_PV_1,PMax MW,25.9,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,102_PV_2,PMax MW,25.3,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,104_PV_1,PMax MW,26.8,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,101_PV_2,PMax MW,26.7,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,101_PV_3,PMax MW,26.2,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,101_PV_4,PMax MW,25.8,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,103_PV_1,PMax MW,61.5,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,119_PV_1,PMax MW,66.6,../timeseries_data_files/PV/REAL_TIME_pv.csv
REAL_TIME,Generator,308_RTPV_1,PMax MW,100.9,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_1,PMax MW,101.7,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_2,PMax MW,63.1,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_3,PMax MW,65.4,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_4,PMax MW,67,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_5,PMax MW,64.8,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_6,PMax MW,63.8,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_7,PMax MW,64.1,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_8,PMax MW,66.6,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_9,PMax MW,62.4,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_10,PMax MW,66.9,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_11,PMax MW,65.2,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_12,PMax MW,27.8,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,320_RTPV_1,PMax MW,27.3,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,320_RTPV_2,PMax MW,27,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,320_RTPV_3,PMax MW,28.3,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,313_RTPV_13,PMax MW,27.2,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,320_RTPV_4,PMax MW,27,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,320_RTPV_5,PMax MW,28.2,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_1,PMax MW,9.3,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_2,PMax MW,9.7,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_3,PMax MW,9.4,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_4,PMax MW,9.1,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_5,PMax MW,9.1,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_6,PMax MW,9.7,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,320_RTPV_6,PMax MW,9.4,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_7,PMax MW,11.8,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_8,PMax MW,11.2,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_9,PMax MW,10.3,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
REAL_TIME,Generator,118_RTPV_10,PMax MW,4.5,../timeseries_data_files/RTPV/REAL_TIME_rtpv.csv
