Bus ID,Bus Name,BaseKV,Bus Type,MW Load,MVAR Load,V Mag,V Angle,MW Shunt G,MVAR Shunt B,Area,Sub Area,Zone,lat,lng
119,Attar,230.0,PQ,181.0,37.0,1.03962,6.65777,0.0,0.0,1,12.0,15.0,33.86907891,-115.3691306
120,Attila,230.0,PQ,128.0,26.0,1.04399,7.7406,0.0,0.0,1,12.0,15.0,34.24457859,-115.2624699
121,Attlee,230.0,PV,0.0,0.0,1.05,13.08653,0.0,0.0,1,12.0,17.0,33.52712147,-116.070778
122,Aubrey,230.0,PV,0.0,0.0,1.05,18.94978,0.0,0.0,1,12.0,17.0,32.81886407,-116.3243473
123,Austen,230.0,PV,0.0,0.0,1.05,9.05617,0.0,0.0,1,12.0,15.0,34.38200027,-115.0687884
124,Avery,230.0,PQ,0.0,0.0,1.01155,2.38339,0.0,0.0,1,12.0,16.0,33.54296506,-114.6564883
201,Bach,138.0,PV,108.0,22.0,1.04841,-10.68973,0.0,0.0,2,21.0,21.0,36.2556636,-113.7214959
202,Bacon,138.0,PV,97.0,20.0,1.04844,-10.75906,0.0,0.0,2,21.0,22.0,36.28996256,-113.7459985
203,Baffin,138.0,PQ,180.0,37.0,1.01886,-10.47453,0.0,0.0,2,21.0,21.0,35.35440226,-113.9759336
204,Bailey,138.0,PQ,74.0,15.0,1.0189,-13.48479,0.0,0.0,2,21.0,21.0,36.19029231,-114.2218682
205,Bain,138.0,PQ,71.0,14.0,1.03603,-13.61187,0.0,0.0,2,21.0,21.0,36.07922951,-113.9830412
206,Bajer,138.0,PQ,136.0,28.0,1.03259,-16.15672,0.0,-100.0,2,21.0,22.0,35.78739717,-113.8903468
207,Baker,138.0,PV,125.0,25.0,1.03973,-13.46606,0.0,0.0,2,21.0,22.0,36.05246663,-113.0828494
208,Balch,138.0,PQ,171.0,35.0,1.01203,-16.22359,0.0,0.0,2,21.0,22.0,35.93381421,-113.3177011
209,Balzac,138.0,PQ,175.0,36.0,1.02781,-11.72409,0.0,0.0,2,21.0,23.0,35.80510733,-114.1508325
210,Banks,138.0,PQ,195.0,40.0,1.05,-13.47986,0.0,0.0,2,21.0,23.0,35.78782341,-114.1628815
211,Bardeen,230.0,PQ,0.0,0.0,1.02735,-6.93336,0.0,0.0,2,21.0,23.0,35.80148483,-114.1675516
212,Barkla,230.0,PQ,0.0,0.0,1.01921,-5.25334,0.0,0.0,2,21.0,23.0,35.79144538,-114.1461651
213,Barlow,230.0,PV,265.0,54.0,1.03752,-3.2151,0.0,0.0,2,22.0,24.0,36.1460954,-114.6228964
214,Barry,230.0,PV,194.0,39.0,1.04335,-4.68519,0.0,0.0,2,22.0,26.0,35.56761113,-114.4925684
215,Barton,230.0,PV,317.0,64.0,1.04327,4.63351,0.0,0.0,2,22.0,26.0,35.14859089,-114.5757743
216,Basov,230.0,PV,100.0,20.0,1.04556,4.70009,0.0,0.0,2,22.0,26.0,35.26148957,-114.7307626
217,Bates,230.0,PQ,0.0,0.0,1.04847,8.81839,0.0,0.0,2,22.0,27.0,35.0877489,-114.9211636
218,Bayle,230.0,PV,333.0,68.0,1.05,9.99473,0.0,0.0,2,22.0,27.0,35.11490694,-115.0778823
219,Bede,230.0,PQ,181.0,37.0,1.03946,4.21233,0.0,0.0,2,22.0,25.0,35.4192172,-114.9791817
220,Beethoven,230.0,PQ,128.0,26.0,1.0438,5.66449,0.0,0.0,2,22.0,25.0,35.64669555,-115.4465869
221,Behring,230.0,PV,0.0,0.0,1.05,10.63209,0.0,0.0,2,22.0,27.0,35.3163216,-115.1979424
222,Bell,230.0,PV,0.0,0.0,1.05,16.43203,0.0,0.0,2,22.0,27.0,36.33098104,-115.2902095
223,Bloch,230.0,PV,0.0,0.0,1.05,7.18151,0.0,0.0,2,22.0,25.0,35.82434965,-115.5364456
224,Bordet,230.0,PQ,0.0,0.0,1.01456,-0.96005,0.0,0.0,2,22.0,26.0,35.35643752,-113.9602525
301,Cabell,138.0,PV,108.0,22.0,1.0486,-9.34821,0.0,0.0,3,31.0,31.0,35.0475822,-118.8217654
302,Cabot,138.0,PV,97.0,20.0,1.04864,-9.431,0.0,0.0,3,31.0,32.0,35.02993688,-118.8648595
303,Caesar,138.0,PQ,180.0,37.0,1.01045,-8.57689,0.0,0.0,3,31.0,31.0,35.21754253,-118.0435499
304,Caine,138.0,PQ,74.0,15.0,1.01785,-12.18784,0.0,0.0,3,31.0,31.0,34.63209145,-118.5635853
305,Calvin,138.0,PQ,71.0,14.0,1.03609,-12.35005,0.0,0.0,3,31.0,31.0,34.87388488,-118.5104873
306,Camus,138.0,PQ,136.0,28.0,1.0326,-14.94205,0.0,-100.0,3,31.0,32.0,34.88716764,-118.2761997
307,Carew,138.0,PV,125.0,25.0,1.03804,-12.54795,0.0,0.0,3,31.0,32.0,34.10126562,-118.878178
308,Carrel,138.0,PQ,171.0,35.0,1.01056,-15.18287,0.0,0.0,3,31.0,32.0,34.22471784,-118.6542579
309,Carter,138.0,PQ,175.0,36.0,1.02579,-10.44617,0.0,0.0,3,31.0,33.0,34.73575793,-118.127342
310,Caruso,138.0,PQ,195.0,40.0,1.05,-12.30117,0.0,0.0,3,31.0,33.0,34.72931591,-118.1045248
311,Cary,230.0,PQ,0.0,0.0,1.0283,-5.74069,0.0,0.0,3,31.0,33.0,34.74209387,-118.1119332
312,Caxton,230.0,PQ,0.0,0.0,1.019,-4.14604,0.0,0.0,3,31.0,33.0,34.72296307,-118.1198874
313,Cecil,230.0,PV,265.0,54.0,1.03802,-2.41513,0.0,0.0,3,32.0,34.0,34.26526814,-118.0188551
314,Chain,230.0,PV,194.0,39.0,1.04631,-3.20793,0.0,0.0,3,32.0,36.0,34.94496423,-117.6848792
315,Chase,230.0,PV,317.0,64.0,1.043,7.05088,0.0,0.0,3,32.0,36.0,35.26597012,-117.3864335
316,Chifa,230.0,PV,100.0,20.0,1.04558,6.59875,0.0,0.0,3,32.0,36.0,35.13836711,-117.2515886
317,Chuhsi,230.0,PQ,0.0,0.0,1.04785,10.34418,0.0,0.0,3,32.0,37.0,35.37843341,-117.0558295
318,Clark,230.0,PV,333.0,68.0,1.05,11.34262,0.0,0.0,3,32.0,37.0,35.50581323,-116.9765714
319,Clay,230.0,PQ,181.0,37.0,1.03953,5.91539,0.0,0.0,3,32.0,35.0,34.9176312,-117.1244195
320,Clive,230.0,PQ,128.0,26.0,1.04389,7.19709,0.0,0.0,3,32.0,35.0,34.46246563,-117.0635083
321,Cobb,230.0,PV,0.0,0.0,1.05,12.34122,0.0,0.0,3,32.0,37.0,35.74534438,-117.1153628
322,Cole,230.0,PV,0.0,0.0,1.05,18.06914,0.0,0.0,3,32.0,37.0,36.43895848,-117.4852717
323,Comte,230.0,PV,0.0,0.0,1.05,8.62112,0.0,0.0,3,32.0,35.0,34.25300337,-117.1132211
324,Curie,230.0,PQ,0.0,0.0,1.01046,1.30606,0.0,0.0,3,32.0,36.0,35.20658182,-118.0348168
325,Curtiss,230.0,PQ,0.0,0.0,1.04986,8.99332,0.0,0.0,3,32.0,35.0,34.25189131,-117.1289772
