GEN_ID,MODEL,STARTUP,SHUTDOWN,NCOST,COST_5,COST_4,COST_3,COST_2,COST_1,COST_0
50,1,22784.795619,22784.795619,3,54.25,1289.50641813,93.0,1966.55135294,124.0,2526.27459923
51,1,28046.681022,28046.681022,3,223.65,11518.3726005,248.5,12051.0107578,323.05,13789.7642638
52,1,28046.681022,28046.681022,3,223.65,11518.3726005,248.5,12051.0107578,323.05,13789.7642638
53,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
54,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
55,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
56,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
57,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
58,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
59,1,22784.795619,22784.795619,3,54.25,1289.50641813,93.0,1966.55135294,124.0,2526.27459923
60,1,22784.795619,22784.795619,3,54.25,1289.50641813,93.0,1966.55135294,124.0,2526.27459923
61,1,36749.813559,36749.813559,3,140.0,3018.77772,227.5,4572.93031825,280.0,5560.24820785
62,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
63,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
64,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
65,1,51.747,51.747,3,15.8,2463.10959276,16.0,2483.51653968,19.8,2882.26029276
66,1,51.747,51.747,3,15.8,2463.10959276,16.0,2483.51653968,19.8,2882.26029276
67,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
68,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
69,1,51.747,51.747,3,15.8,2463.10959276,16.0,2483.51653968,19.8,2882.26029276
70,1,51.747,51.747,3,15.8,2463.10959276,16.0,2483.51653968,19.8,2882.26029276
71,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
72,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
73,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
74,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
75,1,28046.681022,28046.681022,3,223.65,11518.3726005,248.5,12051.0107578,323.05,13789.7642638
76,1,0.0,0.0,3,0.0,0.0,0.5,0.0,1.0,0.0
77,1,703.7592,703.7592,3,2.4,397.83921552,6.0,777.08676888,9.6,1161.96025608
78,1,703.7592,703.7592,3,2.4,397.83921552,6.0,777.08676888,9.6,1161.96025608
79,1,703.7592,703.7592,3,2.4,397.83921552,6.0,777.08676888,9.6,1161.96025608
80,1,703.7592,703.7592,3,2.4,397.83921552,6.0,777.08676888,9.6,1161.96025608
81,1,703.7592,703.7592,3,2.4,397.83921552,6.0,777.08676888,9.6,1161.96025608
82,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
83,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
84,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
85,1,22784.795619,22784.795619,3,54.25,1289.50641813,93.0,1966.55135294,124.0,2526.27459923
86,1,28046.681022,28046.681022,3,223.65,11518.3726005,248.5,12051.0107578,323.05,13789.7642638
87,1,28046.681022,28046.681022,3,223.65,11518.3726005,248.5,12051.0107578,323.05,13789.7642638
88,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
89,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
90,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
91,1,0.0,0.0,3,0.0,0.0,25.0,0.0,50.0,0.0
92,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
93,1,5665.234428,5665.234428,3,33.0,1789.99484004,35.75,1893.8147118,46.75,2334.2367378
94,1,28046.681022,28046.681022,3,223.65,11518.3726005,248.5,12051.0107578,323.05,13789.7642638
95,1,28046.681022,28046.681022,3,223.65,11518.3726005,248.5,12051.0107578,323.05,13789.7642638
