Generator,Category,Nodes_Node,Fuels_Fuel,Max Capacity,Units,Shutdown Cost,Start Cost,Max Ramp Up,Max Ramp Down,Pump Load,Pump Efficiency,Min Down Time,Min Up Time,Min Stable Level
123_CT_5,Gas CT,123,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
201_CT_1,Oil CT,201,Oil,20,1,51.747,51.747,3,3,NA,NA,1,1,8
201_CT_2,Oil CT,201,Oil,20,1,51.747,51.747,3,3,NA,NA,1,1,8
201_STEAM_3,Coal,201,Coal,76,1,11172.014352,11172.014352,2,2,NA,NA,4,8,30
202_CT_1,Oil CT,202,Oil,20,1,51.747,51.747,3,3,NA,NA,1,1,8
202_CT_2,Oil CT,202,Oil,20,1,51.747,51.747,3,3,NA,NA,1,1,8
202_STEAM_3,Coal,202,Coal,76,1,11172.014352,11172.014352,2,2,NA,NA,4,8,30
202_STEAM_4,Coal,202,Coal,76,1,11172.014352,11172.014352,2,2,NA,NA,4,8,30
207_CT_1,Gas CT,207,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
207_CT_2,Gas CT,207,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
213_CC_3,Gas CC,213,NG,355,1,28046.681022,28046.681022,4.14,4.14,NA,NA,4.5,8,170
213_CT_1,Gas CT,213,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
213_CT_2,Gas CT,213,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
215_CT_4,Gas CT,215,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
215_CT_5,Gas CT,215,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
216_STEAM_1,Coal,216,Coal,155,1,22784.795619,22784.795619,3,3,NA,NA,8,8,62
218_CC_1,Gas CC,218,NG,355,1,28046.681022,28046.681022,4.14,4.14,NA,NA,4.5,8,170
221_CC_1,Gas CC,221,NG,355,1,28046.681022,28046.681022,4.14,4.14,NA,NA,4.5,8,170
223_STEAM_1,Coal,223,Coal,155,1,22784.795619,22784.795619,3,3,NA,NA,8,8,62
223_STEAM_2,Coal,223,Coal,155,1,22784.795619,22784.795619,3,3,NA,NA,8,8,62
223_STEAM_3,Coal,223,Coal,350,1,36749.813559,36749.813559,4,4,NA,NA,48,24,140
223_CT_4,Gas CT,223,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
223_CT_5,Gas CT,223,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
223_CT_6,Gas CT,223,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
301_CT_1,Oil CT,301,Oil,20,1,51.747,51.747,3,3,NA,NA,1,1,8
301_CT_2,Oil CT,301,Oil,20,1,51.747,51.747,3,3,NA,NA,1,1,8
301_CT_3,Gas CT,301,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
301_CT_4,Gas CT,301,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
302_CT_1,Oil CT,302,Oil,20,1,51.747,51.747,3,3,NA,NA,1,1,8
302_CT_2,Oil CT,302,Oil,20,1,51.747,51.747,3,3,NA,NA,1,1,8
302_CT_3,Gas CT,302,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
302_CT_4,Gas CT,302,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
307_CT_1,Gas CT,307,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
307_CT_2,Gas CT,307,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
313_CC_1,Gas CT,313,NG,355,1,28046.681022,28046.681022,4.14,4.14,NA,NA,4.5,8,170
315_STEAM_1,Oil ST,315,Oil,12,1,703.7592,703.7592,1,1,NA,NA,2,4,5
315_STEAM_2,Oil ST,315,Oil,12,1,703.7592,703.7592,1,1,NA,NA,2,4,5
315_STEAM_3,Oil ST,315,Oil,12,1,703.7592,703.7592,1,1,NA,NA,2,4,5
315_STEAM_4,Oil ST,315,Oil,12,1,703.7592,703.7592,1,1,NA,NA,2,4,5
315_STEAM_5,Oil ST,315,Oil,12,1,703.7592,703.7592,1,1,NA,NA,2,4,5
315_CT_6,Gas CT,315,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
315_CT_7,Gas CT,315,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
315_CT_8,Gas CT,315,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
316_STEAM_1,Coal,316,Coal,155,1,22784.795619,22784.795619,3,3,NA,NA,8,8,62
318_CC_1,Gas CC,318,NG,355,1,28046.681022,28046.681022,4.14,4.14,NA,NA,4.5,8,170
321_CC_1,Gas CC,321,NG,355,1,28046.681022,28046.681022,4.14,4.14,NA,NA,4.5,8,170
322_CT_5,Gas CT,322,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
322_CT_6,Gas CT,322,NG,55,1,5665.234428,5665.234428,3.7,3.7,NA,NA,2.2,2.2,22
323_CC_1,Gas CC,323,NG,355,1,28046.681022,28046.681022,4.14,4.14,NA,NA,4.5,8,170
323_CC_2,Gas CC,323,NG,355,1,28046.681022,28046.681022,4.14,4.14,NA,NA,4.5,8,170
114_SYNC_COND_1,Sync_Cond,114,NA,0,1,0,0,NA,NA,NA,NA,0,0,0
121_NUCLEAR_1,Nuclear,121,Nuclear,400,1,8102.68965,8102.68965,20,20,NA,NA,1,1,396
122_HYDRO_1,Hydro,122,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
122_HYDRO_2,Hydro,122,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
122_HYDRO_3,Hydro,122,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
122_HYDRO_4,Hydro,122,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
122_HYDRO_5,Hydro,122,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
122_HYDRO_6,Hydro,122,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
201_HYDRO_4,Hydro,201,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
214_SYNC_COND_1,Sync_Cond,214,NA,0,1,0,0,NA,NA,NA,NA,0,0,0
215_HYDRO_1,Hydro,215,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
215_HYDRO_2,Hydro,215,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
215_HYDRO_3,Hydro,215,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
222_HYDRO_1,Hydro,222,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
222_HYDRO_2,Hydro,222,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
222_HYDRO_3,Hydro,222,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
222_HYDRO_4,Hydro,222,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
222_HYDRO_5,Hydro,222,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
222_HYDRO_6,Hydro,222,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
314_SYNC_COND_1,Sync_Cond,314,NA,0,1,0,0,NA,NA,NA,NA,0,0,0
322_HYDRO_1,Hydro,322,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
322_HYDRO_2,Hydro,322,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
322_HYDRO_3,Hydro,322,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
322_HYDRO_4,Hydro,322,NA,50,1,0,0,NA,NA,NA,NA,0,0,0
320_PV_1,Solar,320,NA,51.6,1,0,0,51.6,51.6,NA,NA,0,0,0
314_PV_1,Solar,314,NA,51.6,1,0,0,51.6,51.6,NA,NA,0,0,0
314_PV_2,Solar,314,NA,51.6,1,0,0,51.6,51.6,NA,NA,0,0,0
313_PV_1,Solar,313,NA,95.1,1,0,0,95.1,95.1,NA,NA,0,0,0
314_PV_3,Solar,314,NA,92.7,1,0,0,92.7,92.7,NA,NA,0,0,0
314_PV_4,Solar,314,NA,51.6,1,0,0,51.6,51.6,NA,NA,0,0,0
313_PV_2,Solar,313,NA,93.3,1,0,0,93.3,93.3,NA,NA,0,0,0
310_PV_1,Solar,310,NA,51.7,1,0,0,51.7,51.7,NA,NA,0,0,0
324_PV_1,Solar,324,NA,49.7,1,0,0,49.7,49.7,NA,NA,0,0,0
312_PV_1,Solar,312,NA,94.1,1,0,0,94.1,94.1,NA,NA,0,0,0
310_PV_2,Solar,310,NA,51.6,1,0,0,51.6,51.6,NA,NA,0,0,0
324_PV_2,Solar,324,NA,51.6,1,0,0,51.6,51.6,NA,NA,0,0,0
324_PV_3,Solar,324,NA,51,1,0,0,51,51,NA,NA,0,0,0
113_PV_1,Solar,113,NA,93.6,1,0,0,93.6,93.6,NA,NA,0,0,0
319_PV_1,Solar,319,NA,188.2,1,0,0,188.2,188.2,NA,NA,0,0,0
215_PV_1,Solar,215,NA,125.1,1,0,0,125.1,125.1,NA,NA,0,0,0
102_PV_1,Solar,102,NA,25.6,1,0,0,25.6,25.6,NA,NA,0,0,0
101_PV_1,Solar,101,NA,25.9,1,0,0,25.9,25.9,NA,NA,0,0,0
102_PV_2,Solar,102,NA,25.3,1,0,0,25.3,25.3,NA,NA,0,0,0
104_PV_1,Solar,104,NA,26.8,1,0,0,26.8,26.8,NA,NA,0,0,0
212_CSP_1,CSP,212,NA,200,1,0,2000,20,20,NA,NA,1,1,30
101_PV_2,Solar,101,NA,26.7,1,0,0,26.7,26.7,NA,NA,0,0,0
101_PV_3,Solar,101,NA,26.2,1,0,0,26.2,26.2,NA,NA,0,0,0
101_PV_4,Solar,101,NA,25.8,1,0,0,25.8,25.8,NA,NA,0,0,0
103_PV_1,Solar,103,NA,61.5,1,0,0,61.5,61.5,NA,NA,0,0,0
119_PV_1,Solar,119,NA,66.6,1,0,0,66.6,66.6,NA,NA,0,0,0
308_RTPV_1,Solar,308,NA,100.9,1,0,0,100.9,100.9,NA,NA,0,0,0
313_RTPV_1,Solar,313,NA,101.7,1,0,0,101.7,101.7,NA,NA,0,0,0
313_RTPV_2,Solar,313,NA,63.1,1,0,0,63.1,63.1,NA,NA,0,0,0
313_RTPV_3,Solar,313,NA,65.4,1,0,0,65.4,65.4,NA,NA,0,0,0
313_RTPV_4,Solar,313,NA,67,1,0,0,67,67,NA,NA,0,0,0
313_RTPV_5,Solar,313,NA,64.8,1,0,0,64.8,64.8,NA,NA,0,0,0
313_RTPV_6,Solar,313,NA,63.8,1,0,0,63.8,63.8,NA,NA,0,0,0
313_RTPV_7,Solar,313,NA,64.1,1,0,0,64.1,64.1,NA,NA,0,0,0
313_RTPV_8,Solar,313,NA,66.6,1,0,0,66.6,66.6,NA,NA,0,0,0
313_RTPV_9,Solar,313,NA,62.4,1,0,0,62.4,62.4,NA,NA,0,0,0
313_RTPV_10,Solar,313,NA,66.9,1,0,0,66.9,66.9,NA,NA,0,0,0
313_RTPV_11,Solar,313,NA,65.2,1,0,0,65.2,65.2,NA,NA,0,0,0
313_RTPV_12,Solar,313,NA,27.8,1,0,0,27.8,27.8,NA,NA,0,0,0
320_RTPV_1,Solar,320,NA,27.3,1,0,0,27.3,27.3,NA,NA,0,0,0
320_RTPV_2,Solar,320,NA,27,1,0,0,27,27,NA,NA,0,0,0
320_RTPV_3,Solar,320,NA,28.3,1,0,0,28.3,28.3,NA,NA,0,0,0
313_RTPV_13,Solar,313,NA,27.2,1,0,0,27.2,27.2,NA,NA,0,0,0
320_RTPV_4,Solar,320,NA,27,1,0,0,27,27,NA,NA,0,0,0
320_RTPV_5,Solar,320,NA,28.2,1,0,0,28.2,28.2,NA,NA,0,0,0
118_RTPV_1,Solar,118,NA,9.3,1,0,0,9.3,9.3,NA,NA,0,0,0
118_RTPV_2,Solar,118,NA,9.7,1,0,0,9.7,9.7,NA,NA,0,0,0
118_RTPV_3,Solar,118,NA,9.4,1,0,0,9.4,9.4,NA,NA,0,0,0
118_RTPV_4,Solar,118,NA,9.1,1,0,0,9.1,9.1,NA,NA,0,0,0
118_RTPV_5,Solar,118,NA,9.1,1,0,0,9.1,9.1,NA,NA,0,0,0
118_RTPV_6,Solar,118,NA,9.7,1,0,0,9.7,9.7,NA,NA,0,0,0
320_RTPV_6,Solar,320,NA,9.4,1,0,0,9.4,9.4,NA,NA,0,0,0
118_RTPV_7,Solar,118,NA,11.8,1,0,0,11.8,11.8,NA,NA,0,0,0
118_RTPV_8,Solar,118,NA,11.2,1,0,0,11.2,11.2,NA,NA,0,0,0
118_RTPV_9,Solar,118,NA,10.3,1,0,0,10.3,10.3,NA,NA,0,0,0
118_RTPV_10,Solar,118,NA,4.5,1,0,0,4.5,4.5,NA,NA,0,0,0
213_RTPV_1,Solar,213,NA,13.2,1,0,0,13.2,13.2,NA,NA,0,0,0
309_WIND_1,Wind,309,NA,148.3,1,0,0,148.3,148.3,NA,NA,0,0,0
317_WIND_1,Wind,317,NA,799.1,1,0,0,799.1,799.1,NA,NA,0,0,0
303_WIND_1,Wind,303,NA,847,1,0,0,847,847,NA,NA,0,0,0
122_WIND_1,Wind,122,NA,713.5,1,0,0,713.5,713.5,NA,NA,0,0,0
313_STORAGE_1,Storage,313,Storage,50,1,0,0,50,50,30,85,0,0,0
