Year,Month,Day,Period,313_rtpv_3,118_rtpv,118_rtpv_6,313_rtpv_9,320_rtpv,118_rtpv_8,313_rtpv_12,313_rtpv,313_rtpv_6,313_rtpv_11,320_rtpv_2,313_rtpv_2,320_rtpv_4,313_rtpv_10,213_rtpv,313_rtpv_7,308_rtpv,313_rtpv_5,313_rtpv_13,118_rtpv_7,320_rtpv_3,118_rtpv_4,320_rtpv_5,118_rtpv_3,118_rtpv_5,118_rtpv_2,313_rtpv_4,118_rtpv_10,320_rtpv_6,313_rtpv_8,118_rtpv_9
2024,1,1,11,40.1,6.0,6.1,41.9,18.3,7.2,18.3,64.5,38.8,44.4,18.3,40.1,17.1,41.1,8.0,40.7,64.5,39.9,17.8,6.9,18.0,6.1,18.7,6.0,5.8,6.0,40.2,3.0,5.9,42.1,6.6
2024,1,1,12,43.1,6.3,6.3,43.0,19.5,7.7,19.5,67.1,41.0,46.6,19.5,41.5,18.3,44.0,8.3,42.7,67.0,41.5,18.8,7.4,19.1,6.4,19.7,6.4,6.2,6.3,42.8,3.2,6.3,42.3,6.9
2024,1,1,13,42.8,6.2,6.2,40.8,19.4,7.5,19.4,65.4,40.7,45.1,19.4,42.0,17.7,42.6,8.0,40.8,65.4,41.8,19.2,7.2,19.0,6.3,20.1,6.1,5.9,6.2,41.7,3.1,6.0,41.6,6.7
2024,1,1,14,37.7,5.4,5.5,37.7,17.0,6.7,17.0,59.2,37.1,40.2,17.0,37.1,15.8,38.0,7.3,37.8,59.2,36.9,17.4,6.6,16.7,5.5,18.2,5.6,5.4,5.4,36.7,2.7,5.5,37.6,5.9
2024,1,1,15,29.0,4.0,4.0,29.5,12.8,5.3,12.8,47.9,29.2,30.2,12.8,29.3,12.0,29.0,5.3,29.5,48.0,29.1,13.0,5.2,12.6,4.0,13.5,4.3,4.1,4.0,29.0,2.2,4.2,29.4,4.7
2024,1,1,16,14.2,1.9,1.8,14.0,6.3,2.5,6.3,23.1,14.7,15.8,6.3,14.8,5.6,13.6,2.1,14.0,23.2,14.6,6.3,2.5,5.9,1.9,6.3,1.9,2.0,1.9,14.5,1.0,1.9,14.1,2.3
2024,1,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,8,8.0,1.6,1.5,9.4,4.2,1.8,4.2,13.1,8.9,9.9,4.2,9.2,4.0,9.5,2.3,9.4,12.9,8.8,4.3,1.8,4.4,1.5,4.4,1.6,1.5,1.6,8.4,0.8,1.5,8.6,1.6
2024,1,2,9,22.0,3.6,3.6,23.9,10.5,4.2,10.5,36.1,22.8,24.7,10.5,22.7,9.8,23.6,5.0,23.9,36.0,22.4,10.3,4.1,10.5,3.6,10.8,3.7,3.5,3.6,22.5,1.7,3.6,23.1,3.8
2024,1,2,10,33.1,5.1,5.1,35.2,15.7,6.0,15.6,53.5,34.1,36.3,15.6,33.4,14.3,34.3,7.0,35.3,53.4,33.2,15.0,5.9,15.3,5.2,15.8,5.3,5.1,5.1,33.1,2.5,5.1,34.7,5.3
2024,1,2,11,39.4,6.0,6.1,42.1,18.6,7.1,18.6,62.5,40.7,42.7,18.6,39.4,16.8,40.5,7.9,42.1,62.4,39.4,18.0,7.0,18.2,6.0,18.9,6.3,6.0,6.0,40.7,2.9,6.1,41.6,6.3
2024,1,2,12,41.7,6.3,6.4,44.4,19.5,7.5,19.5,67.8,43.3,45.3,19.4,41.5,17.8,42.9,8.3,44.5,67.8,41.6,19.4,7.4,19.1,6.3,20.4,6.5,6.3,6.3,43.2,3.1,6.4,44.3,6.5
2024,1,2,13,40.7,6.1,6.1,43.3,18.9,7.4,18.9,65.0,41.8,44.2,18.9,41.7,17.3,41.9,8.3,43.3,65.0,41.6,19.1,7.3,18.5,6.1,20.0,6.4,6.2,6.0,42.2,3.1,6.3,42.8,6.7
2024,1,2,14,36.5,5.3,5.4,38.9,16.8,6.7,16.8,57.9,37.7,39.5,16.8,36.6,15.4,37.4,7.2,38.9,58.0,36.4,16.9,6.6,16.5,5.4,17.7,5.6,5.4,5.3,37.6,2.8,5.5,38.5,6.0
2024,1,2,15,28.4,4.0,4.0,30.0,12.7,5.2,12.8,44.5,28.3,29.8,12.7,28.4,11.7,28.4,5.2,30.1,44.6,28.4,12.9,5.1,12.5,4.1,13.5,4.3,4.1,4.0,28.3,2.1,4.2,28.6,4.6
2024,1,2,16,14.1,1.9,1.8,15.3,6.3,2.5,6.3,22.5,14.5,15.9,6.3,14.8,5.6,15.1,2.1,15.3,22.5,14.5,6.3,2.5,5.9,1.9,6.3,2.0,2.0,1.9,14.3,1.0,2.0,13.9,2.2
2024,1,2,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,8,8.0,1.6,1.5,9.4,4.1,1.8,4.1,12.9,8.7,9.9,4.1,9.3,4.0,9.5,2.3,9.5,12.7,8.9,4.3,1.8,4.3,1.6,4.4,1.6,1.5,1.6,8.5,0.7,1.5,8.4,1.6
2024,1,3,9,22.0,3.6,3.6,23.0,10.3,4.0,10.3,36.3,22.6,24.7,10.3,22.5,9.8,23.5,4.9,23.1,36.2,22.2,10.3,3.9,10.2,3.6,10.8,3.6,3.4,3.6,22.1,1.6,3.5,22.9,3.6
2024,1,3,10,32.5,5.0,5.0,34.4,15.4,5.7,15.4,54.1,33.6,35.9,15.4,32.2,14.1,34.0,7.0,34.4,54.0,32.0,14.6,5.6,15.0,5.0,15.4,5.1,4.9,5.0,32.1,2.4,4.9,34.3,5.3
2024,1,3,11,37.4,5.7,5.7,40.8,18.3,6.9,18.2,65.0,39.6,42.7,18.2,39.5,16.8,40.4,8.3,40.8,64.9,39.5,17.3,6.8,17.9,5.7,18.2,6.1,5.9,5.7,38.8,2.8,6.0,40.5,6.3
2024,1,3,12,39.7,6.1,6.2,43.4,19.3,7.1,19.3,68.1,40.9,45.4,19.2,42.6,17.8,43.0,8.7,43.5,68.1,42.5,18.5,7.0,18.9,6.1,19.5,6.4,6.2,6.1,42.1,2.9,6.3,41.7,7.0
2024,1,3,13,40.9,6.0,6.1,42.4,18.7,7.3,18.7,64.7,40.4,45.2,18.7,41.9,17.7,42.8,8.4,42.4,64.7,41.8,18.5,7.2,18.3,6.1,19.4,6.3,6.1,6.0,42.0,3.0,6.2,41.2,6.9
2024,1,3,14,36.8,5.3,5.4,37.7,16.7,6.6,16.7,57.7,37.7,40.5,16.7,37.6,15.8,38.3,7.3,37.7,57.8,37.5,16.7,6.5,16.4,5.4,17.5,5.7,5.5,5.3,37.8,2.7,5.6,38.4,5.8
2024,1,3,15,28.0,3.9,3.9,29.4,12.7,5.1,12.7,45.4,28.4,30.4,12.7,28.5,11.9,28.9,5.3,29.4,45.4,28.4,12.8,5.0,12.4,3.9,13.4,4.3,4.1,3.9,28.3,2.1,4.2,28.8,4.4
2024,1,3,16,14.2,1.9,1.9,14.1,6.3,2.5,6.3,23.2,14.8,16.2,6.3,15.1,5.7,13.9,2.1,14.1,23.3,14.9,6.3,2.5,5.9,2.0,6.3,2.0,2.1,1.9,14.6,1.0,2.0,14.3,2.3
2024,1,3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,3,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,8,8.8,1.6,1.5,9.6,4.2,1.8,4.2,13.0,9.1,9.9,4.2,9.5,4.1,9.5,2.3,9.7,12.9,9.0,4.5,1.6,4.5,1.6,4.6,0.7,1.5,1.6,8.6,0.8,1.2,8.8,1.6
2024,1,4,9,20.9,3.7,3.8,23.5,10.6,4.3,10.6,36.1,23.3,24.5,10.6,24.2,9.9,23.4,5.2,23.6,36.0,23.5,10.4,3.8,10.7,3.7,10.8,3.3,3.5,3.7,22.8,1.8,3.2,23.8,3.7
2024,1,4,10,31.8,5.3,5.4,33.8,15.4,6.3,15.4,55.5,34.3,36.9,15.4,35.8,14.8,34.8,7.3,33.9,55.4,35.1,15.3,5.9,15.3,5.3,15.9,5.2,5.1,5.3,33.1,2.6,5.3,35.3,5.4
2024,1,4,11,40.3,6.1,6.4,41.4,17.8,7.4,17.8,66.0,39.8,44.5,17.8,42.9,17.8,42.2,8.6,41.5,66.0,42.5,18.1,7.1,17.8,6.2,18.8,6.4,6.2,6.1,40.0,3.0,6.4,41.0,6.6
2024,1,4,12,43.7,6.3,6.5,42.3,19.0,8.0,19.0,68.9,43.5,47.1,19.0,45.7,18.8,44.6,8.7,42.3,68.9,45.4,19.2,7.8,19.0,6.4,20.0,6.8,6.5,6.3,43.7,3.3,6.7,44.8,7.2
2024,1,4,13,43.7,6.0,6.2,41.5,19.0,7.9,19.0,69.2,42.3,46.2,19.0,45.0,18.4,43.7,8.0,41.5,69.2,44.4,19.0,7.5,19.0,6.0,19.7,6.5,6.3,5.9,43.3,3.2,6.4,43.5,7.0
2024,1,4,14,38.7,5.4,5.6,38.9,16.7,6.9,16.7,61.7,37.8,41.2,16.7,39.9,16.4,39.0,7.0,38.9,61.7,39.2,16.9,6.1,16.7,5.4,17.5,5.7,5.5,5.4,38.6,2.9,5.7,38.9,5.6
2024,1,4,15,28.1,4.0,4.2,29.8,12.6,5.1,12.7,45.0,28.9,30.7,12.6,29.3,12.2,29.2,5.2,29.9,45.1,28.8,12.7,4.6,12.6,4.1,13.1,4.3,4.1,4.0,28.1,2.1,4.2,29.6,3.8
2024,1,4,16,14.9,2.0,2.0,14.8,6.6,2.7,6.6,24.3,15.7,17.1,6.6,16.2,6.1,14.6,2.2,14.8,24.3,15.8,6.6,2.5,6.3,2.0,6.6,2.1,2.1,2.0,15.2,1.1,2.1,15.4,2.4
2024,1,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,4,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
