Year,Month,Day,Period,309_wind,122_wind,303_wind,317_wind
2024,1,4,1,28.5,198.8,195.5,52.6
2024,1,4,2,30.6,77.5,94.5,63.5
2024,1,4,3,23.6,33.4,32.5,60.1
2024,1,4,4,46.9,28.5,53.4,73.7
2024,1,4,5,41.4,60.0,154.6,54.9
2024,1,4,6,23.1,85.3,108.3,72.7
2024,1,4,7,18.8,82.2,31.1,55.9
2024,1,4,8,20.6,70.8,99.3,26.4
2024,1,4,9,2.6,86.4,90.9,15.2
2024,1,4,10,0.0,101.7,12.9,45.4
2024,1,4,11,0.0,48.2,0.0,108.7
2024,1,4,12,0.0,121.2,8.9,169.5
2024,1,4,13,4.9,243.6,131.2,155.7
2024,1,4,14,60.3,255.6,344.6,159.5
2024,1,4,15,65.0,452.7,496.6,358.7
2024,1,4,16,76.6,441.7,386.0,304.8
2024,1,4,17,37.9,403.3,161.5,154.4
2024,1,4,18,37.8,88.9,327.2,554.6
2024,1,4,19,105.5,557.4,395.6,409.6
2024,1,4,20,137.3,591.2,602.7,614.2
2024,1,4,21,142.9,574.5,822.5,740.1
2024,1,4,22,147.0,706.1,835.8,774.4
2024,1,4,23,147.0,713.5,833.3,796.3
2024,1,4,24,147.4,577.2,839.2,799.1
2024,1,5,1,146.8,587.3,836.4,799.1
2024,1,5,2,147.0,627.5,839.9,798.4
2024,1,5,3,147.6,602.4,838.8,799.0
2024,1,5,4,146.6,613.1,840.7,799.1
2024,1,5,5,147.5,599.4,839.7,797.2
2024,1,5,6,147.2,630.4,834.2,768.4
2024,1,5,7,147.1,696.8,828.3,729.5
2024,1,5,8,146.6,670.3,807.5,703.7
2024,1,5,9,145.5,663.9,761.8,632.8
2024,1,5,10,146.2,703.3,715.8,755.0
2024,1,5,11,140.3,648.4,554.4,762.0
2024,1,5,12,101.9,628.7,262.0,628.3
2024,1,5,13,78.4,590.8,313.0,561.4
2024,1,5,14,70.4,507.3,299.3,443.0
2024,1,5,15,51.1,581.4,291.4,479.6
2024,1,5,16,53.6,433.4,352.1,357.2
2024,1,5,17,44.2,279.9,348.1,249.7
2024,1,5,18,83.6,0.0,162.0,95.7
2024,1,5,19,77.5,3.9,142.6,136.5
2024,1,5,20,66.9,26.2,264.3,141.3
2024,1,5,21,20.7,419.8,172.8,176.0
2024,1,5,22,14.5,563.4,122.2,174.1
2024,1,5,23,39.0,539.6,162.6,362.0
2024,1,5,24,86.6,658.3,286.8,477.9
2024,1,6,1,104.0,650.2,543.1,638.4
2024,1,6,2,117.3,650.9,635.4,570.2
2024,1,6,3,130.0,667.2,609.1,601.8
2024,1,6,4,135.1,661.2,723.3,721.6
2024,1,6,5,123.1,651.0,707.6,747.2
2024,1,6,6,104.4,649.7,765.6,745.0
2024,1,6,7,96.5,639.2,791.6,684.6
2024,1,6,8,94.5,645.6,804.7,705.5
2024,1,6,9,100.3,672.2,810.8,769.8
2024,1,6,10,132.4,695.1,809.8,790.9
2024,1,6,11,145.3,705.7,716.4,793.5
2024,1,6,12,143.2,704.1,669.9,784.3
2024,1,6,13,136.0,697.1,599.5,769.6
2024,1,6,14,123.1,688.3,498.4,761.4
2024,1,6,15,130.7,670.5,464.2,759.6
2024,1,6,16,143.2,664.4,521.7,723.5
2024,1,6,17,130.1,664.1,615.4,686.8
2024,1,6,18,137.2,657.7,558.6,689.3
2024,1,6,19,128.0,656.2,547.1,686.4
2024,1,6,20,137.8,661.0,518.0,670.4
2024,1,6,21,134.8,667.9,558.5,660.5
2024,1,6,22,145.0,678.7,582.0,740.1
2024,1,6,23,147.6,700.3,481.0,789.7
2024,1,6,24,148.1,712.2,462.1,799.1
2024,1,7,1,148.0,713.5,619.0,799.1
2024,1,7,2,147.7,711.7,782.8,789.9
2024,1,7,3,147.0,711.4,829.1,796.0
2024,1,7,4,146.9,709.2,833.8,796.9
2024,1,7,5,146.4,707.3,836.6,796.4
2024,1,7,6,145.5,701.9,836.6,796.7
2024,1,7,7,147.1,710.8,838.8,796.2
2024,1,7,8,147.2,704.6,837.8,795.7
2024,1,7,9,148.0,701.4,838.7,793.6
2024,1,7,10,147.6,703.9,823.2,793.9
2024,1,7,11,138.5,709.4,768.5,794.2
2024,1,7,12,142.4,709.1,756.4,781.9
2024,1,7,13,146.8,705.9,757.6,775.1
2024,1,7,14,146.2,704.4,746.4,783.2
2024,1,7,15,144.1,709.0,776.5,788.8
2024,1,7,16,146.2,709.4,798.8,787.0
2024,1,7,17,146.6,713.2,794.9,787.3
2024,1,7,18,140.9,713.5,758.1,798.3
2024,1,7,19,147.2,713.5,831.3,798.7
2024,1,7,20,145.7,713.5,836.3,796.4
2024,1,7,21,146.1,713.3,836.9,795.9
2024,1,7,22,137.1,709.3,837.2,746.7
2024,1,7,23,142.1,713.2,822.3,797.9
2024,1,7,24,145.3,711.5,708.0,767.0
2024,1,8,1,133.1,614.3,620.4,543.5
2024,1,8,2,99.3,696.0,612.0,771.7
2024,1,8,3,69.1,698.0,636.0,788.3
2024,1,8,4,93.1,529.4,685.9,577.0
2024,1,8,5,100.6,274.9,520.7,326.6
2024,1,8,6,107.2,68.4,665.7,363.1
2024,1,8,7,141.0,69.0,837.6,312.8
2024,1,8,8,148.0,442.8,843.1,397.7
2024,1,8,9,148.2,649.8,847.0,662.9
2024,1,8,10,148.3,622.5,847.0,786.7
2024,1,8,11,148.3,655.8,838.1,798.9
2024,1,8,12,145.1,713.5,838.4,788.1
2024,1,8,13,145.7,713.5,845.4,789.4
2024,1,8,14,146.0,713.5,843.6,798.5
2024,1,8,15,147.1,713.5,839.2,799.0
2024,1,8,16,146.5,709.2,837.9,796.0
2024,1,8,17,147.0,711.0,835.3,788.6
2024,1,8,18,147.8,713.5,843.4,797.5
2024,1,8,19,147.7,705.3,841.2,797.8
2024,1,8,20,147.2,704.2,788.8,798.9
2024,1,8,21,145.2,708.1,776.4,798.1
2024,1,8,22,145.4,710.1,778.4,799.1
2024,1,8,23,146.8,707.2,729.0,794.9
2024,1,8,24,147.0,712.5,723.7,791.6
2024,1,9,1,146.8,712.9,733.9,793.8
2024,1,9,2,146.2,713.5,674.5,790.7
2024,1,9,3,147.8,713.5,748.8,789.2
2024,1,9,4,147.6,713.5,744.7,789.3
2024,1,9,5,147.3,713.5,684.8,787.3
2024,1,9,6,147.0,712.1,607.4,785.7
2024,1,9,7,147.2,701.4,509.9,784.9
2024,1,9,8,147.4,668.0,433.2,777.9
2024,1,9,9,146.5,597.3,388.8,743.0
2024,1,9,10,144.6,567.3,376.7,696.0
2024,1,9,11,126.8,286.8,298.2,508.4
2024,1,9,12,81.3,84.1,278.4,293.4
2024,1,9,13,44.3,129.1,182.2,134.0
2024,1,9,14,27.4,146.4,176.3,42.4
2024,1,9,15,10.8,85.6,106.0,28.2
2024,1,9,16,5.2,118.7,79.8,131.0
2024,1,9,17,9.2,128.9,76.2,138.3
2024,1,9,18,14.1,121.6,0.0,328.1
2024,1,9,19,30.3,531.6,2.9,685.7
2024,1,9,20,63.6,669.0,66.8,669.7
2024,1,9,21,82.9,665.0,212.6,633.3
2024,1,9,22,117.2,654.8,339.3,634.7
2024,1,9,23,112.7,653.5,253.2,676.0
2024,1,9,24,122.2,652.4,378.8,667.6
2024,1,10,1,112.5,658.5,597.0,635.2
2024,1,10,2,87.0,657.0,637.9,636.8
2024,1,10,3,101.8,657.3,505.8,685.3
2024,1,10,4,101.7,664.1,336.4,686.5
2024,1,10,5,79.5,659.3,301.1,705.4
2024,1,10,6,46.3,664.9,351.6,741.0
2024,1,10,7,28.5,682.1,494.8,772.5
2024,1,10,8,52.1,702.1,513.4,757.8
2024,1,10,9,87.9,695.4,587.7,724.6
2024,1,10,10,92.0,688.0,659.3,724.0
2024,1,10,11,86.3,688.8,595.2,716.5
2024,1,10,12,75.2,691.9,535.4,659.6
2024,1,10,13,75.7,694.8,424.7,615.4
2024,1,10,14,90.4,686.7,278.1,594.4
2024,1,10,15,110.7,682.4,204.5,557.0
2024,1,10,16,93.5,684.8,120.8,592.3
2024,1,10,17,77.5,704.6,0.0,737.2
2024,1,10,18,0.0,712.4,0.0,799.1
2024,1,10,19,0.0,711.8,152.5,783.0
2024,1,10,20,12.5,712.1,395.5,626.7
2024,1,10,21,52.5,712.4,377.2,390.4
2024,1,10,22,35.0,647.7,311.6,335.6
2024,1,10,23,55.3,658.4,329.1,752.4
2024,1,10,24,58.4,690.8,332.9,688.7
2024,1,11,1,29.5,679.7,210.2,626.9
2024,1,11,2,19.0,688.7,171.7,518.7
2024,1,11,3,15.7,693.0,176.2,544.6
2024,1,11,4,41.5,687.7,278.1,598.4
2024,1,11,5,42.4,683.7,183.9,486.5
2024,1,11,6,31.8,582.8,213.0,348.6
2024,1,11,7,14.0,259.3,172.1,337.3
2024,1,11,8,8.7,38.4,53.8,178.9
2024,1,11,9,6.7,45.2,37.2,113.6
2024,1,11,10,3.3,52.6,13.4,120.0
2024,1,11,11,0.0,44.9,0.0,143.5
2024,1,11,12,13.8,18.6,136.1,152.4
2024,1,11,13,47.8,68.0,337.3,152.0
2024,1,11,14,70.4,153.8,361.4,147.7
2024,1,11,15,105.6,137.3,293.8,154.0
2024,1,11,16,111.2,135.5,218.4,201.5
2024,1,11,17,133.1,235.3,200.8,266.1
2024,1,11,18,102.0,360.5,219.6,240.9
2024,1,11,19,37.7,534.8,265.4,333.4
2024,1,11,20,25.5,510.5,357.3,380.6
2024,1,11,21,14.6,631.4,553.7,451.7
2024,1,11,22,55.3,575.5,613.5,343.6
2024,1,11,23,34.7,590.1,669.0,653.8
2024,1,11,24,50.3,648.2,614.4,572.0
2024,1,12,1,71.6,661.3,664.3,632.4
2024,1,12,2,63.8,694.6,520.0,644.7
2024,1,12,3,73.8,687.7,720.6,699.1
2024,1,12,4,81.2,710.4,690.6,773.4
2024,1,12,5,74.2,710.2,629.2,737.6
2024,1,12,6,78.9,709.7,575.5,742.3
2024,1,12,7,72.4,678.1,576.3,724.9
2024,1,12,8,72.5,674.6,482.5,738.4
2024,1,12,9,67.4,659.5,452.5,728.4
2024,1,12,10,70.4,653.3,455.8,740.8
2024,1,12,11,71.3,616.9,348.6,693.2
2024,1,12,12,52.8,574.3,230.3,690.5
2024,1,12,13,43.3,578.9,182.8,655.1
2024,1,12,14,43.5,587.5,129.5,626.1
2024,1,12,15,43.0,574.0,156.1,600.1
2024,1,12,16,42.1,563.5,207.7,571.1
2024,1,12,17,29.9,581.3,234.4,585.2
2024,1,12,18,60.3,602.7,197.4,570.3
2024,1,12,19,73.3,542.1,368.6,602.1
2024,1,12,20,61.6,545.2,628.8,496.3
2024,1,12,21,35.0,494.4,596.3,478.2
2024,1,12,22,30.6,442.3,574.9,523.8
2024,1,12,23,55.8,421.4,537.6,529.8
2024,1,12,24,68.8,418.7,387.7,528.3
2024,1,13,1,81.0,450.2,447.7,476.7
2024,1,13,2,109.5,431.4,649.9,459.1
2024,1,13,3,128.9,444.1,472.4,506.7
2024,1,13,4,141.9,531.2,433.2,647.2
2024,1,13,5,113.5,443.9,452.1,596.1
2024,1,13,6,140.9,341.3,489.4,493.0
2024,1,13,7,87.7,308.9,269.9,415.0
2024,1,13,8,86.7,306.1,179.9,355.3
2024,1,13,9,33.6,321.6,96.8,237.0
2024,1,13,10,25.4,156.4,149.1,218.6
2024,1,13,11,45.3,177.9,237.5,138.5
2024,1,13,12,6.4,129.7,286.0,72.0
2024,1,13,13,15.5,236.2,160.8,75.7
2024,1,13,14,28.9,206.0,157.7,78.1
2024,1,13,15,89.2,346.7,205.4,94.1
2024,1,13,16,73.5,505.2,222.9,186.2
2024,1,13,17,104.9,505.8,477.0,335.4
2024,1,13,18,145.2,669.1,629.6,643.6
2024,1,13,19,140.8,648.7,692.3,743.7
2024,1,13,20,50.0,647.2,778.1,485.8
2024,1,13,21,54.0,672.7,752.6,711.2
2024,1,13,22,81.4,663.3,808.9,702.7
2024,1,13,23,34.7,650.0,772.3,676.5
2024,1,13,24,64.4,666.9,776.6,784.7
2024,1,14,1,115.8,691.7,596.5,778.2
2024,1,14,2,129.2,690.7,681.6,768.1
2024,1,14,3,147.9,695.1,766.2,788.1
2024,1,14,4,146.5,701.5,834.2,796.5
2024,1,14,5,147.8,696.0,842.1,795.7
2024,1,14,6,147.9,706.5,790.5,791.5
2024,1,14,7,147.1,706.7,540.2,790.9
2024,1,14,8,145.6,704.8,548.8,793.1
2024,1,14,9,145.8,711.1,724.8,793.7
2024,1,14,10,144.1,711.0,759.4,791.6
2024,1,14,11,136.4,711.1,792.8,790.0
2024,1,14,12,135.6,713.5,689.1,787.9
2024,1,14,13,132.7,713.3,604.5,771.4
2024,1,14,14,124.0,670.1,587.1,734.0
2024,1,14,15,124.5,599.4,400.0,733.0
2024,1,14,16,117.5,616.0,377.3,706.3
2024,1,14,17,72.1,518.1,333.3,722.6
2024,1,14,18,13.1,453.4,9.2,0.0
2024,1,14,19,115.9,435.1,32.0,0.0
2024,1,14,20,134.9,399.3,82.6,0.0
2024,1,14,21,141.7,468.8,194.0,32.4
2024,1,14,22,63.8,292.1,151.6,267.4
2024,1,14,23,73.5,258.1,357.1,391.8
2024,1,14,24,90.1,312.8,407.9,289.9
2024,1,15,1,106.5,467.1,503.5,392.2
2024,1,15,2,67.1,440.5,471.7,374.4
2024,1,15,3,52.1,643.3,519.4,553.8
2024,1,15,4,73.2,621.7,316.0,593.6
2024,1,15,5,32.6,459.1,202.3,451.0
2024,1,15,6,23.6,198.6,14.4,496.9
2024,1,15,7,32.7,353.8,153.5,555.4
2024,1,15,8,75.3,382.4,242.6,474.7
2024,1,15,9,79.2,416.5,358.4,451.3
2024,1,15,10,84.2,353.6,319.9,431.5
2024,1,15,11,89.6,309.8,312.0,280.9
2024,1,15,12,41.0,215.9,352.9,254.2
2024,1,15,13,40.3,131.2,282.8,281.4
2024,1,15,14,24.6,151.8,247.1,313.2
2024,1,15,15,43.8,88.5,266.4,252.6
2024,1,15,16,32.1,65.3,280.2,201.9
2024,1,15,17,19.0,84.9,154.5,179.2
2024,1,15,18,0.0,0.0,0.0,20.6
2024,1,15,19,0.0,0.0,0.0,0.0
2024,1,15,20,0.0,0.0,0.0,4.6
2024,1,15,21,0.0,0.0,0.0,0.0
2024,1,15,22,34.2,0.0,7.9,0.0
2024,1,15,23,0.0,0.0,0.0,13.2
2024,1,15,24,0.0,9.7,0.0,65.6
2024,1,16,1,0.0,4.2,0.0,38.2
2024,1,16,2,24.1,4.5,0.0,49.8
2024,1,16,3,63.4,66.7,0.7,160.6
2024,1,16,4,55.8,192.1,232.3,224.7
2024,1,16,5,50.0,214.0,278.6,225.2
2024,1,16,6,66.5,266.8,83.5,368.9
2024,1,16,7,40.5,324.9,7.9,519.2
2024,1,16,8,25.6,422.5,2.5,559.8
2024,1,16,9,40.2,554.2,23.9,600.7
2024,1,16,10,48.5,598.1,29.9,527.3
2024,1,16,11,94.0,400.9,62.9,500.2
2024,1,16,12,88.9,328.6,18.6,433.0
2024,1,16,13,82.4,276.6,59.2,391.1
2024,1,16,14,85.3,329.3,110.9,305.8
2024,1,16,15,56.6,210.4,288.5,309.9
2024,1,16,16,48.2,220.1,296.7,408.3
2024,1,16,17,77.8,225.4,370.8,430.7
2024,1,16,18,120.8,258.6,438.9,470.2
2024,1,16,19,143.4,467.2,582.2,505.5
2024,1,16,20,144.1,558.2,644.5,669.0
2024,1,16,21,141.3,553.6,765.3,649.9
2024,1,16,22,136.6,444.9,785.4,691.0
2024,1,16,23,144.8,603.2,806.0,729.5
2024,1,16,24,143.5,676.8,746.0,757.9
2024,1,17,1,140.7,666.2,781.3,774.8
2024,1,17,2,145.8,675.9,829.8,759.2
2024,1,17,3,138.2,616.3,793.3,785.4
2024,1,17,4,147.6,665.1,834.5,788.4
2024,1,17,5,146.7,689.2,800.9,796.3
2024,1,17,6,142.3,685.0,695.3,792.9
2024,1,17,7,145.2,687.8,791.4,790.4
2024,1,17,8,141.3,673.9,786.0,785.2
2024,1,17,9,138.7,666.0,771.2,790.7
2024,1,17,10,145.0,680.6,822.1,795.7
2024,1,17,11,143.3,663.5,774.2,779.2
2024,1,17,12,143.6,677.7,792.6,791.0
2024,1,17,13,147.9,698.3,828.7,789.5
2024,1,17,14,147.6,699.2,749.9,794.5
2024,1,17,15,139.9,684.2,713.7,792.1
2024,1,17,16,146.3,702.3,802.0,787.5
2024,1,17,17,126.0,707.3,488.0,768.9
2024,1,17,18,144.6,679.8,755.6,756.3
2024,1,17,19,142.1,692.9,687.2,768.0
2024,1,17,20,139.0,688.0,772.9,762.2
2024,1,17,21,140.8,674.8,665.6,710.4
2024,1,17,22,143.4,676.3,631.1,692.8
2024,1,17,23,130.5,654.8,496.8,687.5
2024,1,17,24,90.7,668.7,472.5,709.9
2024,1,18,1,74.4,664.4,555.2,708.6
2024,1,18,2,69.2,662.5,359.7,687.9
2024,1,18,3,41.0,680.9,225.8,716.6
2024,1,18,4,25.3,671.1,143.3,580.8
2024,1,18,5,26.5,670.6,164.6,476.5
2024,1,18,6,20.9,650.4,103.8,462.2
2024,1,18,7,24.1,635.5,52.1,490.8
2024,1,18,8,29.1,657.9,23.8,555.3
2024,1,18,9,13.0,638.5,5.1,582.4
2024,1,18,10,6.6,530.1,0.1,586.3
2024,1,18,11,5.1,291.2,1.6,449.2
2024,1,18,12,6.0,181.1,12.0,407.4
2024,1,18,13,3.7,100.9,23.4,381.2
2024,1,18,14,0.6,39.6,34.0,383.8
2024,1,18,15,0.2,16.9,37.7,310.5
2024,1,18,16,1.4,18.5,13.0,192.0
2024,1,18,17,2.5,8.7,4.3,138.5
2024,1,18,18,5.8,71.6,12.0,45.7
2024,1,18,19,2.0,101.7,2.1,22.4
2024,1,18,20,0.2,40.3,0.3,26.1
2024,1,18,21,3.7,58.5,39.2,36.7
2024,1,18,22,3.6,52.6,91.6,46.3
2024,1,18,23,5.7,54.0,81.6,83.2
2024,1,18,24,3.9,84.6,84.9,180.4
2024,1,19,1,3.0,64.2,25.0,215.1
2024,1,19,2,4.3,61.6,1.3,228.7
2024,1,19,3,10.3,66.0,0.0,254.3
2024,1,19,4,27.2,45.8,0.2,242.8
2024,1,19,5,40.7,25.8,4.5,203.7
2024,1,19,6,46.8,17.6,16.6,189.7
2024,1,19,7,50.5,22.0,68.3,217.0
2024,1,19,8,48.1,44.5,117.1,227.9
2024,1,19,9,61.1,47.1,159.8,169.2
2024,1,19,10,80.6,33.1,214.4,164.2
2024,1,19,11,74.1,16.6,180.2,91.4
2024,1,19,12,37.3,9.6,115.4,109.6
2024,1,19,13,19.1,11.9,105.1,152.1
2024,1,19,14,20.5,7.7,129.8,124.2
2024,1,19,15,18.1,11.4,130.0,92.9
2024,1,19,16,14.0,8.0,99.8,63.6
2024,1,19,17,2.2,23.4,41.1,20.9
2024,1,19,18,44.6,1.3,244.5,75.7
2024,1,19,19,83.5,136.2,131.9,224.6
2024,1,19,20,53.0,166.0,212.6,197.5
2024,1,19,21,36.7,365.2,238.1,269.9
2024,1,19,22,9.3,496.0,242.7,479.7
2024,1,19,23,6.4,508.6,367.7,529.3
2024,1,19,24,49.7,480.6,340.0,571.0
2024,1,20,1,109.7,301.5,396.1,620.3
2024,1,20,2,67.9,493.6,375.2,674.1
2024,1,20,3,81.7,533.8,404.8,675.0
2024,1,20,4,101.2,533.8,344.4,683.7
2024,1,20,5,127.5,500.9,426.0,667.9
2024,1,20,6,124.9,470.3,375.4,651.1
2024,1,20,7,95.9,447.8,300.8,644.7
2024,1,20,8,46.4,443.2,291.1,666.8
2024,1,20,9,48.8,417.3,379.3,657.2
2024,1,20,10,65.0,357.3,415.1,615.8
2024,1,20,11,61.6,220.2,359.1,501.7
2024,1,20,12,27.7,41.4,200.2,343.2
2024,1,20,13,22.3,12.0,98.7,216.1
2024,1,20,14,52.6,10.2,86.3,150.9
2024,1,20,15,60.3,1.7,81.1,72.1
2024,1,20,16,48.8,0.8,83.8,15.5
2024,1,20,17,42.3,2.4,133.8,7.6
2024,1,20,18,17.6,1.3,102.8,7.2
2024,1,20,19,13.6,10.7,108.9,2.5
2024,1,20,20,7.4,42.8,108.8,8.4
2024,1,20,21,2.5,74.5,84.1,14.2
2024,1,20,22,0.6,126.8,76.1,30.7
2024,1,20,23,4.9,204.2,75.3,64.4
2024,1,20,24,23.8,300.2,58.2,97.1
2024,1,21,1,28.8,344.7,54.9,105.4
2024,1,21,2,16.6,331.3,49.5,94.5
2024,1,21,3,5.1,315.3,49.0,109.3
2024,1,21,4,1.4,280.3,45.1,102.9
2024,1,21,5,1.2,347.7,20.2,175.8
2024,1,21,6,8.0,373.9,7.0,290.0
2024,1,21,7,12.3,385.8,1.5,400.9
2024,1,21,8,7.0,374.8,2.2,436.5
2024,1,21,9,3.2,495.6,3.2,450.4
2024,1,21,10,0.7,608.1,3.3,485.9
2024,1,21,11,1.1,624.0,5.1,511.3
2024,1,21,12,0.6,582.4,2.9,405.1
2024,1,21,13,0.4,344.1,0.8,248.5
2024,1,21,14,0.4,346.1,0.1,180.1
2024,1,21,15,0.2,514.6,0.2,194.6
2024,1,21,16,0.1,629.1,1.2,216.7
2024,1,21,17,0.3,640.1,0.8,253.8
2024,1,21,18,17.4,642.8,0.1,462.0
2024,1,21,19,16.1,658.9,2.6,618.6
2024,1,21,20,12.0,680.2,6.6,604.1
2024,1,21,21,7.4,694.3,16.9,599.1
2024,1,21,22,2.8,695.8,29.9,589.4
2024,1,21,23,0.3,689.2,35.3,578.2
2024,1,21,24,0.1,667.5,32.2,586.2
2024,1,22,1,0.0,639.9,47.8,601.9
2024,1,22,2,0.0,631.0,81.6,601.0
2024,1,22,3,0.0,619.0,108.5,573.6
2024,1,22,4,0.1,625.7,126.3,531.6
2024,1,22,5,0.2,629.6,93.9,437.3
2024,1,22,6,0.9,631.8,95.0,355.4
2024,1,22,7,3.2,643.8,130.8,369.1
2024,1,22,8,5.9,663.6,166.4,386.5
2024,1,22,9,9.3,709.1,197.8,602.9
2024,1,22,10,6.6,712.6,217.4,671.7
2024,1,22,11,3.5,713.5,238.0,460.5
2024,1,22,12,1.1,617.2,187.3,143.5
2024,1,22,13,0.0,486.5,96.6,45.6
2024,1,22,14,0.0,341.3,104.3,61.8
2024,1,22,15,0.0,276.1,98.9,80.2
2024,1,22,16,0.2,446.0,80.0,130.8
2024,1,22,17,0.8,636.7,50.6,12.5
2024,1,22,18,2.1,615.3,144.9,130.7
2024,1,22,19,17.2,596.2,743.6,209.5
2024,1,22,20,51.6,203.9,774.9,382.8
2024,1,22,21,25.3,598.1,584.2,340.6
2024,1,22,22,63.2,642.8,770.4,529.9
2024,1,22,23,137.1,606.4,714.4,278.3
2024,1,22,24,139.2,544.0,703.2,654.7
2024,1,23,1,104.4,545.9,640.5,511.1
2024,1,23,2,138.0,395.6,794.8,440.6
2024,1,23,3,144.3,408.8,815.7,586.4
2024,1,23,4,144.0,570.8,833.0,726.5
2024,1,23,5,140.8,692.7,839.6,780.5
2024,1,23,6,144.6,709.2,837.4,783.6
2024,1,23,7,147.6,713.2,843.8,784.3
2024,1,23,8,147.8,713.2,841.2,767.9
2024,1,23,9,146.4,705.9,820.5,776.9
2024,1,23,10,142.4,677.1,814.6,769.6
2024,1,23,11,107.4,655.9,749.3,705.8
2024,1,23,12,107.7,631.8,766.2,697.9
2024,1,23,13,140.5,629.7,771.0,741.6
2024,1,23,14,144.0,604.4,724.8,720.7
2024,1,23,15,136.9,534.4,656.0,719.7
2024,1,23,16,139.8,492.2,674.6,626.0
2024,1,23,17,119.8,293.6,522.6,560.6
2024,1,23,18,66.6,28.9,628.4,314.0
2024,1,23,19,119.1,145.4,436.1,421.8
2024,1,23,20,119.4,248.8,478.0,544.4
2024,1,23,21,144.6,259.4,688.4,550.3
2024,1,23,22,138.1,424.6,509.1,654.1
2024,1,23,23,139.4,432.7,839.6,623.6
2024,1,23,24,133.2,619.5,731.8,702.7
2024,1,24,1,146.2,667.7,728.1,757.7
2024,1,24,2,132.9,668.5,644.4,754.9
2024,1,24,3,126.5,576.4,575.0,697.5
2024,1,24,4,121.7,460.1,512.4,730.2
2024,1,24,5,117.9,416.1,550.6,733.5
